timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
7350.11,36,262144,64,21294,1403269956,111,5,585,1493940,11,2352,49,67,11,903879,124484256,1172,1,66,3575,6376409,2,925316,585,7377955,43784075,462016046,585,2951,2,1,2,2,2354,1,459710876,413496182,86610342,31533933,31550317,2,1,1387493052,73389,73389,2,2,2,31533933,45,1,3,43454,52035337,1160178,238421,3509,459710876,1255519,6215054,16551
14091.70,36,262144,64,24292,1600808692,111,5,585,1581026,11,3171,49,67,11,903879,124484256,1172,1,66,4017,6867014,2,925316,585,8881785,49689380,520389584,585,2951,2,1,2,2,2354,1,517775772,471196684,106287960,36030897,36047281,2,1,1585359468,73389,73389,2,2,2,36030897,45,1,3,44307,55766683,1274915,242600,3952,517775772,1338426,7602514,16551
19994.10,36,262144,64,26469,1744276920,112,5,585,1645792,11,3817,49,67,11,903879,124484256,1172,1,66,4334,7379900,2,925316,585,10207594,54785415,562158092,585,2951,2,1,2,2,2354,1,559325596,513183923,131730053,39284836,39301220,2,1,1728532784,73389,73389,2,2,2,39284836,45,1,3,49630,58769178,1397638,246025,4269,559325596,1399767,8804415,16551
25168.71,36,262144,64,28433,1873520528,112,5,585,1705538,11,4356,49,67,11,903879,124484256,1172,1,66,4622,7937445,2,925316,585,11517004,59680738,599968031,585,2951,2,1,2,2,2354,1,596943260,550888434,179133389,42229638,42246022,2,1,1858104072,73389,73389,2,2,2,42229638,45,1,3,50729,61917427,1462890,248985,4557,596943260,1456553,10047819,16551
30269.29,36,262144,64,30216,1991167572,112,5,585,1765570,11,4842,49,67,11,903879,124484256,1172,1,66,4886,8338240,2,925316,585,12696719,64446453,634754766,585,2951,2,1,2,2,2354,1,631546268,585283695,196617596,44901945,44918329,2,1,1975685580,73389,73389,2,2,2,44901945,45,1,3,53768,64408643,1568415,251640,4821,631546268,1513930,11119920,16551
35548.24,36,262144,64,32611,2148922648,113,6,585,1838410,11,5547,49,67,11,903879,124749708,1172,1,66,5237,8744612,2,925316,585,14396848,70171413,681531060,585,2951,2,1,2,2,2354,1,677552540,631495672,249532559,48524524,48540908,2,1,2135079056,73389,73389,2,2,2,48524524,45,1,3,55544,67216772,1677219,255064,5175,678076828,1584048,12712641,16551
40609.88,36,262144,64,35825,2360882612,113,6,585,1914957,11,6426,49,67,11,903879,124749708,1172,1,66,5712,8976900,2,925316,585,15766538,74718829,743585804,585,2951,2,1,2,2,2354,1,739811740,693477056,293887140,53306049,53322433,2,1,2345466156,73389,73389,2,2,2,53306049,45,1,3,56098,70030765,1774989,258657,5646,739811740,1656300,13984127,16551
45668.35,36,262144,64,39852,2625857892,114,6,585,2023392,11,7574,49,67,11,903879,124749708,1172,1,66,6300,9148119,2,925316,585,17533949,79947893,821043653,585,2951,2,1,2,2,2354,1,816882076,770903187,378965045,59334917,59334917,2,1,2610736348,73389,73389,2,2,2,59334917,45,1,3,59123,72611869,1885460,287366,6234,816882076,1736026,15642734,16551
50772.12,36,262144,64,44527,2934096856,115,6,585,2119150,11,8905,49,67,11,903879,125015160,1172,1,66,6987,9393171,2,925316,585,19563613,84842195,911525883,585,2951,2,1,2,2,2354,1,906928540,861024519,398330937,66340348,66340348,2,1,2918975312,73389,73389,2,2,2,66340348,45,1,3,60258,75226122,1988442,290772,6921,906928540,1828378,17568907,16551
55868.91,36,262144,64,49067,3233488460,116,6,585,2226735,11,10200,49,67,11,903879,125280612,1172,1,66,7657,9511365,2,925316,585,21867588,89726030,999778920,585,2951,2,1,2,2,2354,1,994746780,948604917,543183995,73124595,73140979,2,1,3217482180,73389,73389,2,2,2,73124595,45,1,3,64052,77604286,2086481,294031,7591,994746780,1932704,19775645,16551
