timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5050.22,7,262144,64,26785,1764986296,112,2,585,867718,19,3906,67,21758,124484256,1172,1,66,4381,508070,2,95122,585,9362967,14277443,567967854,585,1427,2,1,2,2,1333,1,565354908,519192615,35218287,39759972,39776356,2,1,1749438768,73389,73389,2,2,2,39759972,28,2,3,339149,10342920,2673082,33545,4315,565354908,834173,6692268,10917
10079.79,7,262144,64,31145,2052315968,113,2,585,1014858,19,5148,67,21758,124484256,1172,1,66,5024,623065,2,95122,585,11437948,18458391,652667233,585,1427,2,1,2,2,1333,1,649634204,603279723,51569582,46284234,46300618,2,1,2036506296,73389,73389,2,2,2,46284234,28,2,3,342908,12867124,2798730,52136,4958,649634204,962722,8641145,10917
15112.82,7,262144,64,35373,2330994888,113,2,585,1138626,19,6300,67,21758,124749708,1172,1,66,5643,750961,2,95122,585,13885226,22920689,734208048,585,1427,2,1,2,2,1333,1,730767772,684739835,87072440,52628272,52628272,2,1,2315643968,73389,73389,2,2,2,52628272,28,2,3,349313,15134592,2932412,56136,5577,730767772,1082490,10954117,10917
20146.82,7,262144,64,39005,2570083448,114,3,585,1252702,19,7347,67,21758,124749708,1172,1,66,6175,830488,2,95122,585,16217988,27436605,804298822,585,1427,2,1,2,2,1333,1,800498076,754579088,107945336,58067316,58067316,2,1,2554961904,73389,73389,2,2,2,58067316,28,2,3,355764,17330778,3079052,66207,6109,800498076,1186495,13140473,10917
25171.03,7,262144,64,42525,2802097428,114,3,585,1358349,19,8307,67,21758,124749708,1172,1,66,6694,1038174,2,95122,585,17470417,31620983,872672310,585,1427,2,1,2,2,1333,1,868524444,822397674,119888086,63340361,63340361,2,1,2786975884,73389,73389,2,2,2,63340361,28,2,3,359807,19599710,3174061,69595,6628,868524444,1288754,14296644,10917
30205.20,7,262144,64,45707,3011960240,115,3,585,1454262,19,9231,67,21758,125015160,1172,1,66,7162,1136844,2,95122,585,19522501,36238131,934331286,585,1427,2,1,2,2,1333,1,929866140,883772822,143872815,68105502,68121886,2,1,2996642088,73389,73389,2,2,2,68105502,28,2,3,363234,21774499,3286555,72756,7096,929866140,1381506,16234811,10917
35332.41,7,262144,64,48761,3213168992,115,3,585,1582146,19,10060,67,21758,125015160,1172,1,66,7609,1381349,2,95122,585,21213705,40655563,993226707,585,1427,2,1,2,2,1333,1,988455324,942586089,194373055,72684386,72684386,2,1,3197392088,73389,73389,2,2,2,72668002,28,2,3,366688,24552861,3391948,107955,7543,988455324,1474191,17820082,10917
40360.70,7,262144,64,51653,3403760912,116,3,585,1672628,19,10907,67,21758,125280612,1172,1,66,8036,1629859,2,95122,585,23011586,45599391,1049488625,585,1427,2,1,2,2,1333,1,1044423068,998368424,242709034,77009318,77009318,2,1,3388409992,73389,73389,2,2,2,77009318,28,2,3,370947,26861302,3495267,110881,7970,1044423068,1561747,19514632,10917
45376.18,7,262144,64,55202,3637422050,117,3,585,1782374,19,11931,67,21758,125280612,1172,1,66,8555,1823829,2,95122,585,24562981,50030899,1117730616,585,1427,2,1,2,2,1333,1,1112318364,1066586400,262271424,82317290,82333674,2,1,3621960760,73389,73389,2,2,2,82317290,28,2,3,371025,29081898,3578641,114359,8489,1112318364,1668015,20982904,10917
50427.13,7,262144,64,58487,3854035070,117,3,585,1879896,19,12827,67,21758,125280612,1172,1,66,9038,1956109,2,95122,585,26463849,54821743,1181496860,585,1427,2,1,2,2,1333,1,1175757212,1129951701,308500274,87246271,87246271,2,1,3838835924,73389,73389,2,2,2,87246271,28,2,3,378239,31372289,3702379,117745,8972,1175757212,1762151,22760537,10917
55465.60,7,262144,64,62453,4115398766,118,3,585,1997761,19,13962,67,21758,125546064,1172,1,66,9621,2052609,2,95122,585,28156496,59029623,1258299579,585,1427,2,1,2,2,1333,1,1252172188,1206331095,318386342,93174676,93197093,2,1,4099685744,73389,73389,2,2,2,93174676,28,2,3,380573,33607742,3806842,121688,9555,1252172188,1876073,24348503,10917
60502.25,7,262144,64,65769,4333922742,118,3,585,2104230,19,14865,67,21758,125546064,1172,1,66,10108,2291911,2,95122,585,30273911,63655251,1322456956,585,1427,2,1,2,2,1333,1,1316004252,1270268216,379670378,98152809,98152809,2,1,4318723596,73389,73389,2,2,2,98152809,28,2,3,383441,35846309,3908330,129954,10042,1316004252,1974276,26364329,10917
65542.83,7,262144,64,68832,4535479998,119,4,585,2197035,19,15756,67,21758,125546064,1172,1,66,10556,2396712,2,95122,585,31439482,68095527,1381621757,585,1427,2,1,2,2,1333,1,1374855580,1329236756,414862504,102717468,102733852,2,1,4519568592,73389,73389,2,2,2,102717468,28,2,3,385606,37990836,3981208,133030,10491,1374855580,2064005,27456488,10917
70581.77,7,262144,64,72220,4758819094,119,4,585,2297903,19,16680,67,21758,125546064,1172,1,66,11056,2531152,2,95122,585,33630473,72873196,1447363743,585,1427,2,1,2,2,1333,1,1440260508,1394518799,500980757,107793905,107810289,2,1,4742931820,73389,73389,2,2,2,107793905,28,2,3,392419,40388075,4117682,136318,10990,1440260508,2161585,29511219,10917
75601.31,7,262144,64,74817,4930077894,120,4,585,2375087,19,17442,67,21758,125811516,1172,1,66,11435,2648782,2,95122,585,34890143,77466426,1497433745,585,1427,2,1,2,2,1333,1,1490067868,1444531596,511724385,111684661,111701045,2,1,4914125084,73389,73389,2,2,2,111684661,28,2,3,393346,42522924,4188895,138840,11370,1490067868,2236247,30699941,10917
80711.17,7,262144,64,77921,5134563446,120,4,585,2449730,19,18288,67,21758,125811516,1172,1,66,11893,2922141,2,95122,585,36184705,81977227,1557639650,585,1427,2,1,2,2,1333,1,1549967772,1504312555,528577889,116345465,116345465,2,1,5119200460,73389,73389,2,2,2,116345465,28,2,3,394809,45369463,4259444,141964,11827,1549967772,2307766,31924320,10917
