timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5052.79,193,262144,64,40798,2688554776,306,29,576,1362971,0,19,15933,67,36699,111668220,1154,1,4,13127,50420860,22,201036828,66,7409,2859130,2,328737,576,49031233,210892451,886175518,576,1959,0,3,1,2,2,14461,3,881603760,849453278,273725274,51368863,51712927,3,1,2669476972,73389,73389,2,2,2,51336099,19,3,277569,40468770,2383572,70564,7350,881603760,1292407,46641485,10275
10088.00,397,262144,64,80865,5328768360,565,63,576,2741770,0,19,31645,67,36699,116928996,1154,1,4,13127,100192475,22,400188176,66,14272,5690126,2,328737,576,100282462,458889591,1717785674,576,1959,0,3,1,2,2,14461,3,1708847663,1680481614,589498518,102199213,102313901,3,1,5312655172,73389,73389,2,2,2,102166449,19,3,417436,85031366,4063046,238864,14210,1708847663,2502906,96208847,10275
15107.77,588,262144,64,123299,8124781352,837,95,576,4110063,0,19,48359,67,36699,117508164,1154,1,4,13127,153092175,22,611731196,66,21568,8385861,2,328737,576,157194155,710683397,2603528753,576,1959,0,3,1,2,2,14461,3,2589951859,2560714045,914623496,155933405,156130013,3,1,8107685124,73389,73389,2,2,2,155917025,19,3,564984,131796547,5912825,293126,21505,2589951859,3816937,151267355,10275
20180.46,755,262144,64,156542,10315641590,1052,133,576,5235458,0,19,61460,67,36699,117508164,1154,1,4,13127,194621571,22,777711776,66,27249,11285567,2,328737,576,200628215,975816535,3292957332,576,1959,0,3,1,2,2,14461,3,3275743349,3250464084,1238977139,198103540,198267380,3,1,10301384112,73389,73389,2,2,2,198103544,19,3,731923,174785288,7543654,423365,27189,3275743349,4812093,193070749,10275
25231.87,992,262144,64,203345,13399272428,1356,178,576,6747111,0,19,79895,67,36699,117508164,1154,1,4,13127,253092733,22,1011272424,66,35351,15916862,2,328737,576,261864446,1228211311,4274981936,576,1959,0,3,1,2,2,14461,3,4252623378,4221375048,1570803063,257407848,257571688,3,1,13381912524,73389,73389,2,2,2,257344475,19,3,901491,226590604,9495898,506558,35289,4252623378,6240553,252348828,10275
30297.00,1174,262144,64,243945,16073801334,1617,220,576,8027580,0,19,95905,67,36699,117508164,1154,1,4,13127,303877575,22,1214411748,66,42316,19940251,2,328737,576,314445191,1470360876,5121547100,576,1959,0,3,1,2,2,14461,3,5094746252,5062948376,1882853589,308815956,308979796,3,1,16058429744,73389,73389,2,2,2,308815960,19,3,1106000,272646117,11404701,573880,42257,5094746252,7453700,303017290,10275
35311.11,1400,262144,64,284381,18739524962,1881,250,576,9431906,0,19,111876,67,36699,117508164,1154,1,4,13127,354378051,22,1416672400,66,49243,22990217,2,328737,576,369798530,1737873314,5960293018,576,1959,0,3,1,2,2,14461,3,5929075766,5902333137,2224481370,360071846,360284838,3,1,18722884056,73389,73389,2,2,2,360055466,19,3,1292485,316644303,13268509,745485,49185,5929075766,8686421,356502407,10275
40366.23,1596,262144,64,327202,21560779726,2156,296,576,10851697,0,19,128717,67,36699,117508164,1154,1,4,13127,407748289,22,1630023076,66,56587,26752739,2,328737,576,424653345,1986882561,6852670007,576,1959,0,3,1,2,2,14461,3,6816761561,6790523781,2542711653,414299717,414526934,3,1,21542733348,73389,73389,2,2,2,414283337,19,3,1453447,365401215,14976082,891346,56527,6816761561,9960364,409646898,10275
45465.70,1797,262144,64,372539,24547785785,2445,325,576,12321929,0,19,146633,67,36699,117508164,1154,1,4,13127,464581298,22,1857420760,66,64401,30347024,2,328737,576,482234519,2235366879,7800930633,576,1959,0,3,1,2,2,14461,3,7760071560,7731143659,2863989158,471746600,471959592,3,1,24529971264,73389,73389,2,2,2,471730220,19,3,1620623,412880749,16836378,1028714,64343,7760071560,11293215,465362449,10275
50532.35,1968,262144,64,409913,27009791516,2686,357,576,13686119,0,19,161325,67,36699,117508164,1154,1,4,13127,511167873,22,2043572904,66,70828,33325392,2,328737,576,529686311,2499557198,8581440886,576,1959,0,3,1,2,2,14461,3,8536485646,8506138213,3192833910,519116496,519327329,3,1,26994057824,73389,73389,2,2,2,519116500,19,3,1795403,458549840,18525135,1294227,70767,8536485646,12391892,511121142,10275
