timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5142.02,22,262144,64,21934,1445478448,111,2,585,1819736,35,2526,53,67,3,374246,124484256,1172,1,66,3671,1856348,2,424843,585,6351910,34876246,474584734,585,1853,2,1,2,2,1420,1,472293788,425843076,61764403,32506622,32506622,2,1,1429570472,73389,73389,2,2,2,32490238,19,1,3,201286,32981812,1821685,121189,3605,472293788,1698547,4537005,25169
11189.76,22,262144,64,25250,1663857632,112,2,585,1910496,35,3484,53,67,3,374246,124484256,1172,1,66,4157,2249984,2,424843,585,8246640,42039255,538612346,585,1853,2,1,2,2,1420,1,535994780,489647285,91186880,37470530,37470530,2,1,1647982424,73389,73389,2,2,2,37454146,19,1,3,212893,37133473,1954763,124031,4091,535994780,1786465,6295703,25169
16541.11,22,262144,64,28575,1882844739,112,2,585,1987692,35,4385,53,67,3,374246,124484256,1172,1,66,4642,2608674,2,424843,585,9571531,46963042,602499323,585,1853,2,1,2,2,1420,1,599564700,553690542,149153937,42442630,42459014,2,1,1867475720,73389,73389,2,2,2,42442630,19,1,3,225329,41110287,2095078,126668,4576,599564700,1861024,7478533,25169
21586.13,22,262144,64,31663,2086529068,113,2,585,2058603,35,5285,53,67,3,374246,124749708,1172,1,66,5099,2862488,2,424843,585,10589298,51776460,662701521,585,1853,2,1,2,2,1420,1,659464604,613242720,165094556,47060315,47076699,2,1,2070653860,73389,73389,2,2,2,47060315,19,1,3,229994,44341274,2178471,129576,5033,659464604,1929027,8413258,25169
27134.71,22,262144,64,35179,2318280904,113,2,585,2137707,35,6249,53,67,3,374246,124749708,1172,1,66,5612,3231196,2,424843,585,12054402,56944070,730418833,585,1853,2,1,2,2,1420,1,726835612,680956714,185162113,52333360,52349744,2,1,2302667840,73389,73389,2,2,2,52333360,19,1,3,235369,47482494,2300456,132617,5547,726835612,2005090,9756128,25169
33823.56,22,262144,64,38373,2528411310,114,2,585,2216707,35,7176,53,67,3,374246,124749708,1172,1,66,6084,3792717,2,424843,585,15363946,73754553,792472001,585,1853,2,1,2,2,1420,1,788570524,742371676,247497057,57111011,57127395,2,1,2512884484,73389,73389,2,2,2,57111011,19,1,3,243909,51476877,2469078,136547,6018,788570524,2080160,12897576,25169
43891.05,22,262144,64,42443,2796723476,114,2,585,2336840,35,8286,53,67,3,374246,124749708,1172,1,66,6681,4128531,2,424843,585,18169835,85809029,871138489,585,1853,2,1,2,2,1420,1,866820508,820819278,311309717,63209289,63225673,2,1,2781208716,73389,73389,2,2,2,63209289,19,1,3,254632,56856138,2687318,143538,6615,866820508,2193302,15483188,25169
52131.93,22,262144,64,45908,3025132976,115,2,585,2431484,35,9285,53,67,3,374246,125015160,1172,1,66,7190,4738742,2,424843,585,20022545,93148895,938335517,585,1853,2,1,2,2,1420,1,933667228,887598257,431508699,68400414,68416798,2,1,3009618216,73389,73389,2,2,2,68400414,19,1,3,268866,61710168,2868074,148304,7125,933667228,2283180,17153111,25169
57291.26,22,262144,64,47992,3162506356,115,2,585,2484849,35,9852,53,67,3,374246,125015160,1172,1,66,7499,5223561,2,424843,585,20605441,97639177,978914067,585,1853,2,1,2,2,1420,1,974037404,927776461,436914759,71531473,71531473,2,1,3146663916,73389,73389,2,2,2,71515089,19,1,3,269401,65036398,2922367,151103,7433,974037404,2333746,17685868,25169
67434.18,22,262144,64,51410,3387835664,116,2,585,2596736,35,10841,53,67,3,374246,125280612,1172,1,66,8001,6130978,2,424843,585,24403570,114177956,1045064602,585,1853,2,1,2,2,1420,1,1039835548,993700515,508471930,76648870,76648870,2,1,3372550280,73389,73389,2,2,2,76648870,19,1,3,279813,70121152,3143107,164718,7935,1039835548,2432018,21258993,25169
