timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5467.60,168,262144,64,35550,2342715420,270,51,576,1533569,0,15,13773,31,67,4,200333,109761792,1154,1,4,15743,43642258,19,173640668,66,6506,7751423,2,673239,576,32664418,217730950,775978398,576,2618,0,3,1,2,2,17149,3,771939346,740292495,278648322,44738105,44918329,3,1,2323825588,73389,73389,2,2,2,44688957,21,1,3,198733,55129905,1758997,90126,6445,771939346,1443443,30923589,34243
10579.25,328,262144,64,71675,4723669076,505,117,576,2615635,0,15,28033,31,67,4,200333,116928996,1154,1,4,15743,88779446,19,354342604,66,12711,13495117,2,673239,576,73008301,483047000,1529572558,576,2618,0,3,1,2,2,17149,3,1521565699,1489826907,607575636,90569620,90717076,3,1,4706212400,73389,73389,2,2,2,90504088,21,1,3,350450,108111337,3445159,235296,12652,1521565699,2380339,69562698,34243
15828.09,500,262144,64,111966,7377706038,764,187,576,3956046,0,15,43840,31,67,4,200333,117508164,1154,1,4,15743,138990385,19,554410612,66,19610,18886579,2,673239,576,117643316,751527754,2365911186,576,2618,0,3,1,2,2,17149,3,2353480151,2325588659,940450572,141644015,141725935,3,1,7364636844,73389,73389,2,2,2,141627635,21,1,3,472672,165185524,5027415,553763,19546,2353480151,3402283,112615090,34243
21174.01,688,262144,64,157311,10364808042,1061,268,576,5369621,0,15,61748,31,67,4,200333,117508164,1154,1,4,15743,195535461,19,781560568,66,27390,24633963,2,673239,576,168782868,1028917216,3308794777,576,2618,0,3,1,2,2,17149,3,3291377824,3266160130,1288638481,199029680,199209904,3,1,10347839456,73389,73389,2,2,2,198996916,21,1,3,640232,225625367,6938323,835411,27330,3291377824,4534210,161840554,34243
26237.89,871,262144,64,204921,13502533032,1367,353,576,6641360,0,15,80543,31,67,4,200333,117508164,1154,1,4,15743,255085645,19,1019632148,66,35612,30407421,2,673239,576,217820106,1280118091,4307481880,576,2618,0,3,1,2,2,17149,3,4284819310,4253750418,1617350296,259349352,259545960,3,1,13484462400,73389,73389,2,2,2,259316588,21,1,3,779988,282955149,8744886,970174,35553,4284819310,5671186,209070150,34243
31287.71,1125,262144,64,262721,17311243220,1740,463,576,8155966,0,15,103338,31,67,4,200333,117508164,1154,1,4,15743,327356615,19,1308521848,66,45544,36094923,2,673239,576,274187967,1521733121,5511284111,576,2618,0,3,1,2,2,17149,3,5482309636,5452694156,1953062459,332582602,332844746,3,1,17293443368,73389,73389,2,2,2,332566222,21,1,3,974447,346102065,10926171,1181881,45485,5482309636,6974085,263257523,34243
36768.59,1335,262144,64,319803,21072222864,2105,531,576,9846341,0,15,125741,31,67,4,200333,117508164,1154,1,4,15743,398374286,19,1592333640,66,55332,45561712,2,673239,576,330756202,1767562712,6700041416,576,2618,0,3,1,2,2,17149,3,6664818204,6637011767,2284151755,404935434,405115658,3,1,21055790632,73389,73389,2,2,2,404919054,21,1,3,1170129,414762376,13213139,1523970,55270,6664818204,8322371,317536649,34243
41856.52,1524,262144,64,359522,23690920982,2364,602,576,11133826,0,15,141483,31,67,4,200333,117508164,1154,1,4,15743,448191464,19,1791860924,66,62163,51569441,2,673239,576,375612913,2033841298,7528951449,576,2618,0,3,1,2,2,17149,3,7489363697,7461377010,2619060797,455306588,455470428,3,1,23675942608,73389,73389,2,2,2,455306592,21,1,3,1306928,470874573,14867693,1816565,62101,7489363697,9317261,360736362,34243
46944.12,1690,262144,64,403522,26591445646,2650,671,576,12381380,0,15,158875,31,67,4,200333,117508164,1154,1,4,15743,503343373,19,2012340380,66,69760,61522643,2,673239,576,422450558,2295602452,8449866354,576,2618,0,3,1,2,2,17149,3,8405400597,8374467666,2952214933,511084018,511264242,3,1,26575517000,73389,73389,2,2,2,511067638,21,1,3,1432483,535175208,16488925,2005354,69695,8405400597,10376026,405948617,34243
52045.38,1939,262144,64,461488,30409435352,3023,748,612,14040470,2,15,181655,31,67,4,200333,123236680,1226,1,4,15743,575393242,19,2300603840,66,79834,68277212,2,673239,612,478246401,2547187981,9670710453,610,2844,2,3,1,2,2,17149,3,9619833906,9577483048,3285299098,584437348,584592996,3,1,30389890160,73389,73389,2,2,2,584420968,21,1,3,1576593,599417521,18363275,2335591,79773,9619833906,11704879,459866237,35252
