timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5119.60,26,262144,64,22682,1494764828,111,5,585,667703,18,2730,67,4,124484256,1172,1,66,3780,1115030,2,287994,585,6705697,23144389,488946874,585,1614,2,1,2,2,1505,1,486580636,440252101,39780332,33626767,33626767,2,1,1479577748,73389,73389,2,2,2,33626767,34,2,3,188133,16996768,1679719,17766,3714,486580636,649937,5024688,11463
10232.48,26,262144,64,26912,1773309368,112,5,585,784838,18,3941,67,4,124484256,1172,1,66,4398,1306502,2,287994,585,8829615,27412586,570358940,585,1614,2,1,2,2,1505,1,567583132,521681010,66915068,39956580,39956580,2,1,1758089520,73389,73389,2,2,2,39956580,34,2,3,195532,19516359,1799479,21343,4332,567583132,763495,7027324,11463
15275.58,26,262144,64,30580,2015022676,112,5,585,887073,18,4941,67,4,124484256,1172,1,66,4939,1498597,2,287994,585,10577934,31820455,641631737,585,1614,2,1,2,2,1505,1,638493084,592305466,90202845,45442617,45459001,2,1,1999475148,73389,73389,2,2,2,45442617,34,2,3,199082,21787052,1922292,24719,4874,638493084,862354,8653276,11463
20401.20,26,262144,64,34493,2273057756,113,5,585,1001782,18,6060,67,4,124749708,1172,1,66,5516,1721904,2,287994,585,12404091,36302842,717645523,585,1614,2,1,2,2,1505,1,714121628,667804840,132593171,51311519,51311519,2,1,2257706836,73389,73389,2,2,2,51311519,34,2,3,205353,24210771,2051507,28291,5450,714121628,973491,10349883,11463
25536.54,26,262144,64,38120,2511818636,114,5,585,1108380,18,7107,67,4,124749708,1172,1,66,6045,1918034,2,287994,585,14267542,41032847,787475142,585,1614,2,1,2,2,1505,1,783589788,737517448,176351455,56734179,56750563,2,1,2496303876,73389,73389,2,2,2,56734179,34,2,3,210299,26549124,2175690,31596,5980,783589788,1076784,12089542,11463
30600.71,26,262144,64,41450,2731380776,114,5,585,1207350,18,8016,67,4,124749708,1172,1,66,6535,2039687,2,287994,585,15866394,45435913,851906180,585,1614,2,1,2,2,1505,1,847683996,801737610,219503369,61728696,61745080,2,1,2716062624,73389,73389,2,2,2,61728696,34,2,3,215615,28804399,2285337,34697,6469,847683996,1172653,13579360,11463
36256.49,26,262144,64,45736,3013860784,115,5,585,1330855,18,9237,67,4,125015160,1172,1,66,7166,2203948,2,287994,585,17672387,50177517,935029065,585,1614,2,1,2,2,1505,1,930390428,884351703,264860769,68138270,68154654,2,1,2998083880,73389,73389,2,2,2,68138270,34,2,3,219813,31477224,2409723,38419,7100,930390428,1292436,15260226,11463
41382.34,26,262144,64,48466,3193582486,115,5,585,1408463,18,9983,67,4,125015160,1172,1,66,7568,2384273,2,287994,585,19284097,55284690,987999252,585,1614,2,1,2,2,1505,1,983081372,936900040,306918499,72235985,72235985,2,1,3178383340,73389,73389,2,2,2,72235985,34,2,3,222345,34122851,2495785,41085,7502,983081372,1367378,16786212,11463
46448.52,26,262144,64,51087,3366402084,116,7,585,1482098,18,10752,67,4,125280612,1172,1,66,7952,2544224,2,287994,585,20305796,60188444,1038724765,585,1614,2,1,2,2,1505,1,1033544092,987448966,359617192,76151317,76167701,2,1,3350657948,73389,73389,2,2,2,76151317,34,2,3,222584,36752710,2572365,43666,7887,1033544092,1438432,17731025,11463
51499.61,26,262144,64,53957,3555552212,116,7,585,1562376,18,11535,67,4,125280612,1172,1,66,8376,2796466,2,287994,585,21136883,64408257,1094454222,585,1614,2,1,2,2,1505,1,1088987548,1042708522,414233506,80451673,80468057,2,1,3539873612,73389,73389,2,2,2,80451673,34,2,3,223192,39053160,2646435,46453,8310,1088987548,1515923,18488313,11463
56585.90,26,262144,64,57078,3761163942,117,7,585,1687726,18,12441,67,4,125280612,1172,1,66,8831,2990784,2,287994,585,22697952,69117342,1154399705,585,1614,2,1,2,2,1505,1,1148625308,1102813957,479477912,85120669,85137053,2,1,3745309436,73389,73389,2,2,2,85120669,34,2,3,223913,42011620,2729029,88699,8765,1148625308,1599027,19967282,11463
61722.33,26,262144,64,60193,3966370390,117,7,585,1777623,18,13290,67,4,125280612,1172,1,66,9290,3207002,2,287994,585,24964565,74497301,1214873360,585,1614,2,1,2,2,1505,1,1208787356,1162824794,627659885,89797857,89797857,2,1,3950384812,73389,73389,2,2,2,89781473,34,2,3,230710,44691203,2824443,91708,9224,1208787356,1685915,22138466,11463
