timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5051.26,196,262144,64,43314,2854034586,319,46,576,1497168,38,16837,67,4058,112259454,1154,1,4,45705,53404719,42,212391040,66,7833,3702111,2,45506,576,54236019,231371345,937708621,576,1383,3,1,2,2,51380,3,932809565,901575941,296813076,54608577,54739649,3,1,2831978324,73389,73389,2,2,2,54461125,23,3,249514,48010445,2425050,84199,7768,932809565,1412969,51810017,31062
10087.62,412,262144,64,84887,5592704066,589,86,576,2965173,38,33250,67,4058,116928996,1154,1,4,45705,105242801,42,420454460,66,14967,5950320,2,45506,576,110883897,481425500,1803340690,576,1383,3,1,2,2,51380,3,1793886157,1763584768,620460256,107284286,107431742,3,1,5578782904,73389,73389,2,2,2,107284290,23,3,396113,92802655,4216860,256367,14907,1793886157,2708806,106663767,31062
15125.75,568,262144,64,118134,7784465946,807,114,576,4201524,38,46281,67,4058,117218580,1154,1,4,45705,146436056,42,585171096,66,20661,9746783,2,45506,576,155284818,734565940,2493717963,576,1383,3,1,2,2,51380,3,2480629189,2453673823,933625711,149425527,149556599,3,1,7770127436,73389,73389,2,2,2,149425531,23,3,568123,135293349,5872104,481444,20602,2480629189,3720080,149406512,31062
20218.90,780,262144,64,161417,10636963622,1085,147,576,5642517,38,63393,67,4058,117508164,1154,1,4,45705,200830126,42,802480516,66,28091,13865347,2,45506,576,212530657,991842669,3394264575,576,1383,3,1,2,2,51380,3,3376444627,3351549264,1268292131,204236745,204447578,3,1,10619458804,73389,73389,2,2,2,204220365,23,3,770039,183482062,7892559,611377,28033,3376444627,5031140,204627461,31062
25265.85,964,262144,64,204095,13448689880,1360,181,576,6990365,38,80176,67,4058,117508164,1154,1,4,45705,253912448,42,1014946736,66,35481,17780929,2,45506,576,267677632,1244820014,4291380982,576,1383,3,1,2,2,51380,3,4268861992,4236933777,1591166957,258372345,258470649,3,1,13433658036,73389,73389,2,2,2,258339581,23,3,930435,231889868,9685785,663231,35418,4268861992,6327134,257980167,31062
30316.81,1158,262144,64,247950,16337527878,1647,240,576,8407712,38,97486,67,4058,117508164,1154,1,4,45705,308799970,42,1234360464,66,42997,21062587,2,45506,576,325496996,1496756978,5203340861,576,1383,3,1,2,2,51380,3,5176007690,5145962582,1912809962,313878168,314107544,3,1,16321664768,73389,73389,2,2,2,313878172,23,3,1114092,281123760,11653461,730461,42941,5176007690,7677251,313824403,31062
35331.81,31647,262144,64,293180,19319023802,1933,288,576,9904357,38,115306,67,4058,117508164,1154,1,4,45705,365313766,42,1460350536,66,50758,25402098,2,45506,576,385907320,1760100344,6145006915,576,1383,3,1,2,2,51380,3,6112729317,6085163483,2253301689,371242687,371357375,3,1,19302915820,73389,73389,2,2,2,371209923,23,3,1315438,333068312,13690803,867869,50696,6112729317,9036490,372193035,31062
40370.23,31849,262144,64,336467,22170902804,2214,317,576,11303617,38,132377,67,4058,117508164,1154,1,4,45705,419365354,42,1676686124,66,58184,28560675,2,45506,576,440177781,1994641064,7046672541,576,1383,3,1,2,2,51380,3,7009658559,6982649327,2562734697,426082799,426246639,3,1,22155453612,73389,73389,2,2,2,426066419,23,3,1463418,379118422,15417461,995451,58124,7009789631,10308390,424734830,31062
45477.29,32026,262144,64,372002,24513226418,2442,353,576,12463630,38,146384,67,4058,117508164,1154,1,4,45705,463720300,42,1854179528,66,64301,31396485,2,45506,576,486053331,2252867020,7789295510,576,1383,3,1,2,2,51380,3,7748386209,7720221637,2877632076,471185226,471283530,3,1,24499075880,73389,73389,2,2,2,471136078,23,3,1623141,426100162,17007718,1106748,64240,7748386209,11356882,469021176,31062
50532.65,32252,262144,64,423433,27903246760,2776,403,576,14073534,38,166690,67,4058,117508164,1154,1,4,45705,528126159,42,2111414484,66,73178,35461678,2,45506,576,553569938,2517093842,8865873238,576,1383,3,1,2,2,51380,3,8819294077,8787603697,3228434748,536300648,536448104,3,1,27886781760,73389,73389,2,2,2,536284268,23,3,1867759,479925986,19383208,1207987,73115,8819294077,12865547,534160346,31062
