timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
8466.41,46,262144,64,5333,351747764,76,3,576,7503238,0,65,1948,52,67,12,949489,99385032,1154,1,4,6047,6133396,35,23952316,66,1292,3154397,2,981511,576,6268284,28502700,143412757,576,2998,0,3,1,2,2,7916,3,142671686,113489221,55466327,6431991,6644983,3,1,334463564,73389,73389,2,2,2,6431995,28,2,3,114736,21842661,931907,11161,1243,142671686,7492077,5345310,32988
14932.17,274,262144,64,52146,3437168166,378,113,576,9172823,0,65,20331,52,67,12,949489,115613802,1154,1,4,6047,64372102,35,256583644,66,9341,14134626,2,981511,576,67457562,355042605,1120539763,576,2998,0,3,1,2,2,7916,3,1114606590,1084879638,470862384,65811742,66006191,3,1,3422210616,73389,73389,2,2,2,65811746,28,2,3,359524,92454011,3963772,218991,9281,1114737662,8953978,63493845,32988
24044.70,658,262144,64,111313,7335526396,762,344,576,11589005,0,65,43711,52,67,12,949489,117508164,1154,1,4,6047,138417954,35,553025744,66,19497,30435911,2,981511,576,152939846,798144897,2352219475,576,2998,0,3,1,2,2,7916,3,2339710076,2311768108,1048190160,140754961,141049873,3,1,7316702100,73389,73389,2,2,2,140705813,28,2,3,705956,185759988,8281187,696663,19439,2339710076,10892342,144647697,32988
30987.75,936,262144,64,163714,10788489226,1097,495,576,13592671,0,65,64251,52,67,12,949489,117508164,1154,1,4,6047,203568050,35,813173960,66,28492,46421856,2,981511,576,230143311,1135300966,3443185224,576,2998,0,3,1,2,2,7916,3,3424825435,3399106728,1504662146,207177229,207341069,3,1,10773215940,73389,73389,2,2,2,207177233,28,2,3,1029705,265415134,12298262,932747,28429,3424825435,12659924,217830687,32988
37547.29,1212,262144,64,208734,13754279964,1388,642,576,15291016,0,65,82015,52,67,12,949489,117508164,1154,1,4,6047,259757667,35,1038264088,66,36280,59595631,2,981511,576,295367349,1462952290,4389079163,576,2998,0,3,1,2,2,7916,3,4365654103,4332783979,1924766428,264169678,264448206,3,1,13735971320,73389,73389,2,2,2,264153298,28,2,3,1427743,342619913,16249868,1149032,36221,4365654103,14141984,279098978,32988
46863.61,1621,262144,64,284021,18714779699,1878,866,576,18120616,0,65,111813,52,67,12,949489,117508164,1154,1,4,6047,354079005,35,1415927960,66,49170,72152131,2,981511,576,401634576,1916488009,5951553814,576,2998,0,3,1,2,2,7916,3,5919772855,5894062044,2522130834,359441506,359963635,3,1,18690958344,73389,73389,2,2,2,359441510,28,2,3,1818340,448752948,21415322,1557975,49133,5919772855,16562641,380182799,32988
52484.35,1843,262144,64,332373,21901319424,2186,27414,576,19615817,0,65,130742,52,67,12,949489,117508164,1154,1,4,6047,414326376,35,1655883700,66,57478,84021395,2,981511,576,462605329,2187716676,6960726188,576,2998,0,3,1,2,2,7916,3,6923549868,6897923777,2883190365,420889515,421036971,3,1,21884550876,73389,73389,2,2,2,420856751,28,2,3,2122186,518105986,24619948,1664157,57416,6923549868,17951660,437935978,32988
58076.76,2052,262144,64,373521,24613366836,2454,27528,576,21017725,0,65,146993,52,67,12,949489,117508164,1154,1,4,6047,465730883,35,1861889520,66,64574,94098849,2,981511,576,515969835,2461691178,7822678654,576,2998,0,3,1,2,2,7916,3,7780890669,7751843738,3237234591,473040492,473220716,3,1,24597253648,73389,73389,2,2,2,473024112,28,2,3,2357531,584649384,27273396,1830466,64511,7780890669,19187259,488636758,32988
63196.79,2256,262144,64,411856,27139203316,2701,93668,576,22315144,0,65,162159,52,67,12,949489,117508164,1154,1,4,6047,513834707,35,2053982260,66,71162,100446167,2,981511,576,567781897,2730877492,8622196382,576,2998,0,3,1,2,2,7916,3,8576120987,8546812409,3575126175,521624519,521821127,3,1,27122771084,73389,73389,2,2,2,521591755,28,2,3,2553868,640070717,29719627,1960041,71103,8576120987,20355103,537998897,32988
68315.00,2458,262144,64,453750,29899379538,2968,93780,585,23752536,2,65,178611,52,67,12,949489,118949768,1172,1,4,6047,565901591,35,2262475504,66,78394,110310489,2,981511,585,621737537,2987039131,9497936639,583,3090,2,3,1,2,2,7916,3,9447173879,9416046372,3907165265,574691285,574820198,3,1,29883094884,73389,73389,2,2,2,574674905,28,2,3,2761292,701177995,32398361,2152008,78328,9447173879,21600528,589269742,33285
