timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5086.32,265,262144,64,62875,4142958430,448,47,576,2097799,0,13,24531,67,21986,116928996,1154,1,4,7122,77693540,16,309804356,66,11191,2340948,2,240977,576,75175357,204591552,1344507457,576,1780,0,3,1,2,2,8293,3,1337522041,1307386094,291842886,79341879,79552712,3,1,4125777740,73389,73389,2,2,2,79341883,18,3,321071,52349902,3203872,97164,11131,1337522041,2000635,71968725,9927
10116.48,530,262144,64,122070,8043670506,831,114,576,4013261,0,13,47944,67,21986,117508164,1154,1,4,7122,151772221,16,606572448,66,21341,6930974,2,240977,576,153280164,452862428,2576431187,576,1780,0,3,1,2,2,8293,3,2562968004,2535199609,630911914,154348475,154594235,3,1,8022712860,73389,73389,2,2,2,154282943,18,3,480163,108863187,5464366,205428,21284,2562968004,3807833,147811922,9927
15274.70,796,262144,64,176399,11624193344,1176,188,576,5723032,0,13,69279,67,21986,117508164,1154,1,4,7122,219432340,16,876954012,66,30676,10114395,2,240977,576,220449614,684343217,3708026765,576,1780,0,3,1,2,2,8293,3,3688635489,3662488127,945584964,223236091,223399931,3,1,11608276764,73389,73389,2,2,2,223236095,18,3,620656,162341218,7401591,313039,30615,3688635489,5409993,213038492,9927
20364.96,1008,262144,64,220626,14537097018,1462,245,576,7114111,0,13,86683,67,21986,117508164,1154,1,4,7122,274557820,16,1097455724,66,38308,15686543,2,240977,576,276297813,943792260,4635061143,576,1780,0,3,1,2,2,8293,3,4610759733,4579455343,1276759264,279243785,279440393,3,1,14520676852,73389,73389,2,2,2,279243789,18,3,833274,216071261,9459758,384189,38250,4610759733,6729922,266821854,9927
26189.06,1230,262144,64,268421,17688213098,1776,284,576,8607793,0,13,105594,67,21986,117508164,1154,1,4,7122,334524725,16,1337194084,66,46516,21128388,2,240977,576,337344244,1227677541,5630161718,576,1780,0,3,1,2,2,8293,3,5600581605,5571598577,1643005805,339882501,340029957,3,1,17673038116,73389,73389,2,2,2,339866121,18,3,1013760,273365712,11457503,463715,46458,5600581605,8144078,325864952,9927
31277.17,1390,262144,64,306127,20172525784,2019,335,576,9791601,0,13,120431,67,21986,117508164,1154,1,4,7122,381481663,16,1525151376,66,52984,24467803,2,240977,576,384264239,1486052747,6415180429,576,1780,0,3,1,2,2,8293,3,6381471855,6353643852,1970151186,387649487,387796943,3,1,20156921388,73389,73389,2,2,2,387633107,18,3,1137177,320234874,12887029,559046,52924,6381471855,9232555,371349009,9927
36375.37,1566,262144,64,346867,22855964278,2275,372,576,11043581,0,13,136444,67,21986,117508164,1154,1,4,7122,432323747,16,1728196160,66,59969,30007889,2,240977,576,434206286,1745258830,7264157186,576,1780,0,3,1,2,2,8293,3,7225965803,7198765589,2294531306,439239978,439420202,3,1,22840478888,73389,73389,2,2,2,439239982,18,3,1271823,374652627,14405724,649948,59908,7225965803,10393633,419772257,9927
41760.73,1777,262144,64,390923,25757938814,2567,407,576,12422163,0,13,153845,67,21986,117508164,1154,1,4,7122,487441193,16,1948666128,66,67571,35257545,2,240977,576,490821519,2030845068,8185256168,576,1780,0,3,1,2,2,8293,3,8142184741,8111950163,2650617702,495057097,495253705,3,1,25742969076,73389,73389,2,2,2,495057101,18,3,1417234,430857562,16150349,746734,67512,8142184741,11675429,474643602,9927
46837.84,1981,262144,64,435117,28671635970,2849,451,576,13816599,0,13,171259,67,21986,117508164,1154,1,4,7122,542520578,16,2169177548,66,75163,39814637,2,240977,576,545530867,2280384555,9107429063,576,1780,0,3,1,2,2,8293,3,9059506769,9029113935,2971348911,551094512,551272577,3,1,28654358752,73389,73389,2,2,2,551045364,18,3,1543553,480298296,17769046,859859,75107,9059506769,12956740,527729255,9927
51926.43,2133,262144,64,473838,31222014508,3147,496,612,15102312,2,13,186873,67,21986,123184664,1226,1,4,7122,591591296,16,2366365184,66,82047,43382602,2,240977,612,595734750,2525081217,9943111950,610,1949,2,3,1,2,2,8293,3,9890808698,9835532477,3289332796,600037902,600037902,3,1,31201970936,73389,73389,2,2,2,600037906,18,3,1695553,526532302,19480205,995023,81981,9890808698,14107289,576220037,10660
