timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5330.89,217,262144,64,50539,3330102244,367,85,576,1383299,0,17,19706,67,23130,114805380,1154,1,4,12983,62426215,21,248744280,66,9073,5509842,2,337205,576,46357198,244359937,1087553600,576,2701,0,3,1,2,2,14332,3,1081864837,1051244091,314203119,63676233,63938377,3,1,3311164148,73389,73389,2,2,2,63676237,27,3,250883,62639823,2294958,154080,9020,1081864837,1229219,44059943,29263
10721.59,439,262144,64,100885,6647737030,689,155,576,2686053,0,17,39542,67,23130,117218580,1154,1,4,12983,125210515,21,499937876,66,17715,16267940,2,337205,576,94713337,510839082,2137121074,576,2701,0,3,1,2,2,14332,3,2125908189,2095733436,663433560,127505955,127735331,3,1,6629457724,73389,73389,2,2,2,127489575,27,3,390182,133258458,4028481,290037,17652,2125908189,2396016,90676590,29263
15761.83,575,262144,64,138415,9120792898,934,223,576,3797767,0,17,54347,67,23130,117508164,1154,1,4,12983,172184796,21,687746700,66,24141,21681461,2,337205,576,135685043,767574707,2916087303,576,2701,0,3,1,2,2,14332,3,2900752885,2874356378,980891053,175098750,175309583,3,1,9103431096,73389,73389,2,2,2,175065986,27,3,538758,188898968,5660006,471662,24084,2900752885,3326105,130010874,29263
20884.43,736,262144,64,175581,11569040448,1175,291,576,4867338,0,17,68922,67,23130,117508164,1154,1,4,12983,218296446,21,872345960,66,30534,26625955,2,337205,576,176980818,1023284138,3690936728,576,2701,0,3,1,2,2,14332,3,3671498785,3645053382,1302943738,222165542,222362150,3,1,11551756248,73389,73389,2,2,2,222149162,27,3,648251,241993205,7101710,614253,30473,3671498785,4253085,169863771,29263
25977.39,936,262144,64,218638,14407390618,1456,4794,576,6237442,0,17,85951,67,23130,117508164,1154,1,4,12983,272220958,21,1088085200,66,37968,31948209,2,337205,576,225385055,1284909236,4593009540,576,2701,0,3,1,2,2,14332,3,4568835283,4538548286,1634813435,276759450,277019435,3,1,14390639464,73389,73389,2,2,2,276743070,27,3,799521,297616088,8980682,871078,37907,4568835283,5366364,216388373,29263
31078.18,1115,262144,64,263098,17336420866,1740,4871,576,7460537,0,17,103451,67,23130,117508164,1154,1,4,12983,327675300,21,1309925748,66,45607,36942668,2,337205,576,272766722,1539420736,5520414922,576,2701,0,3,1,2,2,14332,3,5491355840,5460651848,1958578066,333104731,333299180,3,1,17321446044,73389,73389,2,2,2,333104735,27,3,948094,353557124,10810886,995738,45547,5491355840,6464799,261938591,29263
36317.72,1370,262144,64,323401,21310531120,2134,4975,576,8943187,0,17,127234,67,23130,117508164,1154,1,4,12983,403112762,21,1611554904,66,55947,42951617,2,337205,576,332096171,1798501918,6774752157,576,2701,0,3,1,2,2,14332,3,6739090925,6711967321,2301647052,409481106,409710482,3,1,21291425876,73389,73389,2,2,2,409450501,27,3,1104954,421424514,12917947,1114993,55887,6739090925,7828194,319155352,29263
41573.62,1587,262144,64,381571,25143767146,2510,5057,576,10446166,0,17,150202,67,23130,117508164,1154,1,4,12983,475811466,21,1902406312,66,65955,52884029,2,337205,576,390177264,2038431465,7990365561,576,2701,0,3,1,2,2,14332,3,7948324250,7918428264,2632593375,483220101,483482245,3,1,25127445284,73389,73389,2,2,2,483220105,27,3,1273019,490551672,14975540,1279841,65896,7948324250,9166325,375176905,29263
46722.93,1771,262144,64,421995,27806049822,2767,5178,576,11607996,0,17,166076,67,23130,117508164,1154,1,4,12983,526164630,21,2103495648,66,72916,58652638,2,337205,576,435480570,2290696621,8834111388,576,2701,0,3,1,2,2,14332,3,8787606042,8756685344,2966130970,534388926,534583375,3,1,27787484484,73389,73389,2,2,2,534374705,27,3,1381195,543044454,16550824,1393939,72858,8787606042,10214057,418901576,29263
51753.38,1946,262144,64,461939,30437864630,3028,5246,585,12747763,2,17,181843,67,23130,118949768,1172,1,4,12983,575951670,21,2302966516,66,79923,68151841,2,337205,585,478451881,2548500718,9682584898,583,2761,2,3,1,2,2,14332,3,9631602974,9586896097,3297560055,584901947,585147707,3,1,30414049308,73389,73389,2,2,2,584885567,27,3,1531883,603396458,18224788,1551686,79859,9631602974,11196077,460196187,29553
