timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5085.59,19,262144,64,22355,1473334556,111,1,585,1737507,14,2643,49,67,2,237547,124484256,1172,1,66,3732,3839588,2,330650,585,5788000,35279709,482760055,585,6602,2,1,2,2,918,1,480420252,433893698,47262846,33135247,33151631,2,1,1457950868,73389,73389,2,2,2,33135247,17,3,119135,30986897,1242095,155134,3667,480420252,1582373,4550087,13613
10118.58,19,262144,64,25464,1677882336,112,1,585,1817836,14,3546,49,67,2,237547,124484256,1172,1,66,4187,4024297,2,330650,585,7216566,40153809,542704542,585,6602,2,1,2,2,918,1,540058012,493703941,64106959,37781826,37798210,2,1,1662400344,73389,73389,2,2,2,37781826,17,3,123984,33440989,1354676,162929,4122,540058012,1654907,5866059,13613
15154.17,19,262144,64,28374,1869653904,112,1,585,1891125,14,4340,49,67,2,237547,124484256,1172,1,66,4616,4197063,2,330650,585,8459642,45121142,599092024,585,6602,2,1,2,2,918,1,596156828,549815923,85878284,42147718,42147718,2,1,1854499592,73389,73389,2,2,2,42147718,17,3,130041,36194700,1450182,166320,4550,596156828,1724805,7012341,13613
20209.83,19,262144,64,31496,2075584556,113,1,585,1974228,14,5244,49,67,2,237547,124749708,1172,1,66,5075,4501322,2,330650,585,10123597,49693661,659558502,585,6602,2,1,2,2,918,1,656318876,610054762,132906563,46814555,46830939,2,1,2059840420,73389,73389,2,2,2,46814555,17,3,137212,39130996,1553307,169084,5009,656318876,1805144,8573103,13613
25244.54,19,262144,64,34382,2265783260,113,1,585,2050269,14,6032,49,67,2,237547,124749708,1172,1,66,5499,4664709,2,330650,585,11427532,54750344,715419554,585,6602,2,1,2,2,918,1,711893404,665665575,165391938,51147679,51147679,2,1,2250497876,73389,73389,2,2,2,51147679,17,3,139843,41647524,1627198,171874,5433,711893404,1878395,9803979,13613
30311.20,19,262144,64,38037,2506379148,114,1,585,2156204,14,7083,49,67,2,237547,124749708,1172,1,66,6034,4846195,2,330650,585,13017278,59183308,785900941,585,6602,2,1,2,2,918,1,782016924,735950995,185182091,56619491,56619491,2,1,2491257604,73389,73389,2,2,2,56619491,17,3,142488,44034887,1720115,186163,5968,782016924,1970041,11300650,13613
35371.05,19,262144,64,42443,2796723476,114,1,585,2255340,14,8286,49,67,2,237547,124749708,1172,1,66,6681,5040019,2,330650,585,15195691,63600818,871123427,585,6602,2,1,2,2,918,1,866820508,820819278,206256693,63209289,63225673,2,1,2781208716,73389,73389,2,2,2,63209289,17,3,149121,46491389,1869512,193536,6615,866820508,2061804,13329844,13613
40456.47,19,262144,64,48531,3198095712,115,1,585,2404154,14,9999,49,67,2,237547,125015160,1172,1,66,7576,5175384,2,330650,585,17717480,68027823,988984889,585,6602,2,1,2,2,918,1,984129948,938203844,358726979,72340322,72340322,2,1,3182974168,73389,73389,2,2,2,72340322,17,3,160521,48897655,2044168,201597,7510,984129948,2202557,15677861,13613
45483.49,19,262144,64,53579,3530779604,116,1,585,2565707,14,11430,49,67,2,237547,125280612,1172,1,66,8320,5298523,2,330650,585,19869775,72128077,1086978205,585,6602,2,1,2,2,918,1,1081647516,1035528320,415091094,79894617,79894617,2,1,3515363148,73389,73389,2,2,2,79894617,17,3,169062,51137584,2209727,218407,8254,1081647516,2347300,17663532,13613
50517.88,19,262144,64,61111,4027063342,118,1,585,2762523,14,13594,49,67,2,237547,125546064,1172,1,66,9423,5411939,2,330650,585,23373174,76151919,1232349131,585,6602,2,1,2,2,918,1,1226351004,1180531541,447861701,91169795,91186179,2,1,4011470980,73389,73389,2,2,2,91169795,17,3,180076,53072480,2445372,224561,9358,1226351004,2537962,20930993,13613
