timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5066.65,192,262144,64,46006,3031133194,337,40,576,1550426,0,15,17931,67,23956,112935150,1154,1,4,1045,56752264,24,226427056,66,8295,4627049,2,231520,576,50317969,229133261,994245395,576,1613,0,3,1,2,2,2335,3,989096496,956946793,300988019,57889251,58249699,3,1,3005981244,73389,73389,2,2,2,57807335,14,3,327874,53052531,2494529,154722,8238,989096496,1395704,47819337,25659
10199.95,429,262144,64,94629,6234292938,653,108,576,2740856,0,15,37068,67,23956,116928996,1154,1,4,1045,117391270,24,468596292,66,16634,10241902,2,231520,576,95546535,473378893,2004857851,576,1613,0,3,1,2,2,2335,3,1994403874,1965454929,628462858,119575272,119821032,3,1,6215358272,73389,73389,2,2,2,119526124,14,3,497575,110131736,4386317,243427,16574,1994403874,2497429,91147995,25659
15814.28,670,262144,64,142253,9373731788,963,180,576,3954548,0,15,55855,67,23956,117508164,1154,1,4,1045,176899748,24,706629264,66,24816,19576304,2,231520,576,140482965,742327869,2997491084,576,1613,0,3,1,2,2,2335,3,2981777142,2953900618,974030070,179931586,180175187,3,1,9355590536,73389,73389,2,2,2,179915206,14,3,634289,180733354,5945437,376801,24759,2981777142,3577747,134519763,25659
20847.73,827,262144,64,180762,11911031862,1208,263,576,4991681,0,15,70978,67,23956,117508164,1154,1,4,1045,224888137,24,898324868,66,31437,24910402,2,231520,576,181647296,1004071313,3800848107,576,1613,0,3,1,2,2,2335,3,3780899500,3752804508,1303762022,228753181,228947630,3,1,11891757572,73389,73389,2,2,2,228687649,14,3,800860,237008498,7677934,475674,31375,3780899500,4516007,173942439,25659
25879.24,967,262144,64,212510,14002721246,1412,324,576,5962812,0,15,83493,67,23956,117508164,1154,1,4,1045,264493608,24,1056941288,66,36908,29642031,2,231520,576,215985968,1246360295,4465316871,576,1613,0,3,1,2,2,2335,3,4441868373,4411323745,1602791949,269012865,269209473,3,1,13986965076,73389,73389,2,2,2,268980101,14,3,919988,282218350,9118644,648718,36845,4441868373,5314094,206839791,25659
31108.99,1125,262144,64,249682,16452918526,1653,404,576,7015101,0,15,98128,67,23956,117508164,1154,1,4,1045,310800092,24,1242231320,66,43307,34503011,2,231520,576,258414378,1523567235,5241265581,576,1613,0,3,1,2,2,2335,3,5213712644,5182418459,1953986527,316060670,316290046,3,1,16434302904,73389,73389,2,2,2,316044290,14,3,1102855,334594439,11054799,755444,43244,5213712644,6259657,247326094,25659
36179.10,1337,262144,64,299813,19756107952,1974,479,576,8472442,0,15,117926,67,23956,117508164,1154,1,4,1045,373542307,24,1493263840,66,51901,39956146,2,231520,576,310886589,1796492911,6283981629,576,1613,0,3,1,2,2,2335,3,6250938323,6222511898,2296636102,379605831,379851591,3,1,19738651276,73389,73389,2,2,2,379589451,14,3,1264864,395147981,12979725,1018666,51839,6250938323,7453776,297871275,25659
41236.04,1577,262144,64,360014,23722850978,2369,556,576,9989306,0,15,141702,67,23956,117508164,1154,1,4,1045,448931108,24,1794885164,66,62243,46344099,2,231520,576,368540652,2035560627,7538223836,576,1613,0,3,1,2,2,2335,3,7498582865,7471167472,2626334775,455824843,456152523,3,1,23700335964,73389,73389,2,2,2,455775695,14,3,1457808,466542431,15154848,1230647,62186,7498582865,8758659,353345427,25659
46790.54,1801,262144,64,416209,27425108956,2729,641,576,11484627,0,15,163834,67,23956,117508164,1154,1,4,1045,519020402,24,2075241816,66,71924,56202738,2,231520,576,424447169,2291576863,8713160921,576,1613,0,3,1,2,2,2335,3,8667296591,8637007362,2972012130,527092457,527239913,3,1,27405512192,73389,73389,2,2,2,527029084,14,3,1633159,535218677,17227908,1417041,71861,8667296591,10067586,407177080,25659
51839.44,1969,262144,64,458506,30212457232,3005,701,594,12834537,2,15,180492,67,23956,120392263,1190,1,4,1045,571668749,24,2286028952,66,79240,62663293,2,231520,594,469974720,2547110483,9600027881,592,1672,2,3,1,2,2,2335,3,9549465262,9514765848,3295494858,580636074,580873642,3,1,30190519976,73389,73389,2,2,2,580586926,14,3,1737050,594353525,18779640,1680646,79180,9549465262,11153891,451143986,25957
