timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5132.45,28,262144,64,24144,1591109364,111,2,585,750907,9,3129,67,18607,124484256,1172,1,66,3995,1275826,2,432472,585,0,7113874,27036614,517276301,585,1886,2,1,2,2,790,1,514761116,468395971,40328754,35817905,35817905,2,1,1575987820,73389,73389,2,2,2,35817905,21,3,290452,20093878,2166760,76811,3929,514761116,674096,4945850,9758
10163.87,28,262144,64,29617,1951646056,112,2,585,867331,9,4679,67,18607,124484256,1172,1,66,4798,1422539,2,432472,585,0,9032309,31287079,623032519,585,1886,2,1,2,2,790,1,620011932,573798798,64635474,44011176,44011176,2,1,1936491744,73389,73389,2,2,2,44011176,21,3,298465,22304552,2334947,81818,4732,620011932,785513,6696356,9758
15203.51,28,262144,64,34558,2277317596,113,3,585,976788,9,6080,67,18607,124749708,1172,1,66,5524,1597714,2,432472,585,0,11355211,35497789,718651435,585,1886,2,1,2,2,790,1,715170204,669040380,83706946,51409823,51409823,2,1,2262032212,73389,73389,2,2,2,51409823,21,3,303421,24833065,2462879,86517,5458,715170204,890271,8891921,9758
20209.86,28,262144,64,48229,3178038388,115,3,585,1177075,9,9912,67,18607,125015160,1172,1,66,7532,1685688,2,432472,585,0,15551576,39561877,982960636,585,1886,2,1,2,2,790,1,978362780,932311340,173809552,71875537,71891921,2,1,3162523628,73389,73389,2,2,2,71875537,21,3,319448,26674403,2723845,93725,7467,978362780,1083350,12825901,9758
25230.84,28,262144,64,89236,5880085066,122,3,585,1514890,9,21486,67,18607,126076968,1172,1,66,13557,1698393,2,432472,585,0,26138755,40448437,1775739628,585,1886,2,1,2,2,790,1,1768071580,1722228989,203892878,133286904,133303288,2,1,5864623776,73389,73389,2,2,2,133286904,21,3,344845,27677696,2974379,102017,13491,1768071580,1412873,23162797,9758
30262.00,28,262144,64,96471,6356868414,123,3,585,1716999,9,23514,67,18607,126318288,1172,1,66,14618,1748115,2,432472,585,0,29173078,44189541,1915457792,585,1886,2,1,2,2,790,1,1907138972,1861557534,262842771,144119714,144136098,2,1,6341267416,73389,73389,2,2,2,144119714,21,3,349891,29627422,3179244,112160,14552,1907138972,1604839,25991722,9758
35279.34,28,262144,64,101558,6692373662,124,3,585,1868397,9,24954,67,18607,126571674,1172,1,66,15367,1857160,2,432472,585,0,31631090,48169513,2014111333,585,1886,2,1,2,2,790,1,2005311900,1959678815,277085539,151753770,151753770,2,1,6677165880,73389,73389,2,2,2,151753770,21,3,353013,31803651,3320185,120377,15301,2005311900,1748020,28308901,9758
40311.31,28,262144,64,106567,7022501650,125,3,585,2016018,9,26376,67,18607,126837126,1172,1,66,16101,1952157,2,432472,585,0,34366880,52616556,2110788999,585,1886,2,1,2,2,790,1,2101518748,2056151995,337303685,159258913,159258913,2,1,7007392172,73389,73389,2,2,2,159258913,21,3,356748,33933290,3491320,125274,16035,2101518748,1890744,30874258,9758
45353.17,28,262144,64,113892,7504941918,126,3,585,2227103,9,28431,67,18607,126837126,1172,1,66,17179,2006480,2,432472,585,0,37586131,56396147,2252741275,585,1886,2,1,2,2,790,1,2242814364,2197127628,400023595,170216762,170233146,2,1,7489537528,73389,73389,2,2,2,170216762,21,3,362151,35791620,3686658,135375,17113,2242814364,2091728,33897841,9758
50368.51,28,262144,64,120936,7968966570,128,3,585,2426685,9,30462,67,18607,127102578,1172,1,66,18212,2082092,2,432472,585,0,41190162,60567248,2388774237,585,1886,2,1,2,2,790,1,2378211740,2332759374,508464624,180765011,180781395,2,1,7953660484,73389,73389,2,2,2,180765011,21,3,373465,37796017,3936262,143356,18147,2378211740,2283329,37252398,9758
