timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5101.29,18,262144,64,22273,1467960604,111,4,585,706732,26,2621,67,4860,124484256,1172,1,66,3721,1398954,2,180310,585,6510436,28101977,481192566,585,1592,2,1,2,2,1387,1,478847388,432367974,45560181,33020559,33020559,2,1,1452904596,73389,73389,2,2,2,33020559,29,1,3,174488,25790642,1559203,39957,3656,478847388,666775,4947762,10267
10117.77,18,262144,64,28022,1846585232,112,4,585,862239,26,4244,67,4860,124484256,1172,1,66,4564,1470978,2,180310,585,8810373,31973265,592221388,585,1592,2,1,2,2,1387,1,589341084,543068399,61386914,41623430,41623430,2,1,1831430920,73389,73389,2,2,2,41623430,29,1,3,178698,27903219,1720100,47657,4498,589341084,814582,7086218,10267
15141.70,18,262144,64,32638,2150692120,113,4,585,980828,26,5556,67,4860,124749708,1172,1,66,5240,1665221,2,180310,585,10958345,36333281,681393280,585,1592,2,1,2,2,1387,1,678076828,631988324,94554089,48524524,48540908,2,1,2135079056,73389,73389,2,2,2,48524524,29,1,3,188773,30106518,1871516,51543,5175,678076828,929285,9082168,10267
20160.57,18,262144,64,38367,2528006028,114,5,585,1110209,26,7176,67,4860,124749708,1172,1,66,6081,1806356,2,180310,585,13194961,40533682,792018103,585,1592,2,1,2,2,1387,1,788177308,742313415,167694702,57111011,57127395,2,1,2512884484,73389,73389,2,2,2,57111011,29,1,3,194465,32421807,2010562,57717,6015,788177308,1052492,11179696,10267
25212.13,18,262144,64,42862,2824448512,114,5,585,1214571,26,8400,67,4860,124749708,1172,1,66,6743,1923977,2,180310,585,14908049,44849693,879219843,585,1592,2,1,2,2,1387,1,874946972,828933455,202459024,63837914,63854298,2,1,2808868216,73389,73389,2,2,2,63837914,29,1,3,196270,34836738,2108738,68261,6677,874946972,1146310,12793842,10267
30227.86,18,262144,64,49342,3251510860,116,5,585,1344842,26,10275,67,4860,125280612,1172,1,66,7697,2052371,2,180310,585,17545100,49019556,1004848242,585,1592,2,1,2,2,1387,1,999989660,953850830,252871197,73550579,73550579,2,1,3236225476,73389,73389,2,2,2,73550579,29,1,3,197758,37171443,2246252,73848,7631,999989660,1270994,15294030,10267
35233.14,18,262144,64,81412,5364411430,121,5,585,1627490,26,19268,67,4860,125811516,1172,1,66,12407,2082460,2,180310,585,26462067,51180292,1624490174,585,1592,2,1,2,2,1387,1,1617207708,1571522547,307475304,121571517,121571517,2,1,5349146748,73389,73389,2,2,2,121571517,29,1,3,220405,38411808,2514256,82226,12341,1617207708,1545264,23943215,10267
40266.20,18,262144,64,101348,6678345650,124,5,585,1876622,26,24899,67,4860,126571674,1172,1,66,15337,2147684,2,180310,585,32169102,53534484,2010218240,585,1592,2,1,2,2,1387,1,2001379740,1955555695,328780633,151436441,151436441,2,1,6663203404,73389,73389,2,2,2,151436441,29,1,3,230298,39918733,2697116,88817,15271,2001379740,1787805,29467866,10267
45282.12,18,262144,64,108019,7118190826,125,5,585,2052195,26,26775,67,4860,126837126,1172,1,66,16316,2220265,2,180310,585,35116000,57317133,2139141047,585,1592,2,1,2,2,1387,1,2129699228,2084127334,349563338,161433667,161450051,2,1,7103081348,73389,73389,2,2,2,161433667,29,1,3,235691,41824746,2878405,93740,16250,2129699228,1958455,32233285,10267
50311.78,18,262144,64,112277,7398570374,126,5,585,2200764,26,27990,67,4860,126837126,1172,1,66,16941,2314562,2,180310,585,37816538,61912005,2221471744,585,1592,2,1,2,2,1387,1,2211619228,2166044845,507965283,167796248,167812632,2,1,7383034912,73389,73389,2,2,2,167796248,29,1,3,243959,44016397,3047739,118365,16875,2211619228,2082399,34765563,10267
