timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5049.63,214,262144,64,56063,3694005404,406,36,576,1905144,23,21879,67,2105,115782726,1154,1,4,11753,69263950,19,276215800,66,10015,2796591,2,117691,576,63733501,212974675,1201830382,576,1503,3,1,2,2,13020,3,1195600886,1165574243,295518289,70757551,70935616,3,1,3679392684,73389,73389,2,2,2,70757555,19,3,296843,51090682,2835648,196674,9958,1195600886,1708470,60892077,43170
10068.88,421,262144,64,102045,6725291172,702,91,576,3499925,23,39967,67,2105,117218580,1154,1,4,11753,126540773,19,505331856,66,17915,6221044,2,117691,576,117954408,445381261,2160513112,576,1503,3,1,2,2,13020,3,2149269951,2120164782,595881594,129068024,129199096,3,1,6711537280,73389,73389,2,2,2,129068028,19,3,472265,99873243,4742492,463814,17855,2149269951,3036111,113205004,43170
15148.44,640,262144,64,144859,9544675462,979,146,576,4957461,23,56857,67,2105,117508164,1154,1,4,11753,180070596,19,719442336,66,25249,9169176,2,117691,576,174673171,719853576,3049656490,576,1503,3,1,2,2,13020,3,3033764900,3007770005,943582221,183247187,183427411,3,1,9528853756,73389,73389,2,2,2,183247191,19,3,628562,145950949,6629363,641976,25189,3033764900,4315485,168033842,43170
20162.35,852,262144,64,186764,12306647342,1245,200,576,6423387,23,73322,67,2105,117508164,1154,1,4,11753,232171875,19,928041732,66,32472,12494075,2,117691,576,229078062,967735082,3927111823,576,1503,3,1,2,2,13020,3,3906614055,3877315341,1260233661,236395429,236542885,3,1,12290858404,73389,73389,2,2,2,236362665,19,3,763179,193866925,8317921,837859,32410,3906614055,5585528,220748063,43170
25228.51,22056,262144,64,224380,14785954672,1489,239,576,7638729,23,88212,67,2105,117508164,1154,1,4,11753,279424989,19,1116731316,66,38957,16529641,2,117691,576,279480524,1236468821,4714043007,576,1503,3,1,2,2,13020,3,4689414336,4657507331,1595633525,284024866,284287010,3,1,14766737160,73389,73389,2,2,2,283975718,19,3,969173,241235931,10289656,924428,38899,4689414336,6714301,269175547,43170
30242.84,22267,262144,64,267425,17620900088,1766,282,576,9072512,23,105157,67,2105,117508164,1154,1,4,11753,333148291,19,1331688428,66,46338,19721906,2,117691,576,333747064,1477268143,5609447478,576,1503,3,1,2,2,13020,3,5580094469,5550162023,1905970576,338595086,338756767,3,1,17606092536,73389,73389,2,2,2,338578706,19,3,1165994,288845485,12302072,1078554,46276,5580094469,7993958,321427758,43170
35280.18,22484,262144,64,312629,20599533740,2062,323,576,10474068,23,123005,67,2105,117508164,1154,1,4,11753,389535234,19,1557688804,66,54088,23942769,2,117691,576,392073103,1738716436,6548711097,576,1503,3,1,2,2,13020,3,6514427868,6488039685,2239926155,395875970,396023426,3,1,20560843400,73389,73389,2,2,2,395400838,19,3,1382390,340140499,14371057,1172062,54025,6514427868,9302006,377682205,43170
40315.66,22689,262144,64,354058,23330045032,2327,364,576,11836185,23,139316,67,2105,117508164,1154,1,4,11753,441315405,19,1764527572,66,61198,27396549,2,117691,576,446863078,1993568622,7412812044,576,1503,3,1,2,2,13020,3,7373980908,7347429235,2563982649,448379203,448543043,3,1,23315718588,73389,73389,2,2,2,448379207,19,3,1534864,386258168,16164642,1283012,61135,7373980908,10553173,430675803,43170
45334.49,22887,262144,64,396662,26137790378,2603,404,576,13182195,23,156114,67,2105,117508164,1154,1,4,11753,494539312,19,1977381744,66,68548,31274273,2,117691,576,501424015,2233181005,8304827691,576,1503,3,1,2,2,13020,3,8261321011,8231656484,2877077380,502379413,502510485,3,1,26122877540,73389,73389,2,2,2,502363033,19,3,1718437,432701688,18063936,1377374,68488,8261321011,11804821,483355659,43170
50428.44,23091,262144,64,438000,28860395268,2868,445,576,14526027,23,172374,67,2105,117508164,1154,1,4,11753,546017662,19,2183400656,66,75659,34276348,2,117691,576,553810107,2482595517,9167377562,576,1503,3,1,2,2,13020,3,9119342899,9088841595,3192696047,554739952,554854640,3,1,28845625568,73389,73389,2,2,2,554723572,19,3,1888264,480123901,19861368,1524187,75597,9119342899,13001840,533919508,43170
