timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
8901.67,47,262144,64,20193,1330849368,111,5,585,8606869,47,2052,51,67,7,679508,124484256,1172,1,66,3414,4167602,2,836861,585,7785244,54122221,440822260,585,3262,2,1,2,2,1540,1,438608284,392325883,83639833,29889500,29905884,2,1,1315138000,73389,73389,2,2,2,29889500,28,1,3,205616,43643987,2727496,224300,3349,438608284,8382569,5061306,18923
14969.48,47,262144,64,22533,1484999964,111,5,585,8677764,47,2691,51,67,7,679508,124484256,1172,1,66,3759,4672353,2,836861,585,9114626,60258249,486150774,585,3262,2,1,2,2,1540,1,483697052,437351389,104296941,33397391,33413775,2,1,1469485204,73389,73389,2,2,2,33397391,28,1,3,214241,46893727,2857422,227802,3693,483697052,8449962,6260833,18923
24170.64,47,262144,64,25915,1707704524,112,6,585,8788976,47,3669,51,67,7,679508,124484256,1172,1,66,4253,5414611,2,836861,585,11239951,68508793,551378776,585,3262,2,1,2,2,1540,1,548577692,502434070,129122455,38459603,38475987,2,1,1692222532,73389,73389,2,2,2,38459603,28,1,3,223175,51857117,3060381,233868,4187,548577692,8555108,8182575,18923
31324.92,47,262144,64,28219,1859495824,112,6,585,8866718,47,4296,51,67,7,679508,124484256,1172,1,66,4592,6033667,2,836861,585,12478032,74375301,596050184,585,3262,2,1,2,2,1540,1,593011100,546834951,161693466,41918342,41918342,2,1,1844407048,73389,73389,2,2,2,41918342,28,1,3,226929,55189000,3196236,237896,4526,593011100,8628822,9282996,18923
37635.41,47,262144,64,30507,2010238548,112,6,585,8939382,47,4922,51,67,7,679508,124484256,1172,1,66,4928,6637625,2,836861,585,14034596,80817835,640458002,585,3262,2,1,2,2,1540,1,637182364,590899921,185650176,45344313,45344313,2,1,1995149772,73389,73389,2,2,2,45344313,28,1,3,233722,58401961,3319318,241403,4863,637182364,8697979,10717997,18923
46987.54,47,262144,64,34256,2257525724,113,6,585,9058110,47,5997,51,67,7,679508,124749708,1172,1,66,5481,7227184,2,836861,585,16284688,89711576,713195043,585,3262,2,1,2,2,1540,1,709534108,663216544,222303515,50951071,50967455,2,1,2241847124,73389,73389,2,2,2,50951071,28,1,3,243132,63469674,3534994,247332,5415,709534108,8810778,12752063,18923
52588.53,47,262144,64,36859,2428912288,113,6,585,9152566,47,6706,51,67,7,679508,124749708,1172,1,66,5862,7847851,2,836861,585,18015484,95015104,763398824,585,3262,2,1,2,2,1540,1,759472540,713332589,243282984,54852178,54868562,2,1,2413495832,73389,73389,2,2,2,54852178,28,1,3,251215,66298677,3681483,272819,5796,759472540,8879747,14335305,18923
58104.08,47,262144,64,38982,2568576120,114,6,585,9213467,47,7343,51,67,7,679508,124749708,1172,1,66,6171,8223368,2,836861,585,19387593,100223988,804246245,585,3262,2,1,2,2,1540,1,800104860,754127168,394251177,58034548,58034548,2,1,2553520112,73389,73389,2,2,2,58034548,28,1,3,258916,69164563,3828437,275730,6106,800104860,8937737,15560325,18923
63238.02,47,262144,64,40672,2680128316,114,6,585,9277524,47,7803,51,67,7,679508,124749708,1172,1,66,6420,8453677,2,836861,585,20210235,104727791,837060838,585,3262,2,1,2,2,1540,1,832741788,786718428,405981926,60559399,60575783,2,1,2664613556,73389,73389,2,2,2,60559399,28,1,3,261604,71669686,3900451,289118,6355,832741788,8988406,16310993,18923
68402.84,47,262144,64,42707,2814024980,114,6,585,9336509,47,8358,51,67,7,679508,124749708,1172,1,66,6719,9032746,2,836861,585,21675689,109588533,876330350,585,3262,2,1,2,2,1540,1,871801244,825881579,427181143,63602505,63618889,2,1,2798510220,73389,73389,2,2,2,63602505,28,1,3,266384,74546602,4022831,292011,6654,871801244,9044498,17652572,18923
73448.48,47,262144,64,45523,2999756824,115,6,585,9409841,47,9180,51,67,7,679508,125015160,1172,1,66,7134,9256138,2,836861,585,23488576,114812482,931141956,585,3262,2,1,2,2,1540,1,926327196,880155133,519640331,67820941,67843358,2,1,2984121404,73389,73389,2,2,2,67820941,28,1,3,270865,77095242,4150960,295716,7069,926327196,9114125,19337241,18923
78525.05,47,262144,64,48849,3218936160,115,6,585,9482212,47,10088,51,67,7,679508,125015160,1172,1,66,7623,9595181,2,836861,585,24867718,119236439,995431757,585,3262,2,1,2,2,1540,1,990290332,944275453,535117879,72815458,72815458,2,1,3203880152,73389,73389,2,2,2,72815458,28,1,3,274795,79686161,4243229,299015,7557,990290332,9183197,20623703,18923
83556.75,47,262144,64,53179,3504299752,116,6,585,9569744,47,11322,51,67,7,679508,125280612,1172,1,66,8260,9892324,2,836861,585,26785989,124059313,1079335821,585,3262,2,1,2,2,1540,1,1073783196,1027789786,736286121,79282376,79298760,2,1,3488424544,73389,73389,2,2,2,79282376,28,1,3,281041,82334327,4348259,302368,8194,1073783196,9267376,22437850,18923
88610.63,47,262144,64,58037,3824278418,117,6,585,9677742,47,12704,51,67,7,679508,125280612,1172,1,66,8973,10002782,2,836861,585,28511145,128441327,1173243086,585,3262,2,1,2,2,1540,1,1167237532,1121287291,750510479,86568494,86568494,2,1,3809013736,73389,73389,2,2,2,86568494,28,1,3,283596,84521453,4449353,305621,8907,1167237532,9372121,24062609,18923
93733.86,47,262144,64,61907,4079495450,118,6,585,9772836,47,13813,51,67,7,679508,125546064,1172,1,66,9541,10199229,2,836861,585,30095718,133038555,1247934804,585,3262,2,1,2,2,1540,1,1241555356,1195861328,851407680,92371860,92371860,2,1,4064361840,73389,73389,2,2,2,92371860,28,1,3,286023,86893162,4535017,308476,9475,1241555356,9464360,25561664,18923
