timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5315.52,190,262144,64,43546,2869070014,319,34,576,1466016,18,16913,67,63668,112090530,1154,1,4,992,53616876,23,213346576,66,7866,5209859,2,335227,576,53134077,240085251,942271565,576,1809,3,1,2,2,2320,3,937344409,906306715,317154405,54889264,55034561,3,1,2852537824,73389,73389,2,2,2,54856500,20,3,294242,51351655,2519718,100035,7803,937344409,1365981,50624640,12902
10498.08,372,262144,64,85039,5603884204,593,71,576,2774123,18,33281,67,63668,117218580,1154,1,4,992,105339217,23,420654616,66,14994,8661064,2,335227,576,103578397,483094033,1805573525,576,1809,3,1,2,2,2320,3,1796094562,1767231402,631388142,107472258,107636098,3,1,5584297608,73389,73389,2,2,2,107390342,20,3,435969,99098579,4156924,165843,14932,1796094562,2608280,99411597,12902
15697.45,556,262144,64,128839,8490987952,873,109,576,4181818,18,50542,67,63668,117508164,1154,1,4,992,160116606,23,639367792,66,22515,13539891,2,335227,576,158743478,746525301,2717669760,576,1809,3,1,2,2,2320,3,2703374694,2675776511,969130223,162973319,163169927,3,1,8473760652,73389,73389,2,2,2,162956939,20,3,594852,152038334,5975541,288384,22452,2703374694,3893434,152758835,12902
20796.44,708,262144,64,164190,10819672296,1104,134,576,5243098,18,64454,67,63668,117508164,1154,1,4,992,204191768,23,815732824,66,28574,17351027,2,335227,576,202356760,1004267195,3452604636,576,1809,3,1,2,2,2320,3,3434444427,3409496472,1292152474,207799821,207914509,3,1,10805590724,73389,73389,2,2,2,207799825,20,3,722982,198492877,7375459,331524,28510,3434575499,4911728,194974927,12902
25861.05,882,262144,64,201185,13256761454,1338,161,576,6380689,18,79092,67,63668,117508164,1154,1,4,992,250496817,23,1001470564,66,34961,21290193,2,335227,576,247467130,1272561676,4229822628,576,1809,3,1,2,2,2320,3,4207602600,4176117149,1622820556,254629045,254825653,3,1,13239006436,73389,73389,2,2,2,254596281,20,3,867755,243186806,8904912,401413,34901,4207602600,5979276,238554724,12902
31417.35,1102,262144,64,245917,16204618972,1631,203,576,7757846,18,96704,67,63668,117508164,1154,1,4,992,306341848,23,1224592224,66,42661,25701228,2,335227,576,303531245,1560516180,5162408994,576,1809,3,1,2,2,2320,3,5135252688,5104529335,1982964498,311295529,311574057,3,1,16187367540,73389,73389,2,2,2,311295533,20,3,1001425,301279352,10628565,469596,42600,5135252688,7288250,292891146,12902
36587.89,1309,262144,64,290074,19114177924,1914,256,576,9151397,18,114112,67,63668,117508164,1154,1,4,992,361509626,23,1445003900,66,50232,30639694,2,335227,576,357677958,1819086108,6082094345,576,1809,3,1,2,2,2320,3,6050092765,6020713527,2317199283,367253627,367483003,3,1,19097188636,73389,73389,2,2,2,367253631,20,3,1141434,351379474,12300527,586014,50174,6050092765,8565383,345368402,12902
41737.80,1503,262144,64,332859,21933519834,2190,285,576,10464842,18,130929,67,63668,117508164,1154,1,4,992,414891896,23,1658210336,66,57553,34511026,2,335227,576,410054326,2068185465,6969927553,576,1809,3,1,2,2,2320,3,6933228850,6908075596,2638237152,421567292,421698364,3,1,21920647248,73389,73389,2,2,2,421550912,20,3,1278638,401517564,13919441,684798,57491,6933228850,9780044,396126528,12902
46821.54,1715,262144,64,378539,24943795064,2487,349,576,12046145,18,148989,67,63668,117508164,1154,1,4,992,472030213,23,1887151596,66,65445,38116974,2,335227,576,467698401,2334097817,7927812755,576,1809,3,1,2,2,2320,3,7886074601,7855614518,2980365653,479394881,479558721,3,1,24926090208,73389,73389,2,2,2,479347892,20,3,1437028,451745817,15712023,966309,65388,7886074601,11079836,451979091,12902
51881.78,1975,262144,64,437038,28798314916,2863,405,576,13840800,18,172084,67,63668,117508164,1154,1,4,992,545154072,23,2180034720,66,75496,41087093,2,335227,576,538395883,2579960629,9146907669,576,1809,3,1,2,2,2320,3,9098765230,9068970017,3309465324,553488291,553734051,3,1,28779687228,73389,73389,2,2,2,553455527,20,3,1586182,507929678,17752950,1071304,75437,9098765230,12769496,520635291,12902
