timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5214.31,25,262144,64,21460,1414160998,111,2,585,1959066,16,2399,51,67,4,582487,124484256,1172,1,66,3599,2756964,2,618590,585,5775937,35508492,465085259,585,2322,2,1,2,2,908,1,462856604,416655935,57938612,31796077,31796077,2,1,1399027388,73389,73389,2,2,2,31796077,20,1,3,106480,28647233,1175806,59303,3533,462856604,1899763,4602895,25404
10247.86,25,262144,64,23813,1569416948,111,2,585,2022449,16,3041,51,67,4,582487,124484256,1172,1,66,3946,3143621,2,618590,585,6916515,40573315,510803485,585,2322,2,1,2,2,908,1,508338588,462035027,73373636,35326385,35326385,2,1,1554360940,73389,73389,2,2,2,35326385,20,1,3,110165,31611544,1260541,62753,3880,508338588,1959696,5657432,25404
15719.30,25,262144,64,25969,1711243468,112,2,585,2077909,16,3684,51,67,4,582487,124484256,1172,1,66,4261,3491312,2,618590,585,7806579,45329194,552308395,585,2322,2,1,2,2,908,1,549626268,503441036,96540826,38541523,38557907,2,1,1695827012,73389,73389,2,2,2,38541523,20,1,3,114054,34316588,1340221,65892,4195,549626268,2012017,6467640,25404
20901.04,25,262144,64,28577,1882975811,112,2,585,2139570,16,4395,51,67,4,582487,124484256,1172,1,66,4643,3866678,2,618590,585,9304135,50346913,602635396,585,2322,2,1,2,2,908,1,599695772,553691134,137440391,42442630,42459014,2,1,1867475720,73389,73389,2,2,2,42442630,20,1,3,121798,37414592,1449745,69208,4577,599695772,2070362,7855350,25404
25962.84,25,262144,64,31476,2074273836,113,2,585,2208173,16,5238,51,67,4,582487,124749708,1172,1,66,5073,4186743,2,618590,585,10665571,55181275,659151880,585,2322,2,1,2,2,908,1,655925660,609688633,153247632,46781787,46798171,2,1,2058398628,73389,73389,2,2,2,46781787,20,1,3,125486,40607824,1529112,72967,5007,655925660,2135206,9137303,25404
30985.41,25,262144,64,34875,2298092508,113,2,585,2288942,16,6163,51,67,4,582487,124749708,1172,1,66,5571,4462263,2,618590,585,12519181,59949908,724887438,585,2322,2,1,2,2,908,1,721330588,675088031,221679425,51868575,51884959,2,1,2282217300,73389,73389,2,2,2,51868575,20,1,3,131516,43298478,1651669,77100,5505,721330588,2211842,10867820,25404
36614.31,25,262144,64,37421,2465743520,114,3,585,2356910,16,6915,51,67,4,582487,124749708,1172,1,66,5943,4736286,2,618590,585,13842977,65113583,773897258,585,2322,2,1,2,2,908,1,770089372,724073266,241842209,55695954,55695954,2,1,2449901080,73389,73389,2,2,2,55679570,20,1,3,135153,46429521,1735129,80207,5877,770089372,2276703,12108605,25404
41628.93,25,262144,64,39665,2613602660,114,3,585,2410019,16,7527,51,67,4,582487,124749708,1172,1,66,6273,5209824,2,618590,585,14927101,69760861,817374771,585,2322,2,1,2,2,908,1,813343132,767301663,300957467,59056389,59056389,2,1,2598481116,73389,73389,2,2,2,59056389,20,1,3,137700,49680084,1807417,83016,6207,813343132,2327003,13119807,25404
46715.19,25,262144,64,42546,2803473684,114,3,585,2476900,16,8313,51,67,4,582487,124749708,1172,1,66,6696,5671822,2,618590,585,15801487,74177491,873104455,585,2322,2,1,2,2,908,1,868786588,822790204,313790729,63373129,63373129,2,1,2787696780,73389,73389,2,2,2,63356745,20,1,3,139496,52595559,1876138,87179,6630,868786588,2389721,13925415,25404
51770.71,25,262144,64,45996,3030900144,115,4,585,2552884,16,9309,51,67,4,582487,125015160,1172,1,66,7202,6171352,2,618590,585,17226656,78888554,939757916,585,2322,2,1,2,2,908,1,935109020,889285884,372583688,68531486,68547870,2,1,3015385384,73389,73389,2,2,2,68531486,20,1,3,145274,55516559,1997484,90603,7136,935109020,2462281,15229451,25404
