timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5140.28,38,262144,64,22721,1497320732,111,585,646765,17,2742,67,124484256,1172,1,66,3786,1512840,2,692953,585,5643079,28141629,489876779,585,2330,2,1,2,2,991,1,487498140,440975848,38542392,33675919,33692303,2,1,1481740436,73389,73389,2,2,2,33675919,17,3,64843,22724644,828681,24919,3721,487498140,621846,4813435,23651
10171.11,38,262144,64,27769,1829739172,112,585,755259,17,4173,67,124484256,1172,1,66,4526,1633201,2,692953,585,7950910,32746778,587207677,585,2330,2,1,2,2,991,1,584360348,538171072,71038804,41240565,41240565,2,1,1814584860,73389,73389,2,2,2,41240565,17,3,68397,25114624,948322,29502,4460,584360348,725757,7002481,23651
15255.15,38,262144,64,32337,2130965784,113,585,880477,17,5472,67,124749708,1172,1,66,5197,1721457,2,692953,585,10407178,36899648,675590748,585,2330,2,1,2,2,991,1,672309660,626271217,92337559,48082156,48082156,2,1,2115614864,73389,73389,2,2,2,48082156,17,3,70775,27269668,1065155,33516,5131,672309660,846961,9342216,23651
20277.41,38,262144,64,38688,2549308536,114,585,1065972,17,7263,67,124749708,1172,1,66,6129,1822724,2,692953,585,13311992,40930768,798330077,585,2330,2,1,2,2,991,1,794468764,748509267,129543753,57592180,57608564,2,1,2534055920,73389,73389,2,2,2,57592180,17,3,72124,29333667,1215894,40926,6063,794468764,1025046,12097058,23651
25283.82,38,262144,64,55148,3633883106,117,585,1291060,17,11866,67,125280612,1172,1,66,8546,1881138,2,692953,585,18676086,44711422,1116433309,585,2330,2,1,2,2,991,1,1111269788,1065580001,200597819,82235370,82251754,2,1,3618356280,73389,73389,2,2,2,82235370,17,3,79856,31179772,1431460,47254,8481,1111269788,1243808,17243757,23651
30289.59,38,262144,64,102109,6728483998,124,585,1644245,17,25054,67,126571674,1172,1,66,15449,1884990,2,692953,585,29907237,45111501,2024706500,585,2330,2,1,2,2,991,1,2016059804,1970259878,225471466,152556586,152572970,2,1,6712489784,73389,73389,2,2,2,152556586,17,3,110340,32003358,1718771,56246,15383,2016059804,1587999,28187650,23651
35294.77,38,262144,64,147531,9721718214,132,585,1977910,17,37932,67,127886868,1172,1,66,22123,1887851,2,692953,585,40611479,45339055,2902862258,585,2330,2,1,2,2,991,1,2890834332,2845191320,260223641,220604744,220604744,2,1,9705887840,73389,73389,2,2,2,220588360,17,3,124633,32755039,1929604,64778,22057,2890834332,1913132,38681684,23651
40299.88,38,262144,64,194864,12840457178,140,585,2318795,17,51280,67,128948676,1172,1,66,29075,1890928,2,692953,585,51938167,45467988,3817442733,585,2330,2,1,2,2,991,1,3801915804,3756766147,290369561,291476983,291493367,2,1,12824987252,73389,73389,2,2,2,291476983,17,3,153279,33519142,2204557,73541,29009,3801915804,2245254,49733854,23651
45305.19,38,262144,64,243856,16068789118,148,585,2680557,17,65025,67,130275936,1172,1,66,36270,1893873,2,692953,585,63978924,45550503,4764289776,585,2330,2,1,2,2,991,1,4745109916,4700632058,323326934,364849497,364849497,2,1,16052656972,73389,73389,2,2,2,364833113,17,3,182722,34311513,2457981,82665,36204,4745109916,2597892,61521815,23651
50310.22,38,262144,64,289018,19044453070,156,585,2999315,17,77802,67,131337744,1172,1,66,42905,1896043,2,692953,585,73841607,45638486,5637296360,585,2330,2,1,2,2,991,1,5614772636,5570488915,352535347,432475989,432492373,2,1,19028943516,73389,73389,2,2,2,432475989,17,3,211564,35013713,2665153,90481,42840,5614772636,2908834,71177057,23651
55337.91,38,262144,64,339405,22364666238,164,585,3369817,17,92019,67,132665004,1172,1,66,50305,1901216,2,692953,585,84823778,45921328,6611080781,585,2330,2,1,2,2,991,1,6584836508,6540996491,412537086,507941337,507957721,2,1,22349418828,73389,73389,2,2,2,507941337,17,3,231878,35853878,2893819,99990,50240,6584836508,3269827,81930622,23651
