timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
8579.68,57,262144,64,21955,1446854704,111,15,585,776002,19,2532,37,67,38,74762,124484256,1172,1,66,3673,6468365,2,832931,585,7130203,54372169,474955935,585,15560,2,1,2,2,919,1,472555932,426234573,68550296,32539390,32539390,2,1,1431733160,73389,73389,2,2,2,32539390,21,1,3,91418,41380764,1326956,70175,3607,472555932,705827,5803580,19167
18503.96,57,262144,64,25413,1674540000,112,16,585,887537,19,3531,37,67,38,74762,124484256,1172,1,66,4180,7424272,2,832931,585,9415776,63151677,541766303,585,15560,2,1,2,2,919,1,539009436,492802352,98890428,37699906,37716290,2,1,1658795864,73389,73389,2,2,2,37699906,21,1,3,95635,46239900,1483546,76589,4115,539009436,810948,7932181,19167
24935.66,57,262144,64,27471,1810209444,112,16,585,946742,19,4092,37,67,38,74762,124484256,1172,1,66,4483,7976002,2,832931,585,10416376,69693909,581691883,585,15560,2,1,2,2,919,1,578724252,532428202,137471577,40798197,40798197,2,1,1795120668,73389,73389,2,2,2,40798197,21,1,3,96248,49447342,1549365,79715,4417,578724252,867027,8867053,19167
33049.19,57,262144,64,30608,2016857684,112,16,585,1037616,19,4949,37,67,38,74762,124484256,1172,1,66,4944,8414546,2,832931,585,12526288,77562497,642438225,585,15560,2,1,2,2,919,1,639148444,592878934,202042377,45491769,45491769,2,1,2001637836,73389,73389,2,2,2,45491769,21,1,3,105466,53598035,1754621,84819,4878,639148444,952797,10771701,19167
38195.11,57,262144,64,32803,2161771012,113,16,585,1103076,19,5601,37,67,38,74762,124749708,1172,1,66,5266,8881696,2,832931,585,14116652,81885444,684863356,585,15560,2,1,2,2,919,1,681353628,635206846,259874205,48776317,48792701,2,1,2146157948,73389,73389,2,2,2,48776317,21,1,3,106627,56119980,1858176,88170,5200,681353628,1014906,12258521,19167
43556.40,57,262144,64,34896,2299468764,113,16,585,1165933,19,6171,37,67,38,74762,124749708,1172,1,66,5573,9164400,2,832931,585,15827912,87015619,725445371,585,15560,2,1,2,2,919,1,721723804,675501224,293845472,51901343,51917727,2,1,2283659092,73389,73389,2,2,2,51901343,21,1,3,108283,58828265,1952455,91504,5508,721723804,1074429,13875432,19167
49551.68,57,262144,64,36791,2424455840,113,16,585,1223828,19,6689,37,67,38,74762,124749708,1172,1,66,5852,9722435,2,832931,585,16748394,92403607,762210402,585,15560,2,1,2,2,919,1,758292892,712031649,315238626,54753874,54753874,2,1,2409170456,73389,73389,2,2,2,54753874,21,1,3,108771,62097305,2021982,94439,5787,758292892,1129389,14726559,19167
54834.59,57,262144,64,39101,2576374904,114,16,585,1311492,19,7374,37,67,38,74762,124749708,1172,1,66,6190,10228198,2,832931,585,17598414,96904661,806750627,585,15560,2,1,2,2,919,1,802595228,756437947,322270896,58198388,58214772,2,1,2560729072,73389,73389,2,2,2,58198388,21,1,3,108973,64558384,2095888,120640,6125,802595228,1190852,15501817,19167
59899.39,57,262144,64,41392,2727579688,114,16,585,1374242,19,8000,37,67,38,74762,124749708,1172,1,66,6524,10495734,2,832931,585,19183990,101372686,850628703,585,15560,2,1,2,2,919,1,846242204,800631161,372089695,61646776,61646776,2,1,2712458144,73389,73389,2,2,2,61646776,21,1,3,110513,66813736,2188439,123790,6458,846242204,1250452,16995344,19167
65018.11,57,262144,64,44977,2963853508,115,17,585,1453815,19,9032,37,67,38,74762,125015160,1172,1,66,7052,10692494,2,832931,585,20626125,106085638,920180302,585,15560,2,1,2,2,919,1,915448220,869692082,405044819,67018125,67018125,2,1,2948797500,73389,73389,2,2,2,67018125,21,1,3,111920,69495889,2276794,127369,6986,915448220,1326446,18348455,19167
