timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5018.17,16,262144,64,50245,3310955320,116,0,585,1035353,18,10501,60,67,77789,125280612,1172,1,66,7827,504781,2,102573,585,12470418,14298171,1021284150,585,1315,2,1,2,2,1027,1,1017029020,971243926,42000252,74900100,74900100,2,1,3294883504,73389,73389,2,2,2,74883716,19,3,332023,11112180,2408041,33420,7761,1017029020,1001933,10065867,27569
10035.51,16,262144,64,102798,6774169206,125,0,585,1433292,18,25336,60,67,77789,126837126,1172,1,66,15550,505687,2,102573,585,22487721,14563534,2037446284,585,1315,2,1,2,2,1027,1,2029298076,1983505305,82922949,153609036,153625420,2,1,6758797584,73389,73389,2,2,2,153609036,19,3,375514,11953383,2638438,42153,15484,2029298076,1391139,19852310,27569
15056.36,16,262144,64,110929,7309696942,126,0,585,1674602,18,27623,60,67,77789,126837126,1172,1,66,16744,547959,2,102573,585,26141107,17934310,2194660929,585,1315,2,1,2,2,1027,1,2185798044,2140104927,116952486,165785334,165785334,2,1,7294554696,73389,73389,2,2,2,165785334,19,3,382140,13792085,2889693,48791,16678,2185798044,1625811,23255223,27569
20148.46,16,262144,64,114866,7569304886,127,0,585,1792877,18,28749,60,67,77789,127102578,1172,1,66,17324,730636,2,102573,585,28121158,22092392,2271064377,585,1315,2,1,2,2,1027,1,2261819804,2215982583,135830289,171670620,171687004,2,1,7553507280,73389,73389,2,2,2,171670620,19,3,388379,16237075,3016254,53191,17258,2261819804,1739686,25109081,27569
25265.13,16,262144,64,118407,7802429670,127,0,585,1898111,18,29715,60,67,77789,127102578,1172,1,66,17842,893849,2,102573,585,29716482,26632895,2339308831,585,1315,2,1,2,2,1027,1,2329715100,2284126471,152847800,176986784,176986784,2,1,7787418496,73389,73389,2,2,2,176986784,19,3,392876,18782499,3108883,56807,17776,2329715100,1841304,26611906,27569
30323.92,16,262144,64,121514,8007111830,128,0,585,1989948,18,30618,60,67,77789,127102578,1172,1,66,18297,1132981,2,102573,585,31183101,31446533,2399255070,585,1315,2,1,2,2,1027,1,2389352860,2343952180,190625673,181639396,181639396,2,1,7992133424,73389,73389,2,2,2,181639396,19,3,394195,21577341,3193743,59718,18231,2389352860,1930230,27992903,27569
35365.82,16,262144,64,124395,8196982854,128,0,585,2069051,18,31404,60,67,77789,127102578,1172,1,66,18720,1310593,2,102573,585,33394406,37094927,2454986380,585,1315,2,1,2,2,1027,1,2444796316,2399447932,263360848,185956136,185956136,2,1,8182069984,73389,73389,2,2,2,185956136,19,3,401990,24104735,3327387,62755,18654,2444796316,2006296,30069910,27569
40406.40,16,262144,64,126946,8365226998,129,0,585,2138038,18,32154,60,67,77789,127368030,1172,1,66,19097,1595629,2,102573,585,34596138,41627304,2504658109,585,1315,2,1,2,2,1027,1,2494210460,2448641919,274422078,189764972,189781356,2,1,8349658768,73389,73389,2,2,2,189764972,19,3,405704,26875724,3418454,66074,19031,2494210460,2071964,31180478,27569
45441.81,16,262144,64,130195,8579215270,129,0,585,2213692,18,33041,60,67,77789,127368030,1172,1,66,19573,1891276,2,102573,585,35641676,46032591,2567364842,585,1315,2,1,2,2,1027,1,2556600732,2511233428,321874024,194638768,194638768,2,1,8564105792,73389,73389,2,2,2,194638768,19,3,407191,29771018,3494064,68858,19507,2556600732,2144834,32149977,27569
50476.11,16,262144,64,133610,8804082518,130,0,585,2293867,18,34026,60,67,77789,127368030,1172,1,66,20075,2150489,2,102573,585,37517204,51092394,2633495553,585,1315,2,1,2,2,1027,1,2622398876,2576986352,408887969,199733748,199750132,2,1,8788284912,73389,73389,2,2,2,199733748,19,3,409237,32693690,3581119,71961,20009,2622398876,2221906,33936842,27569
55577.89,16,262144,64,137027,9029346290,130,0,585,2377668,18,34955,60,67,77789,127368030,1172,1,66,20578,2253049,2,102573,585,39253585,55966163,2699893299,585,1315,2,1,2,2,1027,1,2688459164,2642781778,475675650,204859337,204875721,2,1,9013810828,73389,73389,2,2,2,204859337,19,3,409574,35212503,3654108,75328,20513,2688459164,2302340,35599866,27569
60635.57,16,262144,64,140107,9232258978,131,0,585,2454748,18,35853,60,67,77789,127621416,1172,1,66,21030,2425745,2,102573,585,40291184,60741266,2759311538,585,1315,2,1,2,2,1027,1,2747572636,2702097803,615435954,209470989,209487373,2,1,9216723516,73389,73389,2,2,2,209470989,19,3,414827,38295708,3761462,78129,20964,2747572636,2376619,36530129,27569
65668.59,16,262144,64,143940,9484785726,131,0,585,2561819,18,36897,60,67,77789,127621416,1172,1,66,21595,2559139,2,102573,585,42062740,66149383,2833737541,585,1315,2,1,2,2,1027,1,2821628316,2775955862,632803970,215202786,215219170,2,1,9468922584,73389,73389,2,2,2,215202786,19,3,415661,41034861,3842245,96436,21529,2821628316,2465383,38220507,27569
70743.37,16,262144,64,147880,9744590278,132,0,585,2652953,18,38028,60,67,77789,127886868,1172,1,66,22173,2700829,2,102573,585,44021914,71202574,2909876193,585,1315,2,1,2,2,1027,1,2897387932,2851880256,764698200,221112648,221129032,2,1,9728956512,73389,73389,2,2,2,221112648,19,3,417848,43619027,3932063,99750,22107,2897387932,2553203,40089668,27569
75780.29,16,262144,64,153587,10120462394,133,2,585,2773465,18,39641,60,67,77789,127886868,1172,1,66,23010,2844959,2,102573,585,46604550,76024949,3020097367,585,1315,2,1,2,2,1027,1,3007095196,2961764924,822145189,229666367,229666367,2,1,10105320148,73389,73389,2,2,2,229666367,19,3,419191,46002429,4059006,105787,22944,3007095196,2667678,42545015,27569
80818.57,16,262144,64,158345,10434140846,134,2,585,2890866,18,40992,60,67,77789,128152320,1172,1,66,23708,3012363,2,102573,585,49292784,80824156,3112167367,585,1315,2,1,2,2,1027,1,3098714524,3053408058,931919760,236786486,236802870,2,1,10418605384,73389,73389,2,2,2,236786486,19,3,422159,48168790,4172535,109851,23643,3098714524,2781015,45120195,27569
85846.21,16,262144,64,164306,10826659106,135,2,585,3043604,18,42674,60,67,77789,128152320,1172,1,66,24586,3061039,2,102573,585,52336406,85086921,3227663295,585,1315,2,1,2,2,1027,1,3213664668,3168190282,984916298,245717037,245717037,2,1,10811549628,73389,73389,2,2,2,245717037,19,3,424172,50180763,4315208,114967,24520,3213664668,2928637,48021113,27569
90852.92,16,262144,64,179716,11842143358,137,2,585,3252029,18,46982,60,67,77789,128417772,1172,1,66,26849,3131661,2,102573,585,56611633,88720339,3525505109,585,1315,2,1,2,2,1027,1,3510280604,3464941583,1131951419,268789522,268805906,2,1,11826738968,73389,73389,2,2,2,268789522,19,3,441592,52047007,4519612,120936,26783,3510280604,3131093,52092150,27569
95859.27,16,262144,64,225999,14892069522,145,2,585,3594940,18,60023,60,67,77789,129745032,1172,1,66,33647,3134352,2,102573,585,68417155,89479433,4419970942,585,1315,2,1,2,2,1027,1,4401308060,4356610320,1216795542,338097089,338113473,2,1,14876271916,73389,73389,2,2,2,338097089,19,3,475890,52853641,4831281,129595,33581,4401308060,3465345,63586579,27569
100864.73,16,262144,64,271957,17920237978,153,2,585,3931339,18,73020,60,67,77789,130806840,1172,1,66,40401,3137326,2,102573,585,79746522,89722610,5308714376,585,1315,2,1,2,2,1027,1,5286568348,5241806230,1260807344,406942030,406942030,2,1,17904728424,73389,73389,2,2,2,406925646,19,3,495408,53618233,5079942,138541,40335,5286568348,3792798,74667728,27569
105872.03,16,262144,64,317917,20948730562,161,2,585,4269900,18,85938,60,67,77789,132134100,1172,1,66,47152,3139942,2,102573,585,91238985,89858720,6196989115,585,1315,2,1,2,2,1027,1,6171435420,6127193819,1287120905,475768428,475768428,2,1,20933810832,73389,73389,2,2,2,475768428,19,3,517851,54366553,5322642,147025,47086,6171435420,4122875,85916641,27569
110877.50,16,262144,64,364657,24028606678,168,2,585,4601027,18,99116,60,67,77789,133195908,1172,1,66,54017,3143290,2,102573,585,100334452,89940018,7100240897,585,1315,2,1,2,2,1027,1,7071244700,7027470650,1319705641,545764123,545764123,2,1,24012900516,73389,73389,2,2,2,545747739,19,3,546408,55108402,5528960,155413,53951,7071244700,4445614,94806120,27569
