timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5006.57,262144,64,74055,4879874010,120,585,779687,18,5,17181,67,164,125811516,1172,1,66,11326,17006,2,348,585,12805899,407635,1481260706,567,216,18,2,1,2,1,2,2,210,1,1475518876,1429862188,25079706,110548132,110564516,2,1,4864117808,73389,73389,2,2,2,110548132,3,3,386326,1634406,1926944,13676,11260,1475518876,766011,10877461,3218
10028.96,262144,64,83064,5473207806,121,585,1020252,18,5,19749,67,164,125811516,1172,1,66,12646,70316,2,348,585,16474142,3580700,1655177772,567,216,18,2,1,2,1,2,2,210,1,1648664988,1603329364,45709734,124041183,124057567,2,1,5457812052,73389,73389,2,2,2,124041183,3,3,392356,3668606,2148877,20799,12580,1648664988,999453,14323911,3218
15046.41,262144,64,87890,5791342706,122,585,1174464,18,5,21119,67,164,126076968,1172,1,66,13358,165434,2,348,585,19306635,7835294,1748963304,567,216,18,2,1,2,1,2,2,210,1,1741988252,1696294281,78220101,131275990,131275990,2,1,5776143560,73389,73389,2,2,2,131275990,3,3,403672,5833573,2335577,26016,13292,1741988252,1148448,16968232,3218
20062.77,262144,64,92995,6128003470,123,585,1337269,18,5,22566,67,164,126318288,1172,1,66,14110,223976,2,348,585,22447739,12003555,1848009712,567,216,18,2,1,2,1,2,2,210,1,1840554396,1794639378,119349434,138918238,138934622,2,1,6112402472,73389,73389,2,2,2,138918238,3,3,414701,7917574,2527272,31571,14044,1840554396,1305698,19917719,3218
25081.06,262144,64,99056,6527340782,124,585,1524719,18,5,24273,67,164,126571674,1172,1,66,15000,325590,2,348,585,25451993,16016297,1965218058,567,216,18,2,1,2,1,2,2,210,1,1957208476,1911407923,159998877,147994086,148010470,2,1,6511739784,73389,73389,2,2,2,147994086,3,3,422555,10019558,2734437,38031,14934,1957208476,1486688,22715418,3218
30084.80,262144,64,158812,10465011610,134,585,2023285,18,5,41066,67,164,128152320,1172,1,66,23781,329872,2,348,585,34956142,16618590,3120532513,567,216,18,2,1,2,1,2,2,210,1,3108020636,3062443182,195311483,237497031,237497031,2,1,10449869364,73389,73389,2,2,2,237497031,3,3,448625,11050186,2959884,48347,23715,3108151708,1974990,31994500,3218
35088.72,262144,64,227854,15014169706,146,585,2556707,18,5,60518,67,164,129745032,1172,1,66,33921,329956,2,348,585,44905608,16619008,4454913632,567,216,18,2,1,2,1,2,2,210,1,4437221788,4392293610,216486077,340886243,340886243,2,1,14998994692,73389,73389,2,2,2,340886243,3,3,463062,11969412,3121481,58890,33855,4437221788,2497817,41782321,3218
40093.02,262144,64,280990,18515410090,154,585,2963374,18,5,75537,67,164,131072292,1172,1,66,41727,333002,2,348,585,54666524,16842967,5481977574,567,216,18,2,1,2,1,2,2,210,1,5460369820,5415829481,261421153,420465690,420465690,2,1,18499769464,73389,73389,2,2,2,420449306,3,3,494186,12733060,3314507,66939,41661,5460369820,2896435,51350616,3218
45096.89,262144,64,332365,21900638278,163,585,3351756,18,5,90045,67,164,132399552,1172,1,66,49274,333541,2,348,585,64786664,16879630,6474965268,567,216,18,2,1,2,1,2,2,210,1,6449570204,6405433453,287710669,497395247,497411631,2,1,21885390868,73389,73389,2,2,2,497395247,3,3,524987,13446140,3493753,74650,49208,6449570204,3277106,61291363,3218
50122.13,262144,64,385434,25397427420,172,585,3777400,18,5,105009,67,164,133726812,1172,1,66,57070,339227,2,348,585,74289589,17305754,7500755785,567,216,18,2,1,2,1,2,2,210,1,7471407516,7427660504,327464380,576851814,576868198,2,1,25381479816,73389,73389,2,2,2,576851814,3,3,542960,14419631,3673149,83810,57004,7471407516,3693590,70615413,3218
55149.35,262144,64,394542,25997780184,173,585,4010211,18,5,107549,67,164,133992264,1172,1,66,58406,371144,2,348,585,78713030,20784130,7676661587,567,216,18,2,1,2,1,2,2,210,1,7646519708,7603158181,376469552,590512579,590512579,2,1,25982553476,73389,73389,2,2,2,590512579,3,3,543525,16041165,3896236,91978,58340,7646519708,3918233,74815198,3218
