timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5099.94,23,262144,64,23637,1557617160,111,0,585,1006748,11,2991,54,67,111149,124484256,1172,1,66,3919,896210,2,121807,585,7432887,15930473,507285803,585,1599,2,1,2,2,1072,1,504930716,458593546,32457813,35058208,35058208,2,1,1542561152,73389,73389,2,2,2,35058208,14,3,286214,12678197,2398551,17391,3854,504930716,989357,5036893,23890
10166.89,23,262144,64,26821,1767345592,112,0,585,1098383,11,3915,54,67,111149,124484256,1172,1,66,4385,1135966,2,121807,585,8974700,20595238,568681824,585,1599,2,1,2,2,1072,1,566010268,519935773,55646397,39809124,39825508,2,1,1751601456,73389,73389,2,2,2,39809124,14,3,287540,15258615,2487729,20594,4320,566010268,1077789,6488384,23890
15260.55,23,262144,64,29583,1949417832,112,0,585,1183494,11,4668,54,67,111149,124484256,1172,1,66,4791,1265215,2,121807,585,10346304,25205953,622042521,585,1599,2,1,2,2,1072,1,619094428,573119006,70057750,43962024,43962024,2,1,1933608160,73389,73389,2,2,2,43945640,14,3,287632,17701661,2546880,23382,4725,619094428,1160112,7800551,23890
20313.49,23,262144,64,32332,2130638104,113,0,585,1266381,11,5472,54,67,111149,124749708,1172,1,66,5195,1390390,2,121807,585,11781258,30079266,675403495,585,1599,2,1,2,2,1072,1,672178588,626150055,103633154,48065772,48082156,2,1,2114893968,73389,73389,2,2,2,48065772,14,3,290157,20436496,2638284,26330,5130,672178588,1240051,9144333,23890
25359.34,23,262144,64,34700,2286623708,113,0,585,1339105,11,6119,54,67,111149,124749708,1172,1,66,5544,1633115,2,121807,585,12805777,34579365,721256554,585,1599,2,1,2,2,1072,1,717791644,671733142,115871885,51622815,51622815,2,1,2271403860,73389,73389,2,2,2,51622815,14,3,290494,22910729,2703304,32512,5478,717791644,1306593,10104034,23890
30398.27,23,262144,64,37661,2481737612,114,0,585,1409503,11,6981,54,67,111149,124749708,1172,1,66,5978,1803398,2,121807,585,14794526,39683275,778432908,585,1599,2,1,2,2,1072,1,774676892,728725221,152855145,56046051,56062435,2,1,2466026244,73389,73389,2,2,2,56046051,14,3,292028,25858810,2793374,35318,5912,774676892,1374185,12002604,23890
35434.33,23,262144,64,41063,2705752892,114,0,585,1494398,11,7908,54,67,111149,124749708,1172,1,66,6476,2156331,2,121807,585,16399416,44728510,844042089,585,1599,2,1,2,2,1072,1,839950748,794268665,169569458,61149223,61149223,2,1,2690565812,73389,73389,2,2,2,61149223,14,3,292336,28575188,2862672,38160,6410,839950748,1456238,13538056,23890
40470.28,23,262144,64,44213,2913518552,115,0,585,1577386,11,8821,54,67,111149,125015160,1172,1,66,6940,2323170,2,121807,585,17624609,49813858,905302919,585,1599,2,1,2,2,1072,1,900899228,854955097,219084190,65865212,65881596,2,1,2898069328,73389,73389,2,2,2,65865212,14,3,294111,31316878,2934662,41010,6875,900899228,1536376,14691446,23890
45582.31,23,262144,64,47304,3117152136,115,0,585,1658010,11,9660,54,67,111149,125015160,1172,1,66,7394,2544280,2,121807,585,19291233,54509130,964982984,585,1599,2,1,2,2,1072,1,960274844,914486192,280203993,70493248,70509632,2,1,3101702912,73389,73389,2,2,2,70493248,14,3,296532,34142724,3027723,44002,7329,960274844,1614008,16264819,23890
50623.24,23,262144,64,50585,3333503012,116,0,585,1759825,11,10614,54,67,111149,125280612,1172,1,66,7878,2742624,2,121807,585,20542778,59010912,1028878525,585,1599,2,1,2,2,1072,1,1023844764,977859341,340824287,75397653,75414037,2,1,3317496732,73389,73389,2,2,2,75397653,14,3,297873,36545022,3102266,66747,7813,1023844764,1693078,17442125,23890
55674.77,23,262144,64,54568,3595860160,116,0,585,1866582,11,11700,54,67,111149,125280612,1172,1,66,8463,2902361,2,121807,585,22367184,63672117,1105809846,585,1599,2,1,2,2,1072,1,1100390812,1054547398,361093118,81375210,81375210,2,1,3580509240,73389,73389,2,2,2,81375210,14,3,303458,39106101,3213510,81993,8397,1100390812,1784589,19155846,23890
60712.24,23,262144,64,59862,3944677974,117,0,585,1982300,11,13200,54,67,111149,125280612,1172,1,66,9240,3089867,2,121807,585,24723031,67983960,1208139018,585,1599,2,1,2,2,1072,1,1202233756,1156463989,434585270,89289953,89306337,2,1,3928757932,73389,73389,2,2,2,89289953,14,3,308859,41452863,3377119,86882,9174,1202233756,1895418,21348773,23890
65752.59,23,262144,64,64917,4277820618,118,0,585,2130724,11,14634,54,67,111149,125546064,1172,1,66,9981,3192663,2,121807,585,26845148,72459615,1305870222,585,1599,2,1,2,2,1072,1,1299489180,1253826607,493827231,96868824,96885208,2,1,4262228256,73389,73389,2,2,2,96868824,14,3,313729,43656685,3497045,101697,9916,1299489180,2029027,23351380,23890
70791.29,23,262144,64,70817,4666341182,119,0,585,2298441,11,16296,54,67,111149,125546064,1172,1,66,10850,3254965,2,121807,585,29590051,76513326,1420185418,585,1599,2,1,2,2,1072,1,1413259676,1367512027,556905871,105701071,105701071,2,1,4650126228,73389,73389,2,2,2,105684687,14,3,321926,45595998,3676272,106744,10784,1413259676,2191697,25917343,23890
75797.51,23,262144,64,83281,5487694570,121,1,585,2516583,11,19806,54,67,111149,125811516,1172,1,66,12681,3276559,2,121807,585,33228854,80310991,1661197786,585,1599,2,1,2,2,1072,1,1653252508,1607547833,667950575,124374896,124374896,2,1,5472495424,73389,73389,2,2,2,124374896,14,3,339550,47468779,3893902,116488,12616,1653252508,2400096,29337888,23890
80803.76,23,262144,64,129589,8539235002,129,1,585,2869858,11,32850,54,67,111149,127368030,1172,1,66,19485,3279628,2,121807,585,44737940,80876638,2556438691,585,1599,2,1,2,2,1072,1,2545066396,2499520210,772096775,193731615,193731615,2,1,8523470164,73389,73389,2,2,2,193715231,14,3,366072,48292231,4183512,125238,19419,2545066396,2744620,40557050,23890
85809.84,23,262144,64,177413,11690417594,137,1,585,3222826,11,46356,54,67,111149,128417772,1172,1,66,26510,3282745,2,121807,585,55834843,81024608,3480765364,585,1599,2,1,2,2,1072,1,3465847196,3420649467,796585843,265347167,265347167,2,1,11674554452,73389,73389,2,2,2,265330783,14,3,378703,49083155,4404031,134303,26444,3465847196,3088523,51433242,23890
90816.05,23,262144,64,222270,14646358518,145,1,585,3544142,11,58990,54,67,111149,129745032,1172,1,66,33101,3285237,2,121807,585,66801470,81188744,4347970924,585,1599,2,1,2,2,1072,1,4329742748,4284758483,846720892,332512748,332529132,2,1,14630560912,73389,73389,2,2,2,332512748,14,3,391518,49806964,4596098,142446,33035,4329742748,3401696,62207932,23890
95822.05,23,262144,64,269332,17747409622,152,1,585,3889644,11,72243,54,67,111149,130806840,1172,1,66,40014,3288106,2,121807,585,77153122,81300244,5257542102,585,1599,2,1,2,2,1072,1,5235843484,5191252502,870024235,402999963,403016347,2,1,17731998372,73389,73389,2,2,2,402999963,14,3,406698,50569694,4839008,151086,39948,5235843484,3738558,72317302,23890
100827.30,23,262144,64,320435,21114546566,161,1,585,4263363,11,86679,54,67,111149,132134100,1172,1,66,47521,3290288,2,121807,585,88464189,81372144,6245252072,585,1599,2,1,2,2,1072,1,6219800988,6175644356,904436892,479538463,479538463,2,1,21098971476,73389,73389,2,2,2,479522079,14,3,432276,51368878,5043613,160206,47455,6219800988,4103157,83424436,23890
105832.42,23,262144,64,372851,24568275248,170,1,585,4630630,11,101469,54,67,111149,133461360,1172,1,66,55218,3292018,2,121807,585,100350124,81414290,7257953050,585,1599,2,1,2,2,1072,1,7228662172,7185215070,940917471,558030533,558030533,2,1,24552622556,73389,73389,2,2,2,558014149,14,3,460395,52120131,5255774,169085,55152,7228662172,4461545,95098387,23890
110860.61,23,262144,64,382477,25202841112,171,1,585,4859334,11,104148,54,67,111149,133726812,1172,1,66,56634,3338865,2,121807,585,104221587,84917197,7444372182,585,1599,2,1,2,2,1072,1,7414260124,7370715163,969240547,572450995,572450995,2,1,25187122884,73389,73389,2,2,2,572434611,14,3,465138,53932768,5482573,176200,56568,7414260124,4683134,98741488,23890
115882.92,23,262144,64,390148,25708222288,173,1,585,5073279,11,106350,54,67,111149,133992264,1172,1,66,57761,3382269,2,121807,585,108453757,88939301,7592775525,585,1599,2,1,2,2,1072,1,7561978268,7518465450,1058942381,583922781,583939165,2,1,25692602364,73389,73389,2,2,2,583922781,14,3,472122,55776226,5718331,186789,57695,7561978268,4886490,102737466,23890
