timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
7053.12,10,262144,64,22219,1464421660,111,0,585,1701552,17,2604,57,67,283356,124484256,1172,1,66,3712,3423062,2,286835,585,6243547,41477233,480003496,585,2079,2,1,2,2,710,1,477667740,431361400,57098267,32938639,32938639,2,1,1449300116,73389,73389,2,2,2,32938639,17,1,3,81556,33775024,1219726,59635,3646,477667740,1641917,5020457,24871
16962.60,10,262144,64,26454,1743293880,112,0,585,1825845,17,3816,57,67,283356,124484256,1172,1,66,4331,4317763,2,286835,585,8208584,49976921,561694956,585,2079,2,1,2,2,710,1,558932380,512831707,89585010,39268452,39284836,2,1,1727811888,73389,73389,2,2,2,39268452,17,1,3,86845,39141188,1385910,65961,4266,558932380,1759884,6817911,24871
25390.23,10,262144,64,29958,1973993832,112,0,585,1926094,17,4770,57,67,283356,124484256,1172,1,66,4849,5025607,2,286835,585,10036573,57740362,629817304,585,2079,2,1,2,2,710,1,626696604,580319602,128599909,44519080,44519080,2,1,1958839520,73389,73389,2,2,2,44519080,17,1,3,95727,43600109,1539889,70819,4783,626696604,1855275,8492302,24871
30917.00,10,262144,64,31928,2103896108,113,1,585,1984316,17,5363,57,67,283356,124749708,1172,1,66,5138,5434832,2,286835,585,11412955,64595405,667898739,585,2079,2,1,2,2,710,1,664576412,618324087,204488541,47469915,47469915,2,1,2088676260,73389,73389,2,2,2,47469915,17,1,3,98220,46612294,1628541,73648,5072,664576412,1910668,9777540,24871
41456.73,10,262144,64,35202,2319788232,113,1,585,2094890,17,6255,57,67,283356,124749708,1172,1,66,5619,6403171,2,286835,585,13696288,73617934,731284153,585,2079,2,1,2,2,710,1,727622044,681408299,253768846,52366128,52382512,2,1,2304109632,73389,73389,2,2,2,52366128,17,1,3,102284,51721924,1791044,79585,5553,727622044,2015305,11899034,24871
46730.08,10,262144,64,37432,2466464416,114,1,585,2171558,17,6918,57,67,283356,124749708,1172,1,66,5944,6843901,2,286835,585,15304575,78543257,774104294,585,2079,2,1,2,2,710,1,770220444,724301764,328780652,55712338,55712338,2,1,2450621976,73389,73389,2,2,2,55695954,17,1,3,104724,54371278,1892337,86718,5878,770220444,2084840,13408827,24871
53901.04,10,262144,64,39577,2607835492,114,1,585,2241092,17,7503,57,67,283356,124749708,1172,1,66,6260,7355767,2,286835,585,16689318,84571759,815746009,585,2079,2,1,2,2,710,1,811639196,765614397,343711647,58925317,58925317,2,1,2592713948,73389,73389,2,2,2,58925317,17,1,3,107054,57545513,1996730,90157,6194,811639196,2150935,14690197,24871
61677.51,10,262144,64,43251,2849942016,115,1,585,2358438,17,8561,57,67,283356,124749708,1172,1,66,6801,8052618,2,286835,585,18698532,91393476,887031118,585,2079,2,1,2,2,710,1,882549148,836423384,387869300,64427738,64427738,2,1,2834820472,73389,73389,2,2,2,64427738,17,1,3,109075,61678568,2164408,96942,6735,882549148,2261496,16532455,24871
67506.05,10,262144,64,46274,3049384604,115,1,585,2455476,17,9384,57,67,283356,125015160,1172,1,66,7244,8732337,2,286835,585,20497452,96965681,945524672,585,2079,2,1,2,2,710,1,940745116,894674863,448234448,68947119,68963503,2,1,3033673236,73389,73389,2,2,2,68947119,17,1,3,111852,65040568,2273400,116868,7179,940745116,2338608,18222200,24871
73090.46,10,262144,64,48432,3191342196,115,1,585,2513395,17,9974,57,67,283356,125015160,1172,1,66,7562,9186819,2,286835,585,22097332,102376344,987293674,585,2079,2,1,2,2,710,1,982294940,936222575,509057681,72186833,72186833,2,1,3176220652,73389,73389,2,2,2,72186833,17,1,3,112854,68343252,2360921,119832,7496,982294940,2393563,19733870,24871
