timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5033.90,201,262144,64,49186,3240744274,361,10273,576,2992633,0,17,19151,0,67,16259,0,113852166,1154,1,0,4,12673,60686050,22,241645516,66,8840,2341863,2,292168,576,0,0,57163347,214467712,1059234664,0,576,1811,0,3,1,2,2,13950,3,1053723912,1022985016,291284149,62009383,62222375,3,1,3224487948,73389,73389,2,2,2,62009387,21,3,329001,51440608,2683497,134833,8779,1053723912,2857800,54475745,9869
10072.20,396,262144,64,98483,6489378410,677,10324,576,4331422,0,17,38549,0,67,16259,0,117508164,1154,1,0,4,12673,122244793,22,487428008,66,17295,7536660,2,292168,576,0,0,106518338,451412186,2085288130,0,576,1811,0,3,1,2,2,13950,3,2074409409,2045451814,607325867,124465008,124727152,3,1,6471328480,73389,73389,2,2,2,124448628,21,3,517297,106970866,4492186,284897,17236,2074409409,4046525,102022962,9869
15119.15,589,262144,64,145339,9576868768,978,10374,576,5485680,0,17,57096,0,67,16259,0,117508164,1154,1,0,4,12673,180851963,22,722697108,66,25330,14412184,2,292168,576,0,0,151043015,706537714,3060561151,0,576,1811,0,3,1,2,2,13950,3,3044540168,3017815433,942363108,183824501,184084486,3,1,9555466212,73389,73389,2,2,2,183758969,21,3,658767,170133596,6146125,385696,25270,3044540168,5099984,144893869,9869
20167.95,805,262144,64,186374,12282029450,1243,10435,576,6657101,0,17,73248,0,67,16259,0,117508164,1154,1,0,4,12673,231949637,22,927129700,66,32406,21555831,2,292168,576,0,0,191069952,956338623,3918073449,0,576,1811,0,3,1,2,2,13950,3,3897527236,3869390479,1258766119,235831896,236110424,3,1,12262406656,73389,73389,2,2,2,235815516,21,3,798051,231835159,7709360,617005,32348,3897527236,6040096,183357170,9869
25214.15,24586,262144,64,225432,14853848802,1499,10492,576,7868117,0,17,88638,0,67,16259,0,117508164,1154,1,0,4,12673,280845340,22,1122541136,66,39139,26731058,2,292168,576,0,0,234996230,1214580304,4734713112,0,576,1811,0,3,1,2,2,13950,3,4709855571,4679224019,1589077019,285344222,285530479,3,1,14837047608,73389,73389,2,2,2,285327842,21,3,934143,286320923,9372144,829048,39077,4709855571,7039069,225616980,9869
30313.16,24805,262144,64,267586,17631041140,1772,10566,576,9115564,0,17,105198,0,67,16259,0,117508164,1154,1,0,4,12673,333309603,22,1331881048,66,46391,33053640,2,292168,576,0,0,280498978,1468590353,5614063187,0,576,1811,0,3,1,2,2,13950,3,5584568104,5553630343,1911504430,338752893,338933117,3,1,17615150468,73389,73389,2,2,2,338752897,21,3,1060336,342148826,10951202,1026765,46331,5584568104,8088799,269537597,9869
35431.13,25004,262144,64,306869,20221418948,2022,10631,576,10245921,0,17,120719,0,67,16259,0,117508164,1154,1,0,4,12673,382467413,22,1528844820,66,53121,37735419,2,292168,576,0,0,323718961,1722226223,6431523537,0,576,1811,0,3,1,2,2,13950,3,6397732142,6369200228,2231634209,388556640,388769632,3,1,20204945312,73389,73389,2,2,2,388556644,21,3,1182734,394699821,12475386,1176671,53056,6397732142,9069250,311225206,9869
40558.14,25230,262144,64,356773,23510750452,2347,10692,576,11596076,0,17,140419,0,67,16259,0,117508164,1154,1,0,4,12673,444806571,22,1778450744,66,61691,42352054,2,292168,576,0,0,374667734,1980997277,7472274692,0,576,1811,0,3,1,2,2,13950,3,7433018080,7404555378,2571486156,451833180,451997020,3,1,23495325392,73389,73389,2,2,2,451833184,21,3,1308426,451666322,14237741,1375730,61630,7433018080,10220346,360407036,9869
45699.87,25513,262144,64,425472,28035306084,2789,10786,576,13371589,0,17,167584,0,67,16259,0,117508164,1154,1,0,4,12673,530834221,22,2122884336,66,73507,49782490,2,292168,576,0,0,439206126,2227216519,8906403956,0,576,1811,0,3,1,2,2,13950,3,8859631954,8828600824,2909261553,538719891,539195027,3,1,28011730428,73389,73389,2,2,2,538687127,21,3,1483845,523616539,16426527,1643634,73448,8859631954,11727955,422757093,9869
52140.14,25723,262144,64,473887,31225575686,3147,10886,612,14872470,2,17,186900,1,73,16261,49462,130728523,1233,1,1214,4,12673,591599349,22,2366397396,72,82162,59477912,66,341743,612,1214,300,493081945,2511216839,9955566082,8,610,1997,2,3,1,2,2,13950,3,9903131296,9837426990,3369898203,600037902,600037902,3,1,31201970936,73389,73389,2,2,2,600037906,21,3,1658531,594225540,18519791,1881405,82089,9903131296,12991065,474540795,10822
