timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5098.42,206,262144,64,49357,3252759352,360,30,576,1674177,0,16,19251,67,2585,114636456,1154,1,4,5554,60875445,24,242790920,66,8868,3679426,2,118127,576,60477879,222637975,1063319272,576,1598,0,3,1,2,2,6747,3,1057750340,1026692659,298541036,62201673,62527194,3,1,3234487028,73389,73389,2,2,2,62201677,21,3,295516,49366244,2755677,89959,8812,1057750340,1584218,57715673,9358
10219.81,498,262144,64,113056,7449791842,773,84,576,3743662,0,16,44351,67,2585,117508164,1154,1,4,5554,140400141,24,560954628,66,19800,6962821,2,118127,576,140884956,455770761,2388957913,576,1598,0,3,1,2,2,6747,3,2376475426,2348530820,629645138,142999569,143130641,3,1,7435125652,73389,73389,2,2,2,142983189,21,3,452133,104215984,5017017,233648,19740,2376475426,3510014,135860305,9358
15352.92,717,262144,64,158620,10450944580,1067,133,576,5151781,0,16,62280,67,2585,117508164,1154,1,4,5554,197392345,24,788340860,66,27609,11314221,2,118127,576,196562623,704820575,3335964061,576,1598,0,3,1,2,2,6747,3,3318467145,3293135482,950197384,200731457,200878913,3,1,10438035796,73389,73389,2,2,2,200731461,21,3,626057,158197254,6824474,323468,27550,3318467145,4828313,189728665,9358
20629.22,924,262144,64,204292,13461600472,1357,176,576,6608807,0,16,80293,67,2585,117508164,1154,1,4,5554,254406707,24,1016528088,66,35494,15838527,2,118127,576,254446191,966927916,4294671415,576,1598,0,3,1,2,2,6747,3,4272156873,4240912799,1287120964,258593529,258773753,3,1,13446011572,73389,73389,2,2,2,258577149,21,3,785303,210668292,8672704,401089,35435,4272156873,6207718,245762461,9358
25740.23,1111,262144,64,244281,16095869694,1615,215,576,7936412,0,16,96006,67,2585,117508164,1154,1,4,5554,304116242,24,1215560652,66,42362,19815608,2,118127,576,306716854,1231893121,5127276052,576,1598,0,3,1,2,2,6747,3,5100366073,5070095399,1622377633,309225556,309444581,3,1,16078876976,73389,73389,2,2,2,309209176,21,3,936582,260352302,10362163,561939,42305,5100366073,7374473,296342843,9358
31265.00,1283,262144,64,284792,18766110344,1877,250,576,9196641,0,16,111982,67,2585,117508164,1154,1,4,5554,354783831,24,1418101528,66,49317,24674922,2,118127,576,356571387,1506736304,5970734761,576,1598,0,3,1,2,2,6747,3,5939380272,5910813580,1962009097,360614677,360745749,3,1,18751963236,73389,73389,2,2,2,360614681,21,3,1087288,312856123,12029265,648679,49257,5939380272,8547962,344526804,9358
36386.11,1467,262144,64,322555,21254146516,2125,293,576,10326193,0,16,126895,67,2585,117508164,1154,1,4,5554,402116942,24,1607110868,66,55796,29391367,2,118127,576,405072717,1789478399,6756063665,576,1598,0,3,1,2,2,6747,3,6720550720,6694250793,2307572042,408455391,408586463,3,1,21239680364,73389,73389,2,2,2,408455395,21,3,1215167,365329001,13525490,689959,55734,6720550720,9636234,391527844,9358
41492.06,1683,262144,64,365669,24097209584,2404,354,576,11664812,0,16,143889,67,2585,117508164,1154,1,4,5554,455734446,24,1822355848,66,63209,33693082,2,118127,576,457687350,2034940936,7656807813,576,1598,0,3,1,2,2,6747,3,7616567105,7589173141,2627401569,463130775,463302807,3,1,24081948364,73389,73389,2,2,2,463114395,21,3,1324426,413698779,15030935,777251,63146,7616698177,10887710,442635979,9358
46670.08,1899,262144,64,411774,27132924414,2697,388,576,13081881,0,16,162081,67,2585,117508164,1154,1,4,5554,513461694,24,2053007696,66,71153,38459488,2,118127,576,515925760,2299996437,8620139654,576,1598,0,3,1,2,2,6747,3,8574808154,8545203805,2964501067,521508116,521639188,3,1,27114162224,73389,73389,2,2,2,521426200,21,3,1457215,467149269,16779393,861433,71089,8574808154,12220448,499123934,9358
51771.23,2123,262144,64,457224,30128572806,2997,421,585,14478590,2,16,180023,67,2585,118949768,1172,1,4,5554,570215640,24,2280216380,66,79031,42637937,2,118127,585,571789932,2556809646,9575445358,583,1654,2,3,1,2,2,6747,3,9525081655,9488651068,3296290752,579005866,579249467,3,1,30108305064,73389,73389,2,2,2,579005870,21,3,1635892,518937365,18697003,947468,78975,9525081655,13531122,553069052,9577
