timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
6468.42,31,241664,59,19815,1305811308,111,1,585,3212306,6,1966,51,67,2,769756,124218804,1172,1,66,3358,6996755,2,777404,585,7330269,53243376,433566151,585,2565,2,1,2,2,984,1,431399324,384946589,72298502,29326411,29342795,2,1,1289641188,73389,73389,2,2,2,29310027,15,3,165338,39593142,2144898,166839,3293,431399324,3045467,5187262,45163
13465.36,31,262144,64,22567,1487228188,111,1,585,3297275,6,2700,51,67,2,769756,124484256,1172,1,66,3763,7491860,2,777404,585,8936090,60111499,486798651,585,2565,2,1,2,2,984,1,484352412,438031793,93422209,33446543,33462927,2,1,1471647892,73389,73389,2,2,2,33446543,15,3,174228,43264730,2328715,171261,3698,484352412,3126014,6608958,45163
20944.28,31,262144,64,25523,1681748960,112,1,585,3385061,6,3561,51,67,2,769756,124484256,1172,1,66,4195,8152071,2,777404,585,10529622,66690393,543726561,585,2565,2,1,2,2,984,1,540975516,494903686,115668779,37863746,37880130,2,1,1666004824,73389,73389,2,2,2,37863746,15,3,179503,47084646,2476395,176008,4129,540975516,3209053,8054596,45163
26657.41,31,262144,64,27945,1841538960,112,1,585,3455108,6,4221,51,67,2,769756,124484256,1172,1,66,4553,8659560,2,777404,585,11843917,71760922,590898607,585,2565,2,1,2,2,984,1,587899292,541609677,141148390,41508742,41508742,2,1,1826384648,73389,73389,2,2,2,41508742,15,3,184577,50107619,2589330,179203,4487,587899292,3275905,9256524,45163
32228.44,31,262144,64,30447,2006306388,112,1,585,3531407,6,4905,51,67,2,769756,124484256,1172,1,66,4920,9204727,2,777404,585,13458856,76889967,639253954,585,2565,2,1,2,2,984,1,636002716,589732635,172866894,45246009,45262393,2,1,1990824396,73389,73389,2,2,2,45246009,15,3,186993,53015173,2707069,183739,4854,636002716,3347668,10753941,45163
37302.98,31,262144,64,32511,2142369048,113,2,585,3594421,6,5520,51,67,2,769756,124749708,1172,1,66,5223,9577474,2,777404,585,14469863,81552527,679177675,585,2565,2,1,2,2,984,1,675717532,629610481,189070603,48327916,48344300,2,1,2126428304,73389,73389,2,2,2,48327916,15,3,189192,55514170,2783154,186808,5157,675717532,3407613,11689272,45163
42488.81,31,262144,64,34717,2287737820,113,2,585,3656996,6,6123,51,67,2,769756,124749708,1172,1,66,5546,10073290,2,777404,585,15419915,86374959,721868829,585,2565,2,1,2,2,984,1,718184860,672023378,200181685,51639199,51655583,2,1,2272124756,73389,73389,2,2,2,51639199,15,3,190635,58653398,2870751,189854,5481,718184860,3467142,12550834,45163
47595.81,31,262144,64,38197,2516864908,114,2,585,3739253,6,7128,51,67,2,769756,124749708,1172,1,66,6057,10311572,2,777404,585,17345513,91216406,789063879,585,2565,2,1,2,2,984,1,785031580,739000603,329220219,56848867,56865251,2,1,2501350148,73389,73389,2,2,2,56848867,15,3,196046,61291289,3016566,193613,5991,785031580,3545640,14330435,45163
52668.92,31,262144,64,41958,2764673064,114,2,585,3820026,6,8154,51,67,2,769756,124749708,1172,1,66,6611,10599616,2,777404,585,19047644,95931165,862045613,585,2565,2,1,2,2,984,1,857645468,811437265,415585104,62482360,62498744,2,1,2749223840,73389,73389,2,2,2,62482360,15,3,206354,63807046,3155025,198989,6545,857645468,3621037,15893482,45163
57749.79,31,262144,64,47296,3116627848,115,2,585,3929450,6,9663,51,67,2,769756,125015160,1172,1,66,7394,10815799,2,777404,585,20655129,100056311,965163824,585,2565,2,1,2,2,984,1,960274844,914386457,440442908,70476864,70493248,2,1,3100982016,73389,73389,2,2,2,70476864,15,3,213708,66486302,3311228,202749,7328,960274844,3726701,17345318,45163
