timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5025.88,251,262144,64,60420,3981391854,432,51,576,2025430,0,17,23589,67,32197,116928996,1154,1,4,14501,74749827,21,297965312,66,10754,2369865,2,316332,576,72414863,205173927,1291129971,576,2234,0,3,1,2,2,15553,3,1284459719,1256396039,297896947,76306965,76438037,3,1,3966258276,73389,73389,2,2,2,76274201,17,3,305332,50934691,3076917,168972,10691,1284459719,1856458,69336891,9618
10058.68,456,262144,64,107546,7085877104,733,89,576,3483613,0,17,42092,67,32197,117218580,1154,1,4,14501,133189995,21,532372720,66,18848,6428648,2,316332,576,130331699,436163681,2273175579,576,2234,0,3,1,2,2,15553,3,2261366979,2233793469,606841133,135990264,136121336,3,1,7071493760,73389,73389,2,2,2,135990268,17,3,446701,99501461,4833788,256623,18785,2261366979,3226990,125489678,9618
15072.08,634,262144,64,142255,9374019718,955,129,576,4588149,0,17,55799,67,32197,117508164,1154,1,4,14501,176824284,21,706198820,66,24794,9076785,2,316332,576,174997593,693494126,2995685106,576,2234,0,3,1,2,2,15553,3,2980093591,2954097728,928910373,180003155,180117843,3,1,9357608188,73389,73389,2,2,2,179954007,17,3,600955,138807919,6451900,320305,24732,2980093591,4267844,168538474,9618
20109.96,854,262144,64,185323,12211872118,1239,177,576,6005144,0,17,72795,67,32197,117508164,1154,1,4,14501,230558773,21,921523728,66,32237,10833303,2,316332,576,231514153,940645457,3897225870,576,2234,0,3,1,2,2,15553,3,3876900450,3847540148,1251012818,234570772,234701844,3,1,12197680176,73389,73389,2,2,2,234570776,17,3,736867,184946356,8244157,411681,32173,3876900450,5593463,223260409,9618
25131.24,1005,262144,64,220826,14550831650,1466,209,576,7156263,0,17,86779,67,32197,117508164,1154,1,4,14501,274825681,21,1098729700,66,38343,14180764,2,316332,576,279459728,1207919618,4638345939,576,2234,0,3,1,2,2,15553,3,4614117398,4583829958,1580429433,279534379,279681835,3,1,14534935772,73389,73389,2,2,2,279517999,17,3,910513,230394561,9992094,481337,38283,4614117398,6674926,269456975,9618
30145.15,1209,262144,64,265056,17464245648,1756,259,576,8634026,0,17,104213,67,32197,117508164,1154,1,4,14501,330157331,21,1319724628,66,45937,18564403,2,316332,576,336342075,1455053950,5559502763,576,2234,0,3,1,2,2,15553,3,5530431750,5501040635,1896639937,335572682,335703754,3,1,17448075560,73389,73389,2,2,2,335539918,17,3,1078654,279827288,11865026,620787,45876,5530431750,8013239,324460513,9618
35157.70,1414,262144,64,310438,20455980562,2043,291,576,10149352,0,17,122103,67,32197,117508164,1154,1,4,14501,386820900,21,1546249652,66,53730,22346433,2,316332,576,396776501,1717700328,6504999068,576,2234,0,3,1,2,2,15553,3,6470947926,6443065816,2230040715,393123458,393238146,3,1,20439011976,73389,73389,2,2,2,393057926,17,3,1264069,329989302,13888179,788742,53668,6470947926,9360610,382868437,9618
40199.98,1603,262144,64,354622,23367321052,2332,336,576,11677052,0,17,139534,67,32197,117508164,1154,1,4,14501,442008573,21,1767323092,66,61318,25688682,2,316332,576,454061903,1963963444,7426433114,576,2234,0,3,1,2,2,15553,3,7387500220,7359508203,2553296799,449081556,449245396,3,1,23352240944,73389,73389,2,2,2,449081560,17,3,1482661,379763515,16011740,976348,61259,7387500220,10700704,438032892,9618
45235.11,1786,262144,64,392109,25837558872,2569,376,576,12868537,0,17,154312,67,32197,117508164,1154,1,4,14501,488905831,21,1954718728,66,67766,28961439,2,316332,576,503271340,2209442228,8209806854,576,2234,0,3,1,2,2,15553,3,8166773994,8137232608,2869279693,496567855,496748079,3,1,25819824556,73389,73389,2,2,2,496535091,17,3,1662663,422475826,17826511,1040487,67706,8166773994,11828050,485517029,9618
50265.15,1971,262144,64,438242,28877521910,2871,443,585,14409718,2,17,172513,67,32197,118949768,1172,1,4,14501,546542972,21,2185267664,66,75703,32882462,2,316332,585,561906341,2460371016,9172326651,583,2286,2,3,1,2,2,15553,3,9124240596,9094150149,3193763169,554960692,555255604,3,1,28857956016,73389,73389,2,2,2,554960696,17,3,1816924,471982098,19607259,1223604,75644,9124240596,13186114,542278744,9870
