timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
395911.56,1,253952,62,8035,528801904,0,1223460,83,3,3,4347,112,0,558,84012,0,10,3146,11,96374223,1118,1,0,4,1025,9853743,7,39414972,10,17,7,861,558,0,0,4599480,117772,201327358,0,558,639,0,3,1,14,14,1661,3,201413768,169171727,5918658,9995511,9995511,1,3,1,519766604,73389,73389,14,14,14,9995515,9,3,59367,85784,224534,1736,201413768,84012,4375117,1912
397918.28,3,253952,62,16032,1055704674,0,2513467,160,3,3,4347,144,0,558,153735,0,10,6269,11,97617021,1118,1,0,4,1025,19833057,7,79332228,10,17,7,861,558,0,0,9183346,267602,359190872,0,558,639,0,3,1,14,14,1661,3,359244078,335272503,11932922,20117776,20117776,1,3,1,1046124384,73389,73389,14,14,14,20117780,9,3,65143,157202,317430,3011,359244078,153735,8866250,1912
399923.70,3,253952,62,21492,1414834362,1,4896780,175,3,3,4347,205,0,558,187806,0,10,8436,11,98606433,1118,1,0,4,1025,26625144,7,106500576,10,17,7,861,558,0,0,11582555,267885,481699290,0,558,639,0,3,1,14,14,1661,3,481655158,448477868,16715567,27006804,27023188,1,3,1,1404353840,73389,73389,14,14,14,27006808,9,3,65147,192268,352581,4075,481655158,187806,11230412,1912
401931.52,3,253952,62,28676,1888432232,1,6172767,231,4,4,4347,228,0,558,238917,0,10,11257,12,100452531,1118,1,0,4,1025,35635297,7,142541188,11,18,7,890,558,0,0,15268070,333316,626230006,0,558,639,0,3,1,14,14,1661,3,625651302,597167298,21727307,36146029,36146029,1,3,1,1879593540,73389,73389,14,14,14,36146033,9,3,73982,244693,438816,5227,625651302,238917,14829830,1912
403938.66,4,253952,62,36798,2423225352,1,7550907,302,4,4,4347,284,0,576,304978,0,10,14441,12,105018249,1154,1,0,4,1025,45713147,7,182787972,11,18,7,890,576,0,0,19741691,516141,796213648,0,576,656,0,3,1,14,14,1661,3,795983016,766133324,27744410,46401525,46401525,1,3,1,2412879332,73389,73389,14,14,14,46401529,9,3,79693,312442,528674,6655,795983016,304978,19213752,1978
405947.82,5,253952,62,44856,2953848300,1,8835796,379,4,4,4347,344,0,576,374739,0,10,17610,12,105959397,1154,1,0,4,1025,55744120,7,222911852,11,18,7,890,576,0,0,24310717,685021,961840687,0,576,656,0,3,1,14,14,1661,3,962106908,932823505,33760439,56624253,56624253,1,3,1,2943609220,73389,73389,14,14,14,56607873,9,3,82877,383809,618652,8038,962106908,374739,23692971,1978
407960.77,5,253952,62,53091,3496686486,1,10075416,461,4,4,4347,377,0,585,448145,0,10,20851,12,109377052,1172,1,0,4,1025,66069864,7,264279456,11,18,7,890,585,0,0,28969713,824079,1136922317,0,585,668,0,3,1,14,14,1661,3,1136228547,1103655008,39783852,67063847,67080231,1,3,1,3487320076,73389,73389,14,14,14,67063851,9,3,85832,458947,698523,9442,1136228547,448145,28272273,2017
409974.36,6,253952,62,61171,4028678830,1,11420867,534,4,4,4347,455,0,585,519870,0,10,24052,12,111211084,1172,1,0,4,1025,76149117,7,304596468,11,18,7,890,585,0,0,33548558,975470,1305990824,0,585,668,0,3,1,14,14,1661,3,1304997380,1271405355,45838852,77286575,77286575,1,3,1,4018901932,73389,73389,14,14,14,77286579,9,3,87916,532433,786214,10891,1304997380,519870,32762592,2017
411989.36,6,253952,62,69187,4556338694,1,12746695,618,4,4,4347,487,0,603,594777,0,10,27190,12,115046646,1208,1,0,4,1025,86128198,7,344512792,11,18,7,890,603,0,0,38149292,1123408,1473814077,0,603,689,0,3,1,14,14,1661,3,1473176322,1437579638,51874909,87425224,87425224,1,3,1,4546111680,73389,73389,14,14,14,87425228,9,3,90508,608992,858825,12257,1473176322,594777,37291884,2080
413997.39,7,253952,62,77487,5103798700,1,14018969,699,4,4,4347,564,10,603,669414,0,10,30453,12,116941008,1208,1,0,4,1025,96396954,7,385587816,11,18,7,890,603,0,0,42810040,1237660,1652263441,0,603,689,0,3,1,14,14,1661,3,1651580217,1611006491,57914569,97887235,97887235,1,3,1,5089284284,73389,73389,14,14,14,97870855,9,3,93572,685462,950802,13788,1651580217,669414,41860829,2080
416004.19,7,253952,62,85747,5649144038,1,15246065,788,4,4,4347,600,10,603,743738,0,10,33700,12,119426604,1208,1,0,4,1025,106756358,7,427025432,11,18,7,890,603,0,0,47486929,1366690,1829427495,0,603,689,0,3,1,14,14,1661,3,1828175562,1782791090,63928091,108363471,108363471,1,3,1,5634048556,73389,73389,14,14,14,108347091,9,3,95326,761605,1027828,15223,1828175562,743738,46460875,2080
