timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
922666.15,0,253952,62,6588,433078428,1,1575899,32,3,3,4884,93,0,558,41393,0,19,2558,18,11,95481339,1118,1,0,4,415,8035533,6,32077460,17,17,0,14,69,558,0,0,0,2638153,35,174026287,0,558,389,0,3,1,14,14,861,0,3,174245507,139173318,4214168,8150596,8150596,1,3,1,0,423831024,73389,73389,14,14,14,8150600,7,3,79130,42417,149908,1490,174245507,41393,2488343,1383
924670.99,0,253952,62,15735,1035950898,2,3808379,68,5,5,4884,153,0,558,88788,0,19,6167,19,11,97641153,1118,1,0,4,415,19465055,6,77860220,18,19,0,14,78,558,0,0,0,6504706,125,361585702,0,558,389,0,3,1,14,14,861,0,3,361462961,329021759,10312942,19743103,19743103,1,3,1,0,1026641388,73389,73389,14,14,14,19743107,7,3,91152,91129,217829,3050,361462961,88788,6287138,1383
926675.60,0,253952,62,25703,1692990404,2,5628429,113,5,5,4884,213,0,567,143318,0,19,10073,19,11,101348256,1136,1,0,4,415,31854231,6,127416924,18,19,0,14,78,567,0,0,0,10720678,191,567983696,0,567,393,0,3,1,14,14,861,0,3,567932098,535939742,16323421,32373835,32373835,1,3,1,0,1682587484,73389,73389,14,14,14,32357455,7,3,95455,147104,296737,4761,567932098,143318,10424389,1409
928679.92,0,253952,62,35920,2365220786,2,7385546,146,5,5,4884,306,0,585,198492,0,19,14121,19,11,105938984,1172,1,0,4,415,44610991,6,178379412,18,19,0,14,78,585,0,0,0,14938272,250,776658464,0,585,402,0,3,1,14,14,861,0,3,776312870,747542341,22322246,45295605,45295605,1,3,1,0,2355371492,73389,73389,14,14,14,45295609,7,3,99616,203841,356568,6544,776312870,198492,14582324,1454
930684.33,1,253952,62,46009,3030117752,2,9232309,168,5,5,4884,340,0,585,252902,0,19,18068,19,11,107760950,1172,1,0,4,415,57233983,6,228806824,18,19,0,14,78,585,0,0,0,19039491,318,986524553,0,585,402,0,3,1,14,14,861,0,3,986813396,956846926,28270043,58081985,58081985,1,3,1,0,3020263252,73389,73389,14,14,14,58081989,7,3,105439,259716,424539,8229,986813396,252902,18615726,1454
932688.93,1,253952,62,56068,3692204018,2,11213188,189,5,5,4884,431,2,585,307725,0,19,22052,19,11,108738296,1172,1,0,4,415,69765483,6,279061932,18,19,0,14,78,585,0,0,0,23149982,351,1198895878,0,585,402,0,3,1,14,14,861,0,3,1198245298,1165763982,33897924,70792922,70792922,1,3,1,0,3681231976,73389,73389,14,14,14,70792926,7,3,110918,316044,484437,10028,1198245298,307725,22666469,1454
934693.74,1,253952,62,66145,4356061166,2,12987225,218,5,5,4884,466,2,585,364923,0,19,25971,19,11,110620592,1172,1,0,4,415,82309275,6,329108068,18,19,0,14,78,585,0,0,0,27296982,414,1415364322,0,585,402,0,3,1,14,14,861,0,3,1414950001,1374966337,40282287,83548693,83548693,1,3,1,0,4344532068,73389,73389,14,14,14,83548697,7,3,118876,374729,555285,11761,1414950001,364923,26742786,1454
936698.31,1,253952,62,74687,4919610138,3,15571565,262,5,5,4884,546,2,585,409679,0,19,29362,19,11,112792472,1172,1,0,4,415,92993963,6,371911328,18,19,0,14,78,585,0,0,0,30753333,455,1591901232,0,585,402,0,3,1,14,14,861,0,3,1591352253,1552590774,46321538,94368993,94385377,1,3,1,0,4907187668,73389,73389,14,14,14,94368997,7,3,124565,420775,616247,13276,1591352253,409679,30138318,1454
938702.68,1,253952,62,82721,5448672288,3,17027863,281,6,6,4884,567,2,585,452078,0,19,32500,19,11,114083534,1172,1,0,4,415,103024448,6,412033168,18,20,0,14,78,585,0,0,0,33984706,521,1755676071,0,585,402,0,3,1,14,14,861,0,3,1754742266,1719129884,51009229,104542569,104542569,1,3,1,0,5436213620,73389,73389,14,14,14,104542573,7,3,130017,464302,676041,14570,1754742266,452078,33310014,1454
940707.00,1,253952,62,91628,6034947366,4,19100583,321,6,6,4884,649,2,585,500942,0,19,36022,19,11,115676246,1172,1,0,4,415,114121032,6,456419484,18,20,0,14,78,585,0,0,0,37564962,717,1942368511,0,585,402,0,3,1,14,14,861,0,3,1941166633,1904071656,56661030,115797489,115797489,1,3,1,0,6021469460,73389,73389,14,14,14,115797493,7,3,132341,514488,732848,16167,1941166633,500942,36833604,1454
