timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
475476.77,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
477483.05,1,253952,62,5139,337489332,0,848331,28,2,2,10196,87,0,558,37165,0,10,1996,12,28,94853907,1118,1,4,389,6230827,5,24923308,11,16,5,9,138,558,2322168,14370,138043861,558,418,0,3,1,14,14,849,3,138596627,108902834,3109035,6319906,6319906,1,3,1,328635144,73389,73389,14,14,14,6319910,7,3,76120,38038,142974,1201,138596627,37165,2179290,1363
479496.13,1,253952,62,10782,709758378,0,2193791,51,2,2,10196,95,0,558,68814,0,10,4189,12,28,97303305,1118,1,4,389,13272696,5,53090784,11,16,5,9,138,558,4945794,116032,252871721,558,418,0,3,1,14,14,849,3,252666980,226179966,7249491,13478826,13478826,1,3,1,700898984,73389,73389,14,14,14,13478830,7,3,82366,70602,196805,2090,252666980,68814,4749187,1363
481510.40,1,253952,62,17339,1141070642,0,4175769,107,3,3,10196,173,0,558,119413,0,10,6803,13,28,98582301,1118,1,4,389,21452002,5,85808008,12,17,5,9,205,558,8436039,490040,396308680,558,418,0,3,1,14,14,849,3,396463738,361847830,12799566,21774719,21774719,1,3,1,1132285420,73389,73389,14,14,14,21774723,7,3,89561,122666,282610,3355,396463738,119413,8153772,1363
483516.20,1,253952,62,23483,1545919838,0,5825300,168,3,3,10196,189,0,558,163693,0,10,9186,13,28,100150881,1118,1,4,389,29109324,5,116372644,12,17,5,9,205,558,11613346,829792,521143844,558,418,0,3,1,14,14,849,3,521325419,489679120,18240038,29542006,29542006,1,3,1,1536184344,73389,73389,14,14,14,29542010,7,3,92211,168116,338169,4351,521325419,163693,11275650,1363
485526.45,1,253952,62,28856,1899902930,1,8522119,187,4,4,10196,251,0,567,194822,0,10,11338,14,28,103194625,1136,1,4,389,35825084,5,143235772,13,18,5,9,217,567,13921945,880215,632433801,567,425,0,3,1,14,14,849,3,632393645,600977791,23291545,36352988,36369372,1,3,1,1890355408,73389,73389,14,14,14,36352992,7,3,95463,200214,382127,5323,632393645,194822,13540391,1388
487535.44,1,253952,62,35485,2336235436,1,10565859,235,4,4,10196,270,0,567,244912,0,10,13922,14,28,104775271,1136,1,4,389,44082827,5,176331308,13,18,5,9,217,567,17358712,1389271,764035907,567,425,0,3,1,14,14,849,3,763817441,738168993,29259788,44745026,44761410,1,3,1,2326741384,73389,73389,14,14,14,44745030,7,3,98754,251589,454911,6370,763817441,244912,16903530,1388
489545.07,4,253952,62,41893,2758398202,1,12775627,278,4,4,10196,341,0,567,293832,0,10,16468,14,28,105728485,1136,1,4,389,52079246,5,208316984,13,18,5,9,217,567,20635424,1962890,901882294,567,425,0,3,1,14,14,849,3,901551167,871407115,35311588,52856377,52856377,1,3,1,2747679668,73389,73389,14,14,14,52839997,7,3,101674,301824,521847,7566,901551167,293832,20114443,1388
491563.50,4,253952,62,48194,3173246966,1,14992648,321,4,4,10196,361,0,567,346813,0,10,18937,14,28,107007481,1136,1,4,389,59981934,5,239863276,13,18,5,9,217,567,23876775,2631216,1034407470,567,425,0,3,1,14,14,849,3,1033406573,1001812819,41423712,60855199,60855199,1,3,1,3164470380,73389,73389,14,14,14,60855203,7,3,102551,356061,580791,8614,1033406573,346813,23296994,1388
493577.18,6,253952,62,54334,3578461450,1,16915968,374,4,4,10196,383,0,567,398205,0,10,21343,14,28,108563995,1136,1,4,389,67651564,5,270606256,13,18,5,9,217,567,27083600,3492733,1164991721,567,425,0,3,1,14,14,849,3,1164116754,1129605336,47413828,68634552,68634552,1,3,1,3568996736,73389,73389,14,14,14,68634556,7,3,108165,408660,640706,9668,1164116754,398205,26444058,1388
495591.73,8,253952,62,60370,3976498210,1,18922354,430,4,4,10196,448,0,567,444151,0,10,23733,14,28,109468945,1136,1,4,389,75129336,5,300517344,13,18,5,9,217,567,30243387,4361729,1285525001,567,425,0,3,1,14,14,849,3,1285227490,1254603074,53432947,76301376,76301376,1,3,1,3966819616,73389,73389,14,14,14,76284996,7,3,112143,455839,696186,10721,1285227490,444151,29548512,1388
497597.77,9,253952,62,66024,4348607334,2,21802908,477,4,4,10196,466,0,567,479531,0,10,25956,14,28,110723809,1136,1,4,389,82259365,5,329037460,13,18,5,9,217,567,32944744,4565052,1399290687,567,425,0,3,1,14,14,849,3,1397880347,1371764143,59212824,83450389,83450389,1,3,1,4339420260,73389,73389,14,14,14,83450393,7,3,118197,492148,754082,11624,1397880347,479531,32192088,1388
499604.58,9,253952,62,71259,4692376056,2,23487531,501,4,4,10196,519,0,567,512951,0,10,28027,14,28,111411571,1136,1,4,389,88780626,5,355122504,13,18,5,9,217,567,35217836,4638854,1514657864,567,425,0,3,1,14,14,849,3,1513286932,1479900525,63244644,90065207,90081591,1,3,1,4683390796,73389,73389,14,14,14,90065211,7,3,120819,526468,800127,12613,1513286932,512951,34419240,1388
501612.88,9,253952,62,76610,5048066582,2,25003546,527,5,5,10196,535,0,567,546438,0,10,30136,14,28,115103767,1136,1,4,389,95498956,5,381995824,13,19,5,9,217,567,37601029,4805188,1621516888,567,425,0,3,1,14,14,849,3,1619914244,1592170006,67307779,96879175,96895559,1,3,1,5037717132,73389,73389,14,14,14,96879179,7,3,127690,560728,853121,13465,1619914244,546438,36749536,1388
