timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
223272.56,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
225276.84,0,0,20577,1354374216,0,0,0,0,1,1,3870,117,621,122075,23,1921,11,0,128068016,1244,1,0,10,15,9,1972,621,0,0,0,1985656,392,443807441,0,621,327,2,1,14,14,414,0,1,446202052,399361891,1986701,30451318,30467702,1,2,1,0,1339857992,73389,73389,14,14,14,30451318,7,3,389443,124186,781660,3422,446202052,122075,1204081,1674
227281.31,253952,62,41637,2742272550,1,1000127,0,1,35,35,3870,121,675,225761,23,7540,45,74,140299886,1352,1,0,44,49,9,2144,675,0,0,0,6218622,657,854063271,0,675,348,2,1,14,14,414,0,1,856423216,805481194,9433230,61968867,61968867,1,2,1,0,2726630148,73389,73389,14,14,14,61968867,7,3,461599,230444,1027797,6553,856423216,225761,5191074,1811
229285.93,253952,62,61698,4064422902,25,25002869,0,25,35,35,3870,124,675,339356,23,13181,45,74,141096242,1352,1,0,44,49,9,2144,675,0,0,0,10951627,202239,1241170529,0,675,348,2,1,14,14,414,0,1,1242299184,1191935119,108536648,92022207,92022207,1,2,1,0,4048977108,73389,73389,14,14,14,92022207,7,3,489850,346728,1252602,9497,1242299184,339356,9699455,1811
231300.50,253952,62,81685,5381192686,25,25135793,0,43,35,35,3870,127,675,446886,23,18799,45,74,141361694,1352,1,0,44,49,9,2144,675,0,0,0,15286289,355034,1622360139,0,675,348,2,1,14,14,414,0,1,1626995504,1576871530,127742681,121948793,121948793,1,2,1,0,5365025996,73389,73389,14,14,14,121932409,7,3,505369,456926,1423213,12432,1626995504,446886,13863677,1811
233316.23,253952,62,97482,6422039370,31,33544196,0,97,36,36,3870,130,675,568980,23,23276,45,74,141892598,1352,1,0,44,50,9,2144,675,0,0,0,19745787,1130199,1929470361,0,675,348,2,1,14,14,414,0,1,1931344688,1881214254,163233265,145586526,145602910,1,2,1,0,6405807144,73389,73389,14,14,14,145586526,7,3,519600,581606,1618589,14754,1931344688,568980,18127935,1811
235325.65,253952,62,113621,7485830270,32,36454086,0,152,38,38,3870,132,675,703067,23,27782,45,74,142423502,1352,1,0,44,52,9,2144,675,0,0,0,24265662,2037599,2238291559,0,675,348,2,1,14,14,414,0,1,2242116400,2192151652,174087991,169776997,169776997,1,2,1,0,7469466972,73389,73389,14,14,14,169760613,7,3,533899,718378,1811036,17125,2242116400,703067,22455519,1811
237330.23,253952,62,127652,8409878570,35,41774098,0,194,38,38,3870,134,675,799121,23,31718,45,74,142423502,1352,1,0,44,52,9,2144,675,0,0,0,27901152,2619113,2512098720,0,675,348,2,1,14,14,414,0,1,2512124720,2462258933,184965182,190777350,190777350,1,2,1,0,8394203400,73389,73389,14,14,14,190777350,7,3,544528,816576,1995949,19185,2512124720,799121,25906226,1811
239334.62,253952,62,138949,9154485994,36,44422327,0,228,38,38,3870,136,675,858049,23,34910,45,74,142942340,1352,1,0,44,52,9,2144,675,0,0,0,30345106,2619137,2730693365,0,675,348,2,1,14,14,414,0,1,2729573168,2679959766,190077988,207700246,207700246,1,2,1,0,9138810824,73389,73389,14,14,14,207700246,7,3,548206,876911,2066113,20844,2729573168,858049,28280115,1811
241347.05,253952,62,152896,10072970350,36,46044604,0,264,41,41,3870,139,675,958436,23,38894,45,74,143207792,1352,1,0,44,55,9,2144,675,0,0,0,33879352,3068739,2994644498,0,675,348,2,1,14,14,414,0,1,2997324752,2948401263,196008428,228565209,228581593,1,2,1,0,10056869196,73389,73389,14,14,14,228565209,7,3,558453,979496,2190716,22890,2997324752,958436,31689883,1811
