timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
380632.34,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
382637.05,0,253952,62,10080,663160872,0,1521970,0,63,3,3,4934,117,0,558,67753,19,3921,13,11,95770923,1118,1,0,4,427,12339143,5,49356572,12,17,62,9,75,558,0,0,0,4394089,158,241312866,0,558,373,3,1,14,14,917,3,242170496,211395305,5916439,12565640,12582024,1,3,1,652561344,73389,73389,14,14,14,12549260,8,3,82614,69362,243390,2053,242170496,67753,4150888,1323
384649.58,0,253952,62,19997,1317147626,0,2933702,0,135,3,3,4934,157,0,558,132599,19,7820,13,11,97930737,1118,1,0,4,427,24783115,5,99132460,12,17,62,9,75,558,0,0,0,8982392,13991,444509047,0,558,373,3,1,14,14,917,3,444648428,417461417,11928510,25153253,25153253,1,3,1,1307969188,73389,73389,14,14,14,25153257,8,3,88114,135880,315117,3680,444648428,132599,8667669,1323
386657.29,1,253952,62,29601,1949378814,0,4084272,0,235,3,3,4934,250,0,558,212562,19,11631,13,11,98582301,1118,1,0,4,427,36781885,5,147127540,12,17,62,9,75,558,0,0,0,13842347,25913,647971113,0,558,373,3,1,14,14,917,3,648041073,616423662,17947323,37315326,37315326,1,3,1,1940396984,73389,73389,14,14,14,37315330,8,3,93386,217782,419988,5429,648041073,212562,13422952,1323
388663.30,4,253952,62,39273,2586380166,0,5294489,0,323,3,3,4934,291,0,567,291587,19,15415,13,11,101336461,1136,1,0,4,427,48833304,5,195333216,12,17,62,9,75,567,0,0,0,18649592,52898,849724099,0,567,383,3,1,14,14,917,3,849858205,816919878,23983258,49565352,49581736,1,3,1,2577398336,73389,73389,14,14,14,49565356,8,3,96629,298632,518955,7057,849858205,291587,18131415,1358
390672.93,4,253952,62,48278,3179053640,0,6634289,0,414,3,3,4934,378,0,567,363442,19,18975,13,11,102289675,1136,1,0,4,427,60043642,5,240110032,12,17,62,9,75,567,0,0,0,23312730,88323,1035882559,0,567,383,3,1,14,14,917,3,1034913611,1004059831,30013470,60934960,60934960,1,3,1,3168617952,73389,73389,14,14,14,60934964,8,3,103276,372256,611925,8651,1034913611,363442,22701779,1358
392680.52,4,253952,62,57010,3754427020,0,7975480,0,497,3,3,4934,413,0,567,438380,19,22399,13,11,103520407,1136,1,0,4,427,70974791,5,283834492,12,17,62,9,75,567,0,0,0,27917854,148355,1220673746,0,567,383,3,1,14,14,917,3,1220023047,1185161717,35989692,72005338,72005338,1,3,1,3744277608,73389,73389,14,14,14,72005342,8,3,106862,448908,724915,10137,1220023047,438380,27194088,1358
394688.68,5,253952,62,65514,4314894390,0,9301823,0,580,3,3,4934,449,0,567,514319,19,25725,13,11,104775271,1136,1,0,4,427,81564087,5,326256348,12,17,62,9,75,567,0,0,0,32552287,244144,1400423742,0,567,383,3,1,14,14,917,3,1399751093,1361901732,42040183,82748036,82764420,1,3,1,4302897904,73389,73389,14,14,14,82748040,8,3,111795,526526,847877,11603,1399751093,514319,31705736,1358
396699.44,5,253952,62,73867,4864548808,0,10553078,0,673,3,3,4934,532,0,567,593092,19,29018,13,11,106066333,1136,1,0,4,427,91935766,5,367678584,12,17,62,9,75,567,0,0,0,37201406,359568,1577824301,0,567,383,3,1,14,14,917,3,1576713867,1535988036,48031249,93267835,93267835,1,3,1,4849927452,73389,73389,14,14,14,93267839,8,3,112562,607155,951009,13128,1576713867,593092,36251901,1358
398704.53,10,253952,62,81276,5352361374,0,11749766,0,738,3,3,4934,559,6,567,659433,19,31907,13,11,107659045,1136,1,0,4,427,101176915,5,404707660,12,17,62,9,75,567,0,0,0,41152086,486260,1738901297,0,567,383,3,1,14,14,917,3,1737378456,1689500693,53286443,102640754,102657138,1,3,1,5337319240,73389,73389,14,14,14,102640758,8,3,115731,675020,1027964,14428,1737378456,659433,40125777,1358
400710.41,11,253952,62,86661,5708627082,1,14400677,0,761,3,3,4934,614,6,567,690809,19,34042,13,11,110084311,1136,1,0,4,427,107874206,5,431432088,12,17,62,9,75,567,0,0,0,43542237,486348,1854006407,0,567,383,3,1,14,14,917,3,1852257327,1802213313,58327534,109449133,109449133,1,3,1,5691354948,73389,73389,14,14,14,109449137,8,3,125236,707276,1071979,15415,1852257327,690809,42472006,1358
