timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
476782.99,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,3,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0
478798.60,0,253952,62,4913,322678196,0,1632759,24,2,2,6377,87,0,558,41223,0,16,1903,17,94853907,1118,1,4,5802,5923698,14,23694792,16,16,14,85,558,2300184,29896,130972962,558,456,0,3,1,14,14,6456,3,131527129,104425589,3962167,6008610,6041378,1,3,1,312447752,73389,73389,14,14,14,6008614,10,3,77624,42053,189935,1149,131527129,41223,2110347,1533
480812.86,1,253952,62,11166,734682882,0,3032170,77,3,3,6377,106,0,558,92315,0,16,4346,18,96434553,1118,1,4,5802,13759044,14,54971528,17,17,14,1735,558,5797244,347770,263246082,558,456,0,3,1,14,14,6456,3,263273684,234015072,9161633,13956121,13956121,1,3,1,725718324,73389,73389,14,14,14,13956125,10,3,83660,94511,245448,2200,263273684,92315,5552029,1533
482822.69,1,253952,62,17292,1138026648,0,5083060,134,3,3,6377,181,0,558,148427,0,16,6791,18,97677351,1118,1,4,5802,21403531,14,85614124,17,17,14,1735,558,9283201,813886,391864724,558,456,0,3,1,14,14,6456,3,391889055,361124659,15152825,21709183,21709183,1,3,1,1128877548,73389,73389,14,14,14,21709187,10,3,88534,152003,330231,3342,391889055,148427,8953339,1533
484828.42,1,253952,62,22239,1464067272,1,7741993,159,3,3,6377,184,0,558,177930,0,16,8709,18,99511383,1118,1,4,5802,27576339,14,110305356,17,17,14,1735,558,11534980,824483,490705992,558,456,0,3,1,14,14,6456,3,490632246,463788306,20072642,27971301,27971301,1,3,1,1454507684,73389,73389,14,14,14,27971305,10,3,94418,182331,378112,4110,490632246,177930,11157334,1533
486844.52,3,253952,62,28132,1852153216,1,8400557,193,3,3,6377,245,0,567,235630,0,16,11046,18,101951827,1136,1,4,5802,34889203,14,139556812,17,17,14,1735,567,14735338,1077356,614990440,567,464,0,3,1,14,14,6456,3,614822640,586234532,24180965,35404875,35421259,1,3,1,1841053532,73389,73389,14,14,14,35404879,10,3,100499,241285,444663,5187,614822640,235630,14291262,1562
488858.28,3,253952,62,33921,2233097634,1,10017171,250,4,4,6377,274,0,567,289829,0,16,13315,19,103194625,1136,1,4,5802,42115617,14,168462468,18,18,14,3743,567,18105713,1557905,735573846,567,464,0,3,1,14,14,6456,3,735250242,706092146,29632827,42750496,42750496,1,3,1,2223025824,73389,73389,14,14,14,42750500,10,3,105939,296782,522257,6165,735250242,289829,17584171,1562
490867.17,6,253952,62,39188,2580194240,1,12077942,307,4,4,6377,291,1,567,345989,0,16,15360,19,104473621,1136,1,4,5802,48677226,14,194644132,18,18,14,3743,567,21318657,2163268,847433293,567,464,0,3,1,14,14,6456,3,848007900,815469969,35502346,49422214,49422214,1,3,1,2569103192,73389,73389,14,14,14,49405834,10,3,110014,354133,593723,7065,848007900,345989,20725773,1562
492887.14,6,253952,62,44255,2914135382,1,14428872,362,4,4,6377,333,2,567,400024,0,16,17383,19,105402703,1136,1,4,5802,55044610,14,220178440,18,18,14,3743,567,24552924,2784599,953966910,567,464,0,3,1,14,14,6456,3,953001751,920561576,41422022,55848172,55848172,1,3,1,2904104976,73389,73389,14,14,14,55848176,10,3,120945,409379,677299,7961,953001751,400024,23876589,1562
494904.01,6,253952,62,49685,3271576508,1,16723045,413,4,4,6377,378,2,567,457275,0,16,19531,19,106669633,1136,1,4,5802,61834740,14,247338960,18,18,14,3743,567,27734517,3395845,1060651549,567,464,0,3,1,14,14,6456,3,1059556929,1032746868,47481732,62735041,62735041,1,3,1,3262222164,73389,73389,14,14,14,62735045,10,3,128363,474344,735504,8859,1059556929,457275,27000102,1562
