timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
318064.67,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
320069.55,1,253952,62,7589,499886564,1,2114040,0,76,4,4,4992,107,0,558,71433,20,2961,14,1220,96060507,1118,1,0,4,2091,9302987,8,37147180,13,18,9,1370,558,0,0,4343658,102678,189387088,0,558,573,3,1,14,14,2753,3,190116631,160193453,6503298,9436296,9436296,1,3,1,490687424,73389,73389,14,14,14,9436300,10,3,80251,72945,295179,1636,190116631,71433,4048636,1839
322077.52,1,253952,62,13259,873056330,2,4740424,0,85,4,4,4992,114,0,558,99524,20,5161,14,1220,97327437,1118,1,0,4,2091,16367504,8,65470016,13,18,9,1370,558,0,0,6735013,102711,305290088,0,558,573,3,1,14,14,2753,3,305564656,277804095,11568511,16601693,16618077,1,3,1,863288068,73389,73389,14,14,14,16601697,10,3,95078,101863,363113,2531,305564656,99524,6372141,1839
324086.03,1,253952,62,21567,1420027080,2,5957549,0,168,5,5,4992,203,0,558,165875,20,8474,14,1220,98570235,1118,1,0,4,2091,26752664,8,107010656,13,19,9,1370,558,0,0,11436048,176612,487651915,0,558,573,3,1,14,14,2753,3,487358652,449805535,17539748,27135717,27135717,1,3,1,1411057316,73389,73389,14,14,14,27135721,10,3,98515,170097,432913,4108,487358652,165875,11003552,1839
326092.57,1,253952,62,29928,1971424452,2,7285512,0,247,5,5,4992,236,0,558,224310,20,11751,14,1220,100138815,1118,1,0,4,2091,37213070,8,148787612,13,19,9,1370,558,0,0,16066740,280239,650869182,0,558,573,3,1,14,14,2753,3,650924458,623247859,23572466,37745184,37745184,1,3,1,1962749600,73389,73389,14,14,14,37745188,10,3,101317,230086,499818,5425,650924458,224310,15567518,1839
328103.48,1,253952,62,39077,2573510978,2,8286414,0,346,5,5,4992,300,0,567,293830,20,15343,14,1220,102253477,1136,1,0,4,2091,48591831,8,194302608,13,19,9,1370,567,0,0,21055926,323328,843398862,0,567,582,3,1,14,14,2753,3,843276209,813257100,29596985,49303208,49303208,1,3,1,2563766848,73389,73389,14,14,14,49303212,10,3,102749,301437,586561,7038,843276209,293830,20470152,1877
330111.03,1,253952,62,48537,3195991266,2,9383075,0,441,5,5,4992,365,0,567,360564,20,19063,14,1220,102567193,1136,1,0,4,2091,60383018,8,241467620,13,19,9,1370,567,0,0,25980988,328837,1042384450,0,567,582,3,1,14,14,2753,3,1042327074,1009067306,35621701,61279024,61279024,1,3,1,3185657312,73389,73389,14,14,14,61262644,10,3,104415,369917,680301,8686,1042327074,360564,25301665,1877
332118.71,1,253952,62,57899,3812398940,2,10551750,0,521,5,5,4992,405,0,567,423004,20,22735,14,1220,103230823,1136,1,0,4,2091,72075183,8,288300732,13,19,9,1370,567,0,0,30816975,348731,1235277890,0,567,582,3,1,14,14,2753,3,1234359961,1203303522,41638718,73121609,73121609,1,3,1,3802323700,73389,73389,14,14,14,73121613,10,3,107954,434056,754235,10236,1234359961,423004,30063913,1877
334126.15,1,253952,62,67548,4449111630,2,11443645,0,612,5,5,4992,498,3,576,494449,20,26557,14,1220,107517230,1154,1,0,4,2091,84087989,8,336296072,13,19,9,1370,576,0,0,35947357,369149,1445871448,0,576,594,3,1,14,14,2753,3,1444882997,1404110130,47677812,85338423,85354807,1,3,1,4437598028,73389,73389,14,14,14,85338427,10,3,115100,507443,851061,12040,1444882997,494449,35097667,1906
336132.00,1,253952,62,77203,5084745484,2,12480745,0,704,5,5,4992,538,3,576,560009,20,30332,14,1220,108518708,1154,1,0,4,2091,96135399,8,384476984,13,19,9,1370,576,0,0,40913285,380553,1643197604,0,576,594,3,1,14,14,2753,3,1642532944,1604127619,53685848,97557840,97574224,1,3,1,5073007712,73389,73389,14,14,14,97557844,10,3,117184,574750,936794,13635,1642532944,560009,39978065,1906
338137.46,1,253952,62,86848,5720279014,2,13601266,0,799,5,5,4992,631,3,576,627876,20,34154,14,1220,110051090,1154,1,0,4,2091,108146199,8,432584796,13,19,9,1370,576,0,0,45819542,385871,1846459406,0,576,594,3,1,14,14,2753,3,1844804672,1804819719,59715116,109756555,109756555,1,3,1,5707340892,73389,73389,14,14,14,109756559,10,3,123543,644458,1015407,15376,1844804672,627876,44805915,1906
340142.24,1,253952,62,96853,6379429636,2,14631210,0,901,5,5,4992,671,3,576,694353,20,38077,14,1220,111318020,1154,1,0,4,2091,120673592,8,482694368,13,19,9,1370,576,0,0,50806519,390498,2050903646,0,576,594,3,1,14,14,2753,3,2048907743,2012282075,65734161,122430406,122430406,1,3,1,6366381144,73389,73389,14,14,14,122430410,10,3,126818,712748,1100282,17017,2048907743,694353,49708235,1906
342146.96,1,253952,62,107393,7074872750,2,15980521,0,986,5,5,4992,736,3,576,757861,20,42237,14,1220,113200316,1154,1,0,4,2091,133872204,8,535488816,13,19,9,1370,576,0,0,55433865,391400,2275259428,0,576,594,3,1,14,14,2753,3,2273645548,2231130032,71710046,135816517,135816517,1,3,1,7062458916,73389,73389,14,14,14,135816521,10,3,131520,778008,1181224,18879,2273645548,757861,54254845,1906
344150.77,1,253952,62,117048,7711242630,2,17135879,0,1055,5,5,4992,801,3,576,814517,20,46019,14,1220,114274190,1154,1,0,4,2091,145867445,8,583469780,13,19,9,1370,576,0,0,59630391,396608,2477190017,0,576,594,3,1,14,14,2753,3,2475224036,2432201110,77066280,147998848,147998848,1,3,1,7695940128,73389,73389,14,14,14,147998852,10,3,136930,836285,1240033,20552,2475224036,814517,58392751,1906
346155.23,1,253952,62,124184,8182816910,4,19642548,0,1069,7,7,4992,869,3,576,850272,20,48861,14,1220,116602928,1154,1,0,4,2091,154805356,8,619156756,13,21,9,1370,576,0,0,62432201,396667,2626992794,0,576,594,3,1,14,14,2753,3,2624887531,2581084498,82373620,157047517,157047517,1,3,1,8166470916,73389,73389,14,14,14,157047521,10,3,145785,873049,1292850,21837,2624887531,850272,61141853,1906
348160.21,1,253952,62,134420,8856744368,4,21204861,0,1136,7,7,4992,908,3,576,910698,20,52857,14,1220,116602928,1154,1,0,4,2091,167577235,8,670244372,13,21,9,1370,576,0,0,66944481,396714,2846678855,0,576,594,3,1,14,14,2753,3,2844370708,2793333174,88446532,170002055,170002055,1,3,1,8840106892,73389,73389,14,14,14,170002059,10,3,147027,935095,1358596,23602,2844370708,910698,65588594,1906
350164.95,1,253952,62,144747,9536116764,4,22737885,0,1201,7,7,4992,999,3,576,971273,20,56932,14,1220,116602928,1154,1,0,4,2091,180417680,8,721670720,13,21,9,1370,576,0,0,71410391,396938,3066059477,0,576,594,3,1,14,14,2753,3,3063423831,3007629573,94444341,183042831,183042831,1,3,1,9518227244,73389,73389,14,14,14,183042835,10,3,153289,997348,1429403,25466,3063423831,971273,69983890,1906
352169.67,1,253952,62,154999,10212323530,4,24322280,0,1259,7,7,4992,1039,3,576,1027878,20,60948,14,1220,116602928,1154,1,0,4,2091,193262639,8,772921120,13,21,9,1370,576,0,0,75808702,397017,3277320285,0,576,594,3,1,14,14,2753,3,3274890852,3220436249,100401397,196054269,196054269,1,3,1,10194822020,73389,73389,14,14,14,196054273,10,3,156105,1055567,1503224,27171,3274890852,1027878,74308572,1906
354174.41,1,253952,62,165508,10903925128,4,25973072,0,1317,7,7,4992,1130,3,576,1088016,20,65092,14,1220,116602928,1154,1,0,4,2091,206312744,8,825250976,13,21,9,1370,576,0,0,80226196,397083,3506037729,0,576,594,3,1,14,14,2753,3,3503428772,3439051137,106468358,209289494,209305878,1,3,1,10883053720,73389,73389,14,14,14,209289498,10,3,164213,1117431,1574866,29114,3503428772,1088016,78654610,1906
356177.96,1,253952,62,173556,11433530736,5,27983275,0,1359,7,7,4992,1153,3,576,1126572,20,68221,14,1220,116602928,1154,1,0,4,2091,216312600,8,865250400,13,21,9,1370,576,0,0,83334324,397160,3667257671,0,576,594,3,1,14,14,2753,3,3663875872,3606170388,111610215,219465229,219465229,1,3,1,11412191940,73389,73389,14,14,14,219465233,10,3,166525,1157129,1625604,30392,3663875872,1126572,81712125,1906
