timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
543541.77,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
545546.08,0,0,21717,1429628226,0,0,0,0,1,1,4048,117,0,657,125465,26,2028,12,81,135695714,1316,1,0,11,15,0,10,2370,657,0,0,0,1990463,180,470807924,0,657,434,2,1,14,14,399,0,1,471498948,421571534,1991681,32150936,32167320,1,2,1,0,1414641184,73389,73389,14,14,14,32150936,9,3,412526,127545,816466,3615,471498948,125465,1174090,1816
547553.61,253952,62,40044,2637342798,8,8172511,0,33,24,24,4048,120,0,675,246323,26,7055,35,112,140299886,1352,1,0,34,38,19,10,2473,675,0,0,0,6492692,368804,818004000,0,675,444,2,1,14,14,399,0,1,825883440,774790581,38625039,59572929,59589313,1,2,1,0,2621208876,73389,73389,14,14,14,59572929,9,3,515397,250935,1174279,6320,825883440,246323,5318657,1868
549560.90,253952,62,57291,3773747586,20,23681663,0,108,24,24,4048,123,0,675,368285,26,11924,35,112,140830790,1352,1,0,34,38,19,10,2473,675,0,0,0,11240511,614756,1155829860,0,675,444,2,1,14,14,399,0,1,1157495600,1106987758,61354366,85401800,85418184,1,2,1,0,3757679200,73389,73389,14,14,14,85401800,9,3,522841,375458,1335894,8850,1157495600,368285,9905043,1868
551566.08,253952,62,74916,4935190434,21,27156166,0,173,25,25,4048,126,0,675,493417,26,16895,35,112,141361694,1352,1,0,34,39,19,10,2473,675,0,0,0,15832274,842912,1496271154,0,675,444,2,1,14,14,399,0,1,1496841008,1446540425,70554074,111810144,111810144,1,2,1,0,4918925440,73389,73389,14,14,14,111793760,9,3,530984,503180,1517606,11439,1496841008,493417,14315268,1868
553570.30,253952,62,90674,5973481214,22,29769545,0,232,25,25,4048,128,0,675,587999,26,21303,35,112,141627146,1352,1,0,34,39,19,10,2473,675,0,0,0,19521280,860197,1799981643,0,675,444,2,1,14,14,399,0,1,1800141616,1750023190,77284899,135398725,135415109,1,2,1,0,5957543900,73389,73389,14,14,14,135398725,9,3,532589,599873,1662167,13753,1800141616,587999,17859868,1868
555579.86,253952,62,104313,6872370306,24,32442731,0,254,28,28,4048,131,0,675,658714,26,25187,35,112,142158050,1352,1,0,34,42,19,10,2473,675,0,0,0,22501388,920688,2061849877,0,675,444,2,1,14,14,399,0,1,2063072048,2012896105,83264373,155829512,155829512,1,2,1,0,6856498528,73389,73389,14,14,14,155829512,9,3,543381,672211,1767039,15759,2063072048,658714,20735223,1868
557586.96,253952,62,122626,8078901922,24,34652298,0,304,30,30,4048,134,0,675,791790,26,30347,35,112,142423502,1352,1,0,34,44,19,10,2473,675,0,0,0,27188744,1382324,2414987586,0,675,444,2,1,14,14,399,0,1,2415393584,2365523666,92220565,183253664,183253664,1,2,1,0,8063161216,73389,73389,14,14,14,183253664,9,3,554707,807968,1969254,18447,2415393584,791790,25220529,1868
559591.35,253952,62,139223,9172708310,28,39905713,0,358,31,31,4048,136,0,675,884145,26,34983,35,112,142942340,1352,1,0,34,45,19,10,2473,675,0,0,0,30965837,1548606,2734430886,0,675,444,2,1,14,14,399,0,1,2734947120,2685251933,102144377,208115879,208115879,1,2,1,0,9157098676,73389,73389,14,14,14,208115879,9,3,559920,902423,2085608,20885,2734947120,884145,28881394,1868
561598.43,253952,62,153381,10105020762,29,42450331,0,374,34,34,4048,139,0,675,948969,26,39008,35,112,143473244,1352,1,0,34,48,19,10,2473,675,0,0,0,33960170,1653920,3004139424,0,675,444,2,1,14,14,399,0,1,3006630864,2957761221,108406010,229308522,229308522,1,2,1,0,10088854072,73389,73389,14,14,14,229292138,9,3,576056,968827,2200655,22961,3006630864,948969,31760800,1868
