timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
650615.94,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
652623.30,1,253952,62,6941,456803870,0,1548250,0,30,3,3,5144,103,0,558,65335,0,4,2704,9,95758857,1118,1,0,4,3354,8467176,6,33868704,8,17,5,5089,558,0,0,3807723,91456,174511988,0,558,617,0,3,1,14,14,3961,3,174893079,146702036,5444121,8605030,8605030,1,3,1,446609624,73389,73389,14,14,14,8588650,8,3,70013,66673,212221,1519,174893079,65335,3595638,1908
654628.96,1,253952,62,13257,872321958,1,3949852,0,71,3,3,5144,118,0,558,111149,0,4,5168,9,97037853,1118,1,0,4,3354,16371915,6,65487660,8,17,5,5089,558,0,0,7028430,165988,306827645,0,558,617,0,3,1,14,14,3961,3,306559646,277347997,11133717,16606011,16606011,1,3,1,863512604,73389,73389,14,14,14,16606015,8,3,71952,113567,262035,2554,306559646,111149,6766661,1908
656642.74,1,253952,62,18994,1250461804,1,5296487,0,94,4,4,5144,184,0,558,150854,0,4,7455,10,98570235,1118,1,0,4,3354,23528691,6,94114764,9,18,5,5103,558,0,0,9786830,185961,432393984,0,558,617,0,3,1,14,14,3961,3,432157103,396296037,15257498,23881778,23881778,1,3,1,1241852488,73389,73389,14,14,14,23881782,8,3,76699,154273,317298,3655,432157103,150854,9469901,1908
658650.55,3,253952,62,25453,1675966906,1,7471754,0,132,4,4,5144,209,0,558,206721,0,4,9984,10,100138815,1118,1,0,4,3354,31605950,6,126359104,9,18,5,5103,558,0,0,13654707,394818,558776001,0,558,617,0,3,1,14,14,3961,3,558814348,530319143,21045302,32058665,32058665,1,3,1,1667050612,73389,73389,14,14,14,32058669,8,3,84775,211363,408855,4672,558814348,206721,13246350,1908
660656.29,3,253952,62,31326,2062404282,2,9921941,0,167,4,4,5144,246,0,567,249887,0,4,12279,10,102567193,1136,1,0,4,3354,38871461,6,155485844,9,18,5,5103,567,0,0,16925835,462314,681851463,0,567,625,0,3,1,14,14,3961,3,681557943,652291213,27279194,39478014,39478014,1,3,1,2052856760,73389,73389,14,14,14,39478018,8,3,88182,255582,468787,5696,681557943,249887,16457665,1940
662667.19,3,253952,62,36677,2414680130,2,11337603,0,188,5,5,5144,290,0,567,289243,0,4,14402,10,103218757,1136,1,0,4,3354,45596776,6,182257856,9,19,5,5103,567,0,0,19606975,493883,798252953,0,567,625,0,3,1,14,14,3961,3,797920507,762910761,31398204,46266579,46266579,1,3,1,2405862140,73389,73389,14,14,14,46266583,8,3,93764,295882,513745,6667,797920507,289243,19093955,1940
664677.36,3,253952,62,41620,2741122240,3,14052594,0,212,5,5,5144,296,0,567,317630,0,4,16332,10,105402703,1136,1,0,4,3354,51766860,6,207067440,9,19,5,5103,567,0,0,21917446,506231,891561592,0,567,625,0,3,1,14,14,3961,3,890736504,865722146,36441799,52540763,52540763,1,3,1,2732119708,73389,73389,14,14,14,52540767,8,3,97375,324976,544769,7396,890736504,317630,21373502,1940
666684.80,4,253952,62,48133,3170154220,3,14247388,0,245,6,6,5144,370,0,576,375273,0,4,18923,10,107841693,1154,1,0,4,3354,59885575,6,239542300,9,20,5,5103,576,0,0,25681503,564417,1029806650,0,576,634,0,3,1,14,14,3961,3,1030019735,1000841831,40453206,60774994,60791378,1,3,1,3160299720,73389,73389,14,14,14,60774998,8,3,101779,384033,618620,8618,1030019735,375273,25063844,1974
668693.28,4,253952,62,54591,3595002552,4,16372061,0,281,7,7,5144,394,0,576,435900,0,4,21446,10,109144821,1154,1,0,4,3354,67951686,6,271806744,9,21,5,5103,576,0,0,29469544,690320,1170199164,0,576,634,0,3,1,14,14,3961,3,1169740733,1134594108,46482296,68956199,68956199,1,3,1,3585722380,73389,73389,14,14,14,68956203,8,3,107338,445981,682413,9736,1169740733,435900,28788231,1974
