timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
916224.90,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
918228.54,253952,62,9682,636787960,0,1463052,23,3,3,11042,113,0,558,57694,0,21,3770,18,21,95167623,1118,1,4,1158,11890194,6,47431624,17,17,9,14,88,558,4025649,192,238988910,558,358,0,3,1,14,14,1667,3,238961616,203135660,5414267,12076279,12076279,1,3,1,627966540,73389,73389,14,14,14,12076283,6,3,79646,59068,174329,2033,238961616,57694,3851483,1275
920232.41,253952,62,19738,1299860086,0,3566353,43,3,3,11042,172,0,558,106921,0,21,7728,18,21,97641153,1118,1,4,1158,24445388,6,97781552,17,17,9,14,88,558,8122365,320,444911146,558,358,0,3,1,14,14,1667,3,445136341,412203122,11689426,24811348,24811348,1,3,1,1290190128,73389,73389,14,14,14,24811352,6,3,85114,109631,241257,3735,445136341,106921,7881427,1275
922237.16,253952,62,27632,1819710998,1,5693856,78,3,3,11042,224,0,558,145103,0,21,10844,18,21,99209733,1118,1,4,1158,34330462,6,137321848,17,17,9,14,88,558,11264200,446,606687245,558,358,0,3,1,14,14,1667,3,606255170,575636806,16958872,34821084,34821084,1,3,1,1810696400,73389,73389,14,14,14,34821088,6,3,90638,148843,286262,5077,606255170,145103,10978370,1275
924241.59,253952,62,35727,2352445062,2,7568729,105,5,5,11042,304,0,567,186321,0,21,14059,19,21,101988025,1136,1,4,1158,44419149,6,177676596,18,19,9,14,99,567,14638257,543,770204018,567,364,0,3,1,14,14,1667,3,769895987,743249923,22163349,45070547,45070547,1,3,1,2343668476,73389,73389,14,14,14,45070551,6,3,104412,191187,352194,6489,769895987,186321,14286633,1298
926246.20,253952,62,45278,2981782010,2,9372342,142,5,5,11042,336,0,567,240062,0,21,17783,19,21,103508341,1136,1,4,1158,56349229,6,225332240,18,19,9,14,99,567,18867545,639,973126640,567,364,0,3,1,14,14,1667,3,972765983,941385448,28204629,57170958,57170958,1,3,1,2972889848,73389,73389,14,14,14,57170962,6,3,110430,246223,428161,8111,972765983,240062,18440136,1298
928250.60,253952,62,55099,3627969058,2,11143871,177,5,5,11042,427,1,567,292335,0,21,21673,19,21,104485687,1136,1,4,1158,68574904,6,274299616,18,19,9,14,99,567,23092880,884,1176972208,567,364,0,3,1,14,14,1667,3,1176304223,1145007202,34237001,69589142,69589142,1,3,1,3618635416,73389,73389,14,14,14,69589146,6,3,117122,299841,497041,9853,1176304223,292335,22596765,1298
930254.98,253952,62,64937,4276778468,2,13029059,196,5,5,11042,461,1,567,343870,0,21,25522,19,21,106959217,1136,1,4,1158,80872615,6,323490460,18,19,9,14,99,567,27202331,1068,1382196187,567,364,0,3,1,14,14,1667,3,1382149805,1349269195,39925696,82062067,82062067,1,3,1,4267227516,73389,73389,14,14,14,82062071,6,3,121327,352646,560952,11499,1382149805,343870,26642474,1298
932259.49,253952,62,74877,4931970900,2,14962715,214,5,5,11042,553,1,567,397139,0,21,29458,19,21,108226147,1136,1,4,1158,93284767,6,373074324,18,19,9,14,99,567,31341979,1176,1594445689,567,364,0,3,1,14,14,1667,3,1593453986,1555755474,46304191,94651839,94651839,1,3,1,4921895660,73389,73389,14,14,14,94651843,6,3,130769,407308,630962,13308,1593453986,397139,30712272,1298
934263.71,253952,62,84683,5578357376,2,16789127,239,5,5,11042,587,1,567,447746,0,21,33294,19,21,110084311,1136,1,4,1158,105536545,6,422146180,18,19,9,14,99,567,35453635,1310,1789454085,567,364,0,3,1,14,14,1667,3,1788819829,1759335510,52241457,107077771,107077771,1,3,1,5568044124,73389,73389,14,14,14,107077775,6,3,135761,459210,693918,14871,1788819829,447746,34761146,1298
