timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,RWLockReadersWaitMilliseconds,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
98387.10,0,253952,62,5657,371436980,1,2192441,0,17,3,3,3843,89,0,558,42182,0,9,2194,13,1,94853907,1118,1,0,4,554,6876632,5,27506528,12,17,9,199,558,0,0,2525633,221,151807666,0,558,451,0,3,1,14,14,1078,3,1,152233715,119571396,4718819,6975266,6975266,1,3,1,362713864,73389,73389,14,14,14,6975270,9,3,80517,43121,189605,1312,152233715,42182,2336126,1491
100395.38,0,253952,62,14038,924398458,1,3603839,0,85,4,4,3843,117,0,558,97617,0,9,5472,14,1,97930737,1118,1,0,4,554,17351392,5,69405568,13,18,9,207,558,0,0,6821338,41614,319800670,0,558,451,0,3,1,14,14,1078,3,1,319665570,293908517,10460879,17598958,17598958,1,3,1,915145848,73389,73389,14,14,14,17598962,9,3,85909,100078,255657,2657,319665570,97617,6565945,1491
102402.19,0,253952,62,23055,1518196212,1,4699566,0,183,4,4,3843,209,0,567,164416,0,9,9047,14,1,100719641,1136,1,0,4,554,28566808,5,114202664,13,18,9,207,567,0,0,11704973,86257,514566389,0,567,458,0,3,1,14,14,1078,3,1,514768145,480672588,16465301,29023751,29023751,1,3,1,1509235084,73389,73389,14,14,14,29023755,9,3,90697,168749,342648,4353,514768145,164416,11362780,1519
104408.48,0,253952,62,31795,2093792230,1,6040305,0,262,4,4,3843,243,0,567,228040,0,9,12473,14,1,101962439,1136,1,0,4,554,39498440,5,157993760,13,18,9,207,567,0,0,16352468,136234,693960567,0,567,458,0,3,1,14,14,1078,3,1,693323077,662143442,22501388,40079904,40079904,1,3,1,2084155040,73389,73389,14,14,14,40079908,9,3,93096,234116,418662,5789,693323077,228040,15934445,1519
106419.84,0,253952,62,41069,2703999526,1,7240388,0,354,4,4,3843,336,0,603,294676,0,9,16155,14,1,110178887,1208,1,0,4,554,51042701,5,204170804,13,18,9,207,603,0,0,21129174,199205,881580034,0,603,482,0,3,1,14,14,1078,3,1,881642286,854216842,28526327,51803483,51819867,1,3,1,2693781148,73389,73389,14,14,14,51803487,9,3,105305,302618,522731,7419,881642286,294676,20607285,1635
108425.90,0,253952,62,50608,3332550042,1,8564698,0,440,4,4,3843,373,0,603,363966,0,9,19881,14,1,112012919,1208,1,0,4,554,62940295,5,251696528,13,18,9,207,603,0,0,25804504,246843,1088754169,0,603,482,0,3,1,14,14,1078,3,1,1087724101,1052381115,34562852,63887510,63887510,1,3,1,3321298584,73389,73389,14,14,14,63871130,9,3,118766,373755,619562,9077,1087724101,363966,25185975,1635
110434.45,0,253952,62,60529,3984989040,1,9866940,0,522,4,4,3843,450,0,603,426741,0,9,23787,14,1,112676549,1208,1,0,4,554,75282987,5,301131948,13,18,9,207,603,0,0,30483943,296866,1295028010,0,603,482,0,3,1,14,14,1078,3,1,1293790782,1258239668,40583473,76406157,76406157,1,3,1,3973120196,73389,73389,14,14,14,76406161,9,3,123745,438244,701576,10816,1293790782,426741,29783613,1635
112439.77,0,253952,62,70532,4644949738,1,11306799,0,594,4,4,3843,503,0,603,487033,0,9,27725,14,1,114281327,1208,1,0,4,554,87806908,5,351227632,13,18,9,207,603,0,0,35023197,305765,1502411784,0,603,482,0,3,1,14,14,1078,3,1,1501103463,1465921909,46570401,89106299,89106299,1,3,1,4633527580,73389,73389,14,14,14,89106303,9,3,127849,500170,776489,12503,1501103463,487033,34248165,1635
114445.02,0,253952,62,80529,5303515742,1,12864680,0,651,4,4,3843,557,0,603,546512,0,9,31644,14,1,115801643,1208,1,0,4,554,100284006,5,401136024,13,18,9,207,603,0,0,39497178,318044,1714783407,0,603,482,0,3,1,14,14,1078,3,1,1713143843,1673548685,52613211,101747382,101747382,1,3,1,5290863896,73389,73389,14,14,14,101747386,9,3,132354,561296,852474,14250,1713143843,546512,38646360,1635
116449.88,0,253952,62,90927,5987742642,2,15158450,0,726,5,5,3843,637,0,612,608675,0,9,35753,15,1,118591827,1226,1,0,4,554,113257467,5,453029868,14,19,9,284,612,0,0,44281727,320582,1924808002,0,612,489,0,3,1,14,14,1078,3,1,1923365723,1888845594,59693574,114906720,114923104,1,3,1,5975149472,73389,73389,14,14,14,114906724,9,3,138923,625220,939276,16007,1923365723,608675,43344320,1662
118455.00,0,253952,62,101397,6678248322,2,16536429,0,802,5,5,3843,684,0,630,673650,0,9,39847,15,1,122830423,1262,1,0,4,554,126311744,5,505182432,14,19,9,284,630,0,0,48937110,320757,2153953304,0,630,499,0,3,1,14,14,1078,3,1,2152437429,2106626592,65724166,128163918,128163918,1,3,1,6664523768,73389,73389,14,14,14,128163922,9,3,142098,691957,1014057,17870,2152437429,673650,47925132,1719
120460.02,0,253952,62,112083,7382487468,2,18079888,0,856,5,5,3843,771,0,648,731701,0,9,44073,15,1,127227646,1298,1,0,4,554,139646475,5,558585900,14,19,9,284,648,0,0,53389913,321439,2374491161,0,648,512,0,3,1,14,14,1078,3,1,2373154333,2328740525,71719312,141687578,141687578,1,3,1,7366902120,73389,73389,14,14,14,141671198,9,3,147470,751641,1091990,19723,2373154333,731701,52300169,1764
122464.95,0,253952,62,122843,8092843208,2,19659582,0,912,5,5,3843,856,0,648,787920,0,9,48328,15,1,129556384,1298,1,0,4,554,153083517,5,612334068,14,19,9,284,648,0,0,57861358,321517,2596849975,0,648,512,0,3,1,14,14,1078,3,1,2594446921,2552855609,77768719,155298747,155315131,1,3,1,8075534876,73389,73389,14,14,14,155298751,9,3,154338,809482,1173877,21593,2594446921,787920,56689902,1764
