timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
709426.79,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,7,0,14,2097278,2,1,0,14,14,0,14,173,0,0,0,0,0,0,6933,0,0,0,2,1,14,14,400,1,0,0,114,0,0,1,2,1,0,73389,73389,14,14,14,0,9,3,0,0,0,0,0,0,0,0
711431.98,7,0,0,21872,1439786306,0,0,0,0,1,1,4287,117,666,123213,7,2042,16,137466896,1334,1,0,15,15,0,14,181,666,0,0,0,1998662,56,472250562,0,666,437,2,1,14,14,400,1,475168964,424615018,1998903,32363928,32380312,1,2,1,1424012832,73389,73389,14,14,14,32363928,9,3,414785,125275,819185,3643,475168964,123213,1179568,2019
713438.98,7,253952,62,41842,2755972882,4,4000293,0,8,28,28,4287,121,675,217886,7,7601,43,140565338,1352,1,0,42,42,10,14,254,675,0,0,0,6385020,505,859312685,0,675,444,2,1,14,14,400,1,860486448,809458865,14663032,62269812,62286196,1,2,1,2739871728,73389,73389,14,14,14,62269812,9,3,486206,222375,1068630,6584,860486448,217886,5316657,2046
715444.76,7,253952,62,60137,3961324850,24,26456546,0,84,28,28,4287,124,675,334645,7,12717,43,140830790,1352,1,0,42,42,10,14,254,675,0,0,0,10948429,272210,1211287247,0,675,444,2,1,14,14,400,1,1212545840,1161819854,82771147,89677580,89677580,1,2,1,3945813520,73389,73389,14,14,14,89677580,9,3,513978,341705,1286981,9270,1212545840,334645,9661889,2046
717450.67,7,253952,62,78332,5160388670,25,29795801,0,162,29,29,4287,126,675,463661,7,17828,43,141361694,1352,1,0,42,43,10,14,254,675,0,0,0,15657204,338517,1559851527,0,675,444,2,1,14,14,400,1,1562508080,1512348441,91829771,116919349,116935733,1,2,1,5144451356,73389,73389,14,14,14,116919349,9,3,521409,473402,1451271,11940,1562508080,463661,14206549,2046
719456.11,7,253952,62,97140,6399626058,25,32135353,0,231,29,29,4287,129,675,588314,7,23123,43,141892598,1352,1,0,42,43,10,14,254,675,0,0,0,20306783,362126,1924543636,0,675,444,2,1,14,14,400,1,1924660016,1874627469,99151656,145078622,145095006,1,2,1,6383459368,73389,73389,14,14,14,145078622,9,3,530203,600698,1615256,14703,1924660016,588314,18692325,2046
721461.68,7,253952,62,116522,7676746562,25,35464279,0,264,30,30,4287,133,675,698424,7,28628,43,142423502,1352,1,0,42,44,10,14,254,675,0,0,0,24880184,380599,2296443722,0,675,444,2,1,14,14,400,1,2297822000,2247972817,110285754,174104088,174120472,1,2,1,7660579872,73389,73389,14,14,14,174104088,9,3,542951,713340,1771231,17550,2297822000,698424,23109934,2046
723466.26,7,253952,62,129306,8519071470,28,39203604,0,286,30,30,4287,135,675,750619,7,32225,43,142688954,1352,1,0,42,44,10,14,254,675,0,0,0,27464670,384287,2543750248,0,675,444,2,1,14,14,400,1,2543713072,2494192714,116823861,193261241,193261241,1,2,1,8503494604,73389,73389,14,14,14,193261241,9,3,545956,766846,1821331,19426,2543713072,750619,25644426,2046
725471.93,7,253952,62,141985,9354515098,28,41433549,0,324,30,30,4287,137,675,802752,7,35792,43,142942340,1352,1,0,42,44,10,14,254,675,0,0,0,30027562,384668,2788305754,0,675,444,2,1,14,14,400,1,2787769136,2738431901,121657844,212246362,212246362,1,2,1,9338839928,73389,73389,14,14,14,212246362,9,3,550952,820345,1889042,21288,2787769136,802752,28139709,2046
727477.67,7,253952,62,160529,10576126610,28,43366387,0,375,33,33,4287,140,675,921473,7,41013,43,143738696,1352,1,0,42,47,10,14,254,675,0,0,0,34528656,524702,3142472407,0,675,444,2,1,14,14,400,1,3144125392,3095394280,128986301,240018452,240018452,1,2,1,10560811888,73389,73389,14,14,14,240018452,9,3,574402,941661,2087390,24010,3144125392,921473,32442626,2046
