timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPReceiveBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkReceiveBytes,NetworkReceiveElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
587815.44,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,2097278,2,1,1081,0,0,0,0,0,0,0,0,0,0,1081,9,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
589823.10,2,253952,62,7958,523453982,0,1341212,73,3,3,4125,109,0,558,76483,8,3104,8,95445141,1118,1,1081,4,3998,9727034,7,38908136,7,17,4,3570,558,1081,9,4416338,145425,196503662,558,624,3,1,14,14,4586,3,196596393,167727715,5892611,9882982,9882982,1,3,1,513915096,73389,73389,14,14,14,9882986,7,1,3,80223,78228,239638,1699,196596393,76483,4176861,1806
591828.59,2,253952,62,15171,998409426,0,2748766,128,3,3,4125,129,0,558,126753,8,5915,8,96748269,1118,1,1081,4,3998,18742374,7,74904964,7,17,4,3570,558,1081,9,7976684,224955,346227060,558,624,3,1,14,14,4586,3,345921472,317092300,10930867,19026525,19026525,1,3,1,989379332,73389,73389,14,14,14,19026529,7,1,3,83521,129913,308701,2886,345921472,126753,7668286,1806
593847.66,2,253952,62,21801,1435060854,1,5258255,148,4,4,4125,199,0,558,171136,8,8547,9,98570235,1118,1,1081,4,3998,26998441,7,107993764,8,18,4,3680,558,1081,9,11013415,268319,485732612,558,624,3,1,14,14,4586,3,485444284,454653326,16515836,27416404,27416404,1,3,1,1425653040,73389,73389,14,14,14,27416408,7,1,3,89463,175597,365748,4103,485444284,171136,10648087,1806
595853.07,2,253952,62,27948,1840082526,2,7654276,175,4,4,4125,211,0,567,206911,8,10947,9,101613979,1136,1,1081,4,3998,34696171,7,138784684,8,18,4,3680,567,1081,9,13667844,310418,610072643,567,630,3,1,14,14,4586,3,609552352,582250089,21610876,35208267,35208267,1,3,1,1830829916,73389,73389,14,14,14,35208271,7,1,3,93387,212430,412692,5080,609552352,206911,13255672,1831
597858.67,3,253952,62,33514,2205821182,2,9572704,199,4,4,4125,268,0,567,236631,8,13154,9,102579259,1136,1,1081,4,3998,41635643,7,166542572,8,18,4,3680,567,1081,9,15898726,310668,731042372,567,630,3,1,14,14,4586,3,730439082,697225646,25759534,42246910,42246910,1,3,1,2196839352,73389,73389,14,14,14,42246914,7,1,3,96509,243075,449775,6121,730439082,236631,15449555,1831
599868.19,4,253952,62,40825,2687754190,2,10758250,240,5,5,4125,294,0,567,287406,8,16006,9,104437423,1136,1,1081,4,3998,50758760,7,202970328,8,19,4,3680,567,1081,9,19620795,375730,870770493,567,630,3,1,14,14,4586,3,870778834,849272620,30737513,51500823,51500823,1,3,1,2678042828,73389,73389,14,14,14,51500827,7,1,3,103037,295224,518672,7258,870778834,287406,19102864,1831
601875.59,7,253952,62,48230,3176523278,2,12531559,284,5,5,4125,368,1,567,349996,8,18964,9,106971283,1136,1,1081,4,3998,60023953,7,240095812,8,19,4,3680,567,1081,9,23668813,644798,1029761271,567,630,3,1,14,14,4586,3,1029122486,1002712786,36833160,60914258,60914258,1,3,1,3167541448,73389,73389,14,14,14,60914262,7,1,3,106549,359395,597263,8619,1029122486,349996,23072453,1831
603889.76,8,253952,62,55203,3635713884,2,14388309,327,5,5,4125,397,1,567,417415,8,21679,9,108238213,1136,1,1081,4,3998,68699269,7,274797076,8,19,4,3680,567,1081,9,27696293,844355,1182316027,567,630,3,1,14,14,4586,3,1181667742,1147855342,42902554,69713737,69713737,1,3,1,3625114356,73389,73389,14,14,14,69713741,7,1,3,112845,428302,682202,9850,1181667742,417415,27015134,1831
605895.31,8,253952,62,60479,3983665766,3,16789466,359,5,5,4125,454,1,567,455673,8,23791,9,110084311,1136,1,1081,4,3998,75340094,7,301360376,8,19,4,3680,567,1081,9,30379729,891075,1290447017,567,630,3,1,14,14,4586,3,1289429242,1257001502,48043501,76432448,76432448,1,3,1,3974487328,73389,73389,14,14,14,76432452,7,1,3,115219,467523,728062,10785,1289429242,455673,29652819,1831
