timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
987323.74,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
989327.76,253952,62,23404,1540983814,0,6079,8,31,31,6481,118,675,121298,43,2408,46,80,140034434,1352,1,0,45,45,3,14,199,675,0,0,0,2123833,27,501581404,0,675,339,2,1,14,14,305,1,505281328,454252352,2324387,34659403,34675787,1,2,1,1525013732,73389,73389,14,14,14,34659403,5,3,454328,123359,804341,3874,505281328,121298,1319594,1619
991331.82,253952,62,43909,2891966698,28,29505783,46,31,31,6481,121,675,207328,43,8163,46,80,140565338,1352,1,0,45,45,3,14,199,675,0,0,0,6191548,137,898001572,0,675,339,2,1,14,14,305,1,900201264,849203399,43250985,65362070,65378454,1,2,1,2875931080,73389,73389,14,14,14,65362070,5,3,504235,211599,997207,6887,900201264,207328,5194651,1619
993335.90,253952,62,63888,4208743098,28,31229212,63,31,31,6481,124,675,293200,43,13778,46,80,141096242,1352,1,0,45,45,3,14,199,675,0,0,0,10021136,270,1284042061,0,675,339,2,1,14,14,305,1,1284504368,1234150847,49090865,95300722,95300722,1,2,1,4193231768,73389,73389,14,14,14,95300722,5,3,506011,299482,1079855,9819,1284504368,293200,8941750,1619
995340.15,253952,62,83479,5499295174,29,32327395,80,32,32,6481,127,675,380858,43,19286,46,80,141361694,1352,1,0,45,46,3,14,199,675,0,0,0,13789911,352,1661300719,0,675,339,2,1,14,14,305,1,1661729584,1611442003,54122398,124631451,124631451,1,2,1,5483783844,73389,73389,14,14,14,124631451,5,3,507333,389175,1170077,12697,1661729584,380858,12620470,1619
997344.04,253952,62,103112,6793130666,29,33556953,94,32,32,6481,130,675,472034,43,24806,46,80,141892598,1352,1,0,45,46,3,14,199,675,0,0,0,17627922,457,2038562858,0,675,339,2,1,14,14,305,1,2039741232,1989676898,59476488,154023398,154039782,1,2,1,6777029512,73389,73389,14,14,14,154023398,5,3,510104,482520,1278982,15582,2039872304,472065,16349742,1619
999347.92,253952,62,122515,8071361974,30,35487056,114,33,33,6481,134,675,556261,43,30319,46,80,142423502,1352,1,0,45,47,3,14,199,675,0,0,0,21365410,511,2412541743,0,675,339,2,1,14,14,305,1,2413165360,2363322771,65375956,183083791,183100175,1,2,1,8055686804,73389,73389,14,14,14,183083791,5,3,512376,568705,1358892,18430,2413165360,556261,20007478,1619
1001351.76,253952,62,142254,9372144282,30,37235844,130,33,33,6481,137,675,647112,43,35867,46,80,142942340,1352,1,0,45,47,3,14,199,675,0,0,0,25241944,594,2792554893,0,675,339,2,1,14,14,305,1,2792880944,2743561063,71281396,212639578,212655962,1,2,1,9356141432,73389,73389,14,14,14,212639578,5,3,512483,661696,1450276,21327,2792880944,647112,23792803,1619
1003355.72,253952,62,156153,10287748362,31,39575698,175,34,34,6481,139,675,705874,43,39764,46,80,143473244,1352,1,0,45,48,3,14,199,675,0,0,0,27910532,666,3059887797,0,675,339,2,1,14,14,305,1,3059977168,3011164142,76348344,233461422,233461422,1,2,1,10271581672,73389,73389,14,14,14,233445038,5,3,517143,721856,1508232,23368,3059977168,705874,26403543,1619
1005359.16,253952,62,172415,11359334738,34,43422634,212,36,36,6481,142,675,772367,43,44361,46,80,144004148,1352,1,0,45,50,3,14,199,675,0,0,0,31188727,803,3373676961,0,675,339,2,1,14,14,305,1,3372977104,3324324955,84206212,257817892,257817892,1,2,1,11343987248,73389,73389,14,14,14,257817892,5,3,528029,790157,1604101,25756,3372977104,772367,29586002,1619
