timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
241441.77,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,3,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
243447.16,0,253952,62,5667,372406056,1,2528277,0,34,3,3,5450,90,0,558,49510,0,21,2196,18,95167623,1118,1,0,4,3718,6858581,8,27434324,17,17,14,131,558,0,0,2751763,57042,149786038,0,558,662,0,3,1,14,14,4387,0,3,149676643,119894641,5334833,6989491,6989491,1,3,1,0,363453564,73389,73389,14,14,14,6989495,7,3,70436,50575,167785,1295,149676643,49510,2584084,1949
245453.03,0,253952,62,11007,724817694,1,4124292,0,69,3,3,5450,95,0,558,79523,0,21,4272,18,97303305,1118,1,0,4,3718,13545374,8,54116764,17,17,14,131,558,0,0,5160999,59021,260517538,0,558,662,0,3,1,14,14,4387,0,3,260309131,230752828,9341006,13771579,13771579,1,3,1,0,716122140,73389,73389,14,14,14,13771583,7,3,72543,81517,215718,2151,260309131,79523,4945479,1949
247465.23,1,253952,62,17377,1143573076,1,5431289,0,98,4,4,5450,168,0,558,125641,0,21,6804,19,98280651,1118,1,0,4,3718,21484388,8,85937552,18,18,14,147,558,0,0,8549126,168302,391917344,0,558,662,0,3,1,14,14,4387,0,3,391717709,362913391,14131366,21807487,21807487,1,3,1,0,1133989356,73389,73389,14,14,14,21807491,7,3,79928,128973,287594,3316,391717709,125641,8261852,1949
249474.70,3,253952,62,24277,1598606986,1,7581219,0,121,4,4,5450,191,0,567,180034,0,21,9494,19,101672855,1136,1,0,4,3718,30082110,8,120199284,18,18,14,147,567,0,0,12537434,281665,537763157,0,567,671,0,3,1,14,14,4387,0,3,537424367,505958432,20377599,30569880,30569880,1,3,1,0,1589633792,73389,73389,14,14,14,30569884,7,3,83650,184871,367428,4482,537424367,180034,12170472,1984
251484.69,4,253952,62,31551,2077487730,1,9375471,0,153,4,4,5450,268,0,576,235163,0,21,12391,19,104402883,1154,1,0,4,3718,39170190,8,156616140,18,18,14,147,576,0,0,16623351,377710,689266005,0,576,682,0,3,1,14,14,4387,0,3,689151140,657167926,26360862,39762575,39762575,1,3,1,0,2067653932,73389,73389,14,14,14,39762579,7,3,87179,241724,440330,5796,689151140,235163,16183631,2013
253493.84,6,253952,62,38930,2563599668,1,11105818,0,200,4,4,5450,292,0,576,289883,0,21,15266,19,106285179,1154,1,0,4,3718,48344586,8,193378344,18,18,14,147,576,0,0,20781313,569197,837757697,0,576,682,0,3,1,14,14,4387,0,3,838039273,809983674,32423340,49116951,49116951,1,3,1,0,2553229516,73389,73389,14,14,14,49100571,7,3,90160,298082,518118,6988,838039273,289883,20263963,2013
255499.60,7,253952,62,44705,2944241948,2,13665743,0,226,4,4,5450,351,0,576,324689,0,21,17562,19,108155409,1154,1,0,4,3718,55565888,8,222263552,18,18,14,147,576,0,0,23369392,1596168,965939697,0,576,682,0,3,1,14,14,4387,0,3,965206757,929859121,37594352,56425486,56441870,1,3,1,0,2934125304,73389,73389,14,14,14,56425490,7,3,92788,333913,562987,8078,965206757,324689,22807271,2013
257513.11,7,253952,62,51470,3388884050,2,15342656,0,252,5,5,5450,372,0,576,371262,0,21,20209,19,109446471,1154,1,0,4,3718,64038179,8,256088144,18,19,14,147,576,0,0,26901074,1672660,1104941747,0,576,682,0,3,1,14,14,4387,0,3,1103950942,1069895431,42874718,64985682,64985682,1,3,1,0,3379255496,73389,73389,14,14,14,64985686,7,3,97197,381756,622868,9189,1103950942,371262,26279202,2013
259524.84,9,253952,62,58722,3868193232,2,17059843,0,278,5,5,5450,443,0,576,426150,0,21,23100,19,111606285,1154,1,0,4,3718,73121052,8,292484208,18,19,14,147,576,0,0,30944833,1772047,1253741641,0,576,682,0,3,1,14,14,4387,0,3,1252882035,1220915148,48730281,74198191,74198191,1,3,1,0,3858305964,73389,73389,14,14,14,74198195,7,3,100884,438231,705623,10472,1252882035,426150,30240351,2013
261531.93,9,253952,62,65991,4346444646,2,18961103,0,314,5,5,5450,466,0,576,481511,0,21,25934,19,113162799,1154,1,0,4,3718,82187429,8,328749716,18,19,14,147,576,0,0,35036371,1991556,1399019587,0,576,682,0,3,1,14,14,4387,0,3,1397733506,1371434647,54948700,83393045,83393045,1,3,1,0,4336438372,73389,73389,14,14,14,83393049,7,3,104149,495084,784429,11631,1397733506,481511,34253234,2013
263543.76,12,253952,62,73547,4842775482,2,20652791,0,350,5,5,5450,534,0,585,541719,0,21,28913,19,115071133,1172,1,0,4,3718,91571661,8,366221960,18,19,14,147,585,0,0,39175058,2112198,1558695426,0,585,694,0,3,1,14,14,4387,0,3,1558044662,1527581206,60846168,92928089,92944473,1,3,1,0,4832260660,73389,73389,14,14,14,92928093,7,3,106514,556925,859411,12996,1558044662,541719,38317081,2046
265548.82,12,253952,62,80676,5315254468,2,22174159,0,393,5,5,5450,560,0,585,593977,0,21,31705,19,118727131,1172,1,0,4,3718,100500808,8,401938640,18,19,14,147,585,0,0,42935159,2222298,1711149264,0,585,694,0,3,1,14,14,4387,0,3,1709570376,1676626543,66268834,101984506,101984506,1,3,1,0,5303194344,73389,73389,14,14,14,101984510,7,3,112397,610582,933231,14215,1709570376,593977,42003499,2046
267556.02,13,253952,62,86319,5686920214,3,24724300,0,402,5,5,5450,613,0,585,625956,0,21,33955,19,118727131,1172,1,0,4,3718,107565220,8,430196312,18,19,14,147,585,0,0,45445851,2234274,1827904794,0,585,694,0,3,1,14,14,4387,0,3,1826234847,1793723830,71340722,109131360,109131360,1,3,1,0,5674830752,73389,73389,14,14,14,109131364,7,3,113042,643471,967256,15213,1826234847,625956,44480256,2046
269566.16,13,253952,62,93702,6172690996,3,26051703,0,429,6,6,5450,643,0,585,682283,0,21,36837,19,118727131,1172,1,0,4,3718,116757585,8,467030340,18,20,14,147,585,0,0,49470992,2445329,1982701963,0,585,694,0,3,1,14,14,4387,0,3,1981013518,1946534941,76894440,118473670,118490054,1,3,1,0,6160630872,73389,73389,14,14,14,118473674,7,3,119208,701252,1046840,16465,1981013518,682283,48425958,2046
271571.58,13,253952,62,99524,6557354616,4,27950688,0,460,6,6,5450,695,0,585,718482,0,21,39141,19,118727131,1172,1,0,4,3718,124020951,8,496083804,18,20,14,147,585,0,0,52207204,2505438,2103211358,0,585,694,0,3,1,14,14,4387,0,3,2101550048,2067748977,81584989,125857648,125874032,1,3,1,0,6544597728,73389,73389,14,14,14,125857652,7,3,122064,738487,1106778,17491,2101550048,718482,51102342,2046
273581.23,13,253952,62,104943,6914364430,5,29872979,0,494,7,7,5450,715,0,594,749488,0,21,41249,19,120226292,1190,1,0,4,3718,130724533,8,522898132,18,21,14,147,594,0,0,54600814,2506328,2218623276,0,594,705,0,3,1,14,14,4387,0,3,2216992944,2180367191,85885515,132734166,132734166,1,3,1,0,6901324696,73389,73389,14,14,14,132717786,7,3,129531,770431,1145901,18432,2216992944,749488,53456932,2078
275598.61,15,253952,62,111499,7345345706,5,30469314,0,533,8,8,5450,772,1,594,802602,0,21,43843,19,120226292,1190,1,0,4,3718,138965667,8,555797996,18,22,14,147,594,0,0,58252152,2803956,2354565334,0,594,705,0,3,1,14,14,4387,0,3,2353060755,2316246776,90442350,140999450,140999450,1,3,1,0,7331971432,73389,73389,14,14,14,140999454,7,3,131394,824933,1211519,19575,2353060755,802602,57042796,2078
277614.96,15,253952,62,118027,7775626178,5,32736396,0,580,8,8,5450,801,1,594,854629,0,21,46419,19,120226292,1190,1,0,4,3718,147139080,8,588556320,18,22,14,147,594,0,0,61969946,3146857,2488144611,0,594,705,0,3,1,14,14,4387,0,3,2485844818,2451470475,96762874,149288866,149288866,1,3,1,0,7763021064,73389,73389,14,14,14,149288870,7,3,136726,878281,1288056,20654,2485844818,854629,60684185,2078
279625.40,24,253952,62,124778,8220267792,5,34808285,0,624,8,8,5450,863,1,594,910679,0,21,49087,19,120226292,1190,1,0,4,3718,155557643,8,622230572,18,22,14,147,594,0,0,65730235,3309187,2630536467,0,594,705,0,3,1,14,14,4387,0,3,2628622060,2591848605,102748072,157826201,157826201,1,3,1,0,8206962484,73389,73389,14,14,14,157826205,7,3,141534,935826,1356288,21875,2628622060,910679,64376382,2078
281630.84,24,253952,62,131471,8660517084,6,37394817,0,661,8,8,5450,890,1,594,959880,0,21,51695,19,120250424,1190,1,0,4,3718,163850640,8,655402560,18,22,14,147,594,0,0,69164419,3370194,2769491896,0,594,705,0,3,1,14,14,4387,0,3,2767053342,2730560851,108826057,166269550,166285934,1,3,1,0,8646016632,73389,73389,14,14,14,166269554,7,3,141851,986328,1407280,22993,2767053342,959880,67759706,2078
283637.89,25,253952,62,137314,9046810346,6,38773235,0,675,8,8,5450,944,1,603,998746,0,21,54028,19,121981161,1208,1,0,4,3718,171186279,8,684745116,18,22,14,147,603,0,0,71829626,3375281,2895059572,0,603,716,0,3,1,14,14,4387,0,3,2892916626,2852227601,112874442,173708713,173708713,1,3,1,0,9032001140,73389,73389,14,14,14,173692333,7,3,146474,1026186,1455223,24069,2892916626,998746,70377068,2113
285646.62,25,253952,62,144601,9525951824,6,40636420,0,706,9,9,5450,975,1,603,1059890,0,21,56873,19,121981161,1208,1,0,4,3718,180270684,8,721082736,18,23,14,147,603,0,0,75753621,3475974,3044710276,0,603,716,0,3,1,14,14,4387,0,3,3041895660,3003327279,118753644,182905726,182905726,1,3,1,0,9511097784,73389,73389,14,14,14,182905730,7,3,151723,1088822,1538079,25276,3041895660,1059890,74218357,2113
287660.58,28,253952,62,151837,10002740378,6,42498888,0,743,9,9,5450,1037,1,603,1120413,0,21,59736,19,121981161,1208,1,0,4,3718,189299203,8,757196812,18,23,14,147,603,0,0,79680002,3671013,3194678091,0,603,716,0,3,1,14,14,4387,0,3,3192493497,3153289367,124733385,192079878,192079878,1,3,1,0,9988153688,73389,73389,14,14,14,192079882,7,3,156951,1150830,1617980,26554,3192493497,1120413,78064983,2113
289675.05,28,253952,62,159218,10490467506,6,44432733,0,775,9,9,5450,1071,1,612,1182315,0,21,62640,19,123480186,1226,1,0,4,3718,198560573,8,794177612,18,23,14,147,612,0,0,83765979,3794767,3351591310,0,612,726,0,3,1,14,14,4387,0,3,3348483496,3306888597,130870270,201456227,201456227,1,3,1,0,10475723836,73389,73389,14,14,14,201456231,7,3,165818,1214243,1697948,27823,3348483496,1182315,82071140,2158
291683.57,29,253952,62,166616,10977233394,6,46247898,0,808,9,9,5450,1129,2,621,1247788,0,21,65550,19,124978947,1244,1,0,4,3718,207731204,8,830924816,18,23,14,147,621,0,0,87794642,3995090,3507505081,0,621,737,0,3,1,14,14,4387,0,3,3504771702,3460277728,136904649,210806729,210806729,1,3,1,0,10961949940,73389,73389,14,14,14,210806733,7,3,170718,1281274,1781889,29137,3504771702,1247788,86016008,2199
293699.30,30,253952,62,174037,11465747930,6,48008989,0,845,9,9,5450,1170,2,621,1312616,0,21,68466,19,124978947,1244,1,0,4,3718,217037196,8,868148784,18,23,14,147,621,0,0,91862725,4183219,3661120803,0,621,737,0,3,1,14,14,4387,0,3,3657974968,3614181098,142918369,220196032,220196032,1,3,1,0,11450193696,73389,73389,14,14,14,220196036,7,3,171115,1347643,1850777,30390,3657974968,1312616,90015356,2199
295710.35,30,253952,62,181809,11978291212,6,49610984,0,911,9,9,5450,1214,2,630,1379204,0,21,71516,19,126815573,1262,1,0,4,3718,226691762,8,906767048,18,23,14,147,630,0,0,96153761,4390807,3824390283,0,630,746,0,3,1,14,14,4387,0,3,3821491147,3775575606,148970840,230021226,230053994,1,3,1,0,11960251816,73389,73389,14,14,14,230004846,7,3,177258,1415874,1950737,31742,3821491147,1379204,94206597,2230
297719.31,30,253952,62,189842,12507239562,6,51095421,0,982,9,9,5450,1271,3,639,1445223,0,21,74676,19,128929775,1280,1,0,4,3718,236724136,8,946831984,18,23,14,147,639,0,0,100584366,4541552,3994632850,0,639,759,0,3,1,14,14,4387,0,3,3991027529,3942473896,155019833,240180577,240180577,1,3,1,0,12489390036,73389,73389,14,14,14,240180581,7,3,180136,1484865,2046456,33155,3991027529,1445223,98541647,2266
299729.40,31,253952,62,197689,13025253080,6,52612020,0,1053,9,9,5450,1320,3,639,1509243,0,21,77761,19,129243491,1280,1,0,4,3718,246520114,8,986015764,18,23,14,147,639,0,0,104904228,4720912,4156695033,0,639,759,0,3,1,14,14,4387,0,3,4154056247,4105925964,161003627,250116141,250116141,1,3,1,0,13006039364,73389,73389,14,14,14,250116145,7,3,182021,1550497,2128385,34511,4154056247,1509243,102779738,2266
301734.83,32,253952,62,203916,13435240114,7,55098310,0,1082,9,9,5450,1359,4,639,1548287,0,21,80214,19,129243491,1280,1,0,4,3718,254309292,8,1017237168,18,23,14,147,639,0,0,107659332,4741615,4292739160,0,639,759,0,3,1,14,14,4387,0,3,4288867573,4235009436,166282980,258000275,258000275,1,3,1,0,13416014332,73389,73389,14,14,14,258000279,7,3,185805,1590556,2187338,35621,4288867573,1548287,105475989,2266
