timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
147650.86,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
149655.92,0,253952,62,6245,410285864,1,1968385,35,3,3,4947,92,0,558,43554,9,2427,17,23,95167623,1118,1,0,4,483,7617640,7,30405872,16,17,73,13,79,558,0,0,2638261,33,166687132,0,558,342,3,1,14,14,994,0,3,166973916,131741817,4606161,7726771,7726771,1,3,1,0,401792124,73389,73389,14,14,14,7726775,5,3,82929,44504,183000,1432,166973916,43554,2455362,1423
151660.77,0,253952,62,12642,831993186,1,3220741,64,3,3,4947,118,0,558,75760,9,4932,17,23,97327437,1118,1,0,4,483,15596706,7,62386824,16,17,73,13,79,558,0,0,5249483,50,298266706,0,558,342,3,1,14,14,994,0,3,298056819,264826842,8468786,15819579,15819579,1,3,1,0,822618140,73389,73389,14,14,14,15819583,5,3,86697,77595,228025,2491,298056819,75760,5021660,1423
153666.83,0,253952,62,21088,1387742452,1,4939848,118,4,4,4947,188,0,558,130375,9,8252,18,23,98618499,1118,1,0,4,483,26080747,7,104258532,17,18,73,13,87,558,0,0,9243823,14694,474404118,0,558,342,3,1,14,14,994,0,3,474808031,439531856,14196293,26519602,26519602,1,3,1,0,1378167368,73389,73389,14,14,14,26503222,5,3,94372,133637,308889,3999,474808031,130375,8935299,1423
155674.15,2,253952,62,30268,1993380910,1,6051265,214,4,4,4947,224,1,576,196497,9,11861,18,23,104065636,1154,1,0,4,483,37569899,7,150279596,17,18,73,13,87,576,0,0,14124212,36163,658843377,0,576,355,3,1,14,14,994,0,3,658539991,630537240,20201044,38140559,38156943,1,3,1,0,1983309100,73389,73389,14,14,14,38140563,5,3,97714,201401,406707,5489,658539991,196497,13718074,1485
157686.56,4,253952,62,39455,2598452266,1,7133371,305,4,4,4947,317,1,585,269375,9,15502,18,23,107132479,1172,1,0,4,483,49007095,7,196028380,17,18,73,13,87,585,0,0,19033529,78253,855885693,0,585,369,3,1,14,14,994,0,3,855656597,821011496,26220041,49774026,49790410,1,3,1,0,2588249384,73389,73389,14,14,14,49774030,5,3,101280,276141,501892,7191,855656597,269375,18532384,1514
159691.51,6,253952,62,47655,3138103808,1,8086298,368,4,4,4947,344,1,585,325177,9,18694,18,23,108121891,1172,1,0,4,483,59233269,7,236933076,17,18,73,13,87,585,0,0,23066048,91474,1028111933,0,585,369,3,1,14,14,994,0,3,1027331584,991160829,31213920,60146369,60146369,1,3,1,0,3127611220,73389,73389,14,14,14,60146373,5,3,103988,333264,568867,8561,1027331584,325177,22498096,1514
161699.13,6,253952,62,54167,3567649420,2,10825989,394,5,5,4947,414,1,585,361849,9,21301,18,23,109967989,1172,1,0,4,483,67403835,7,269550580,17,19,73,13,87,585,0,0,25905472,107556,1164322681,0,585,369,3,1,14,14,994,0,3,1163826752,1126428447,36793457,68400858,68400858,1,3,1,0,3556844648,73389,73389,14,14,14,68400862,5,3,109658,370938,615839,9746,1163826752,361849,25290660,1514
163704.79,6,253952,62,60217,3965131632,4,13041346,407,5,5,4947,421,1,585,389826,9,23652,18,23,110643685,1172,1,0,4,483,74956766,7,299827064,17,19,73,13,87,585,0,0,28401264,119941,1283788152,0,585,369,3,1,14,14,994,0,3,1282674032,1251272165,41527697,76062093,76062093,1,3,1,0,3955228868,73389,73389,14,14,14,76062097,5,3,110579,399661,639864,10675,1282674032,389826,27762521,1514
165714.37,8,253952,62,68539,4514226486,4,13962372,483,7,7,4947,509,1,585,450821,9,26952,18,23,112779367,1172,1,0,4,483,85318425,7,341208980,17,21,73,13,87,585,0,0,32777337,145956,1461906346,0,585,369,3,1,14,14,994,0,3,1461295076,1424780083,46847974,86587481,86587481,1,3,1,0,4502549044,73389,73389,14,14,14,86587485,5,3,118280,462255,732009,12219,1461295076,450821,32046608,1514
