timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
242592.75,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
244598.14,0,253952,62,5019,329938728,0,1147584,22,2,2,9704,86,0,558,36961,15,1942,15,39,95167623,1118,1,4,498,6083067,7,24267772,14,16,101,12,98,558,2325811,1435,135688217,558,404,3,1,14,14,977,3,135854253,106573665,3475296,6170291,6170291,1,3,1,320855164,73389,73389,14,14,14,6170295,8,3,79110,37782,160487,1178,135854253,36961,2165416,1355
246605.83,0,253952,62,10548,694736670,0,2520263,42,3,3,9704,95,0,558,70181,15,4100,16,39,97617021,1118,1,4,498,12979727,7,51918908,15,17,101,12,112,558,4965124,21565,247242502,558,404,3,1,14,14,977,3,248026731,221423672,7506581,13181755,13198139,1,3,1,685451292,73389,73389,14,14,14,13181759,8,3,81693,71876,201421,2053,248026731,70181,4763897,1355
248613.23,3785,253952,62,17555,1155540134,0,4152905,71,3,3,9704,173,0,558,128200,15,6884,16,39,98582301,1118,1,4,498,21740225,7,86896184,15,17,101,12,112,558,8888217,176169,399995871,558,404,3,1,14,14,977,3,400051744,366466908,13107867,22051088,22051088,1,3,1,1146656608,73389,73389,14,14,14,22051092,8,3,86261,131460,277892,3389,400051744,128200,8610657,1355
250623.78,3787,253952,62,24819,1633789650,0,6273626,96,3,3,9704,200,0,558,191946,15,9725,16,39,100150881,1118,1,4,498,30785972,7,123143888,15,17,101,12,112,558,12948875,343491,549432071,558,404,3,1,14,14,977,3,548947595,517116400,19563597,31243783,31243783,1,3,1,1624676748,73389,73389,14,14,14,31243787,8,3,92667,196717,363704,4593,548947595,191946,12585657,1355
252637.47,3788,253952,62,32355,2129889090,0,7920536,147,3,3,9704,275,0,567,254455,15,12716,16,39,102929173,1136,1,4,498,40197500,7,160725216,15,17,101,12,112,567,17105066,573404,701742931,567,412,3,1,14,14,977,3,701234420,673268268,25583061,40788734,40788734,1,3,1,2121014200,73389,73389,14,14,14,40788738,8,3,97962,260787,446741,5912,701234420,254455,16658967,1387
254642.68,3788,253952,62,39235,2582984848,0,9287134,191,3,3,9704,295,0,567,305979,15,15380,16,39,104485687,1136,1,4,498,48711925,7,194847700,15,17,101,12,112,567,20593718,716302,843298756,567,412,3,1,14,14,977,3,842802555,816098583,30565619,49473525,49489909,1,3,1,2572623332,73389,73389,14,14,14,49473529,8,3,103374,313664,514700,7048,842802555,305979,20079798,1387
256650.11,3788,253952,62,45161,2973836780,1,11739184,201,3,3,9704,355,0,576,342675,15,17744,16,39,108156592,1154,1,4,498,56132841,7,224531364,15,17,101,12,112,576,23259179,719892,969509790,576,418,3,1,14,14,977,3,969687936,939220967,35686330,57001085,57001085,1,3,1,2963204484,73389,73389,14,14,14,56984705,8,3,107943,351327,553563,8137,969687936,342675,22706495,1418
258658.47,3790,253952,62,52571,3462281984,1,13453671,234,4,4,9704,383,0,585,404687,15,20647,17,39,111190457,1172,1,4,498,65394360,7,261512756,16,18,101,12,124,585,27305511,900777,1127192476,585,426,3,1,14,14,977,3,1126696719,1092869081,41619680,66394262,66394262,1,3,1,3452501656,73389,73389,14,14,14,66394266,8,3,116419,414753,639585,9404,1126696719,404687,26666955,1451
260668.45,3790,253952,62,59603,3926045658,1,15224092,274,4,4,9704,452,0,594,469847,15,23442,17,39,115186085,1190,1,4,498,74201365,7,296740940,16,18,101,12,124,594,31351762,1110318,1271947286,594,440,3,1,14,14,977,3,1271304411,1239032802,47638887,75307985,75307985,1,3,1,3916015252,73389,73389,14,14,14,75307989,8,3,126816,481329,721353,10660,1271304411,469847,30631582,1486
