timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,RWLockReadersWaitMilliseconds,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
168091.10,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,1,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
170098.33,1,253952,62,7877,518447216,1,2229337,84,4,4,4030,110,0,558,82080,0,8,3076,12,0,95746791,1118,1,0,4,864,9644383,5,38512824,11,18,6,7,332,558,0,0,0,4628571,112111,196708872,0,558,587,0,3,1,14,14,1441,3,1,196799315,165894551,6944267,9798903,9798903,1,3,1,509542988,73389,73389,14,14,14,9798907,10,3,81729,83786,284374,1692,196799315,82080,4344369,1838
172103.23,8,253952,62,15116,995094530,1,3477080,147,4,4,4030,133,0,558,140070,0,8,5895,12,0,97037853,1118,1,0,4,864,18691917,5,74703088,11,18,6,7,332,558,0,0,0,8538810,212234,346466094,0,558,587,0,3,1,14,14,1441,3,1,346280631,316045597,12185223,18958830,18958830,1,3,1,985859192,73389,73389,14,14,14,18958834,10,3,84688,143121,345391,2879,346280631,140070,8193725,1838
174114.60,9,253952,62,21175,1394023252,2,5947209,160,5,5,4030,199,0,558,179808,0,8,8315,12,0,98256519,1118,1,0,4,864,26255362,5,105021448,11,19,6,7,332,558,0,0,0,11363292,249887,478582282,0,558,587,0,3,1,14,14,1441,3,1,478294239,441445799,17514704,26629972,26646356,1,3,1,1384758576,73389,73389,14,14,14,26629976,10,3,90099,183942,414306,4030,478294239,179808,10949391,1838
176119.29,9,253952,62,27902,1837104068,3,8181468,208,5,5,4030,215,0,558,225199,0,8,10923,12,0,99837165,1118,1,0,4,864,34623474,5,138493896,11,19,6,7,332,558,0,0,0,14728754,296190,614115517,0,558,587,0,3,1,14,14,1441,3,1,613833121,581290859,23150819,35142731,35142731,1,3,1,1827422044,73389,73389,14,14,14,35142735,10,3,92193,230480,476075,5101,613833121,225199,14253217,1838
178131.05,9,253952,62,34416,2266165386,3,9812237,235,6,6,4030,287,0,567,269452,0,8,13524,12,0,102567193,1136,1,0,4,864,42757992,5,170967408,11,20,6,7,332,567,0,0,0,17962703,339908,747314166,0,567,589,0,3,1,14,14,1441,3,1,746782707,716366464,28045591,43401538,43401538,1,3,1,2256880008,73389,73389,14,14,14,43401542,10,3,98898,275997,531080,6261,746782707,269452,17432274,1855
180140.15,9,253952,62,41949,2762357802,3,11323393,305,6,6,4030,314,0,567,333399,0,8,16468,12,0,104449489,1136,1,0,4,864,52158380,5,208633520,11,20,6,7,332,567,0,0,0,22345897,481749,902195938,0,567,589,0,3,1,14,14,1441,3,1,901377148,872417829,34073193,52936138,52936138,1,3,1,2752679208,73389,73389,14,14,14,52936142,10,3,102635,341546,599866,7503,901377148,333399,21746844,1855
182147.82,10,253952,62,49541,3262453040,3,12823501,364,6,6,4030,377,0,567,399817,0,8,19473,12,0,105740551,1136,1,0,4,864,61639510,5,246558040,11,20,6,7,332,567,0,0,0,26743423,612326,1061632817,0,567,589,0,3,1,14,14,1441,3,1,1060894129,1030144866,40086321,62552658,62552658,1,3,1,3252738248,73389,73389,14,14,14,62552662,10,3,107509,409612,690007,8857,1060894129,399817,26054382,1855
184152.73,11,253952,62,55531,3656618458,4,15381504,409,6,6,4030,408,0,567,444778,0,8,21816,12,0,107031613,1136,1,0,4,864,69092894,5,276371576,11,20,6,7,332,567,0,0,0,29903332,662456,1187420895,0,567,589,0,3,1,14,14,1441,3,1,1186321884,1153911986,45858532,70144039,70144039,1,3,1,3647490060,73389,73389,14,14,14,70144043,10,3,110109,455708,739066,9874,1186321884,444778,29165359,1855
186158.70,11,253952,62,60909,4011532530,4,16823288,436,6,6,4030,442,0,567,478441,0,8,23935,12,0,109493077,1136,1,0,4,864,75843630,5,303374520,11,20,6,7,332,567,0,0,0,32313943,662577,1298382769,0,567,589,0,3,1,14,14,1441,3,1,1297581864,1265997408,49709862,76958895,76958895,1,3,1,4001862572,73389,73389,14,14,14,76958899,10,3,112418,490301,786073,10811,1297581864,478441,31529057,1855
