timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
970054.43,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
972058.58,253952,62,10690,703463614,0,1307511,0,13,3,3,4769,116,0,558,56265,0,33,4167,18,15,95782989,1118,1,0,4,857,13145236,6,52580944,17,17,14,77,558,0,0,4012857,99,257301171,0,558,355,0,3,1,14,14,1328,3,257543366,224305294,5321599,13349913,13349913,1,3,1,694195508,73389,73389,14,14,14,13349917,5,3,80280,57668,175989,2182,257543366,56265,3837017,1154
974062.79,253952,62,21799,1435255564,0,3282346,0,22,3,3,4769,212,0,558,106804,0,33,8564,18,15,97653219,1118,1,0,4,857,27029379,6,108052880,17,17,14,77,558,0,0,8047877,331,483655030,0,558,355,0,3,1,14,14,1328,3,483622087,454559070,11331841,27430629,27430629,1,3,1,1426392740,73389,73389,14,14,14,27430633,5,3,83305,109570,229872,4113,483622087,106804,7818297,1154
976066.70,253952,62,32985,2171780070,0,5256708,0,40,3,3,4769,250,0,558,159319,0,33,12935,18,15,99523449,1118,1,0,4,857,40993702,6,163974808,17,17,14,77,558,0,0,12144899,436,718752705,0,558,355,0,3,1,14,14,1328,3,719227574,686720477,17402335,41579040,41579040,1,3,1,2162110112,73389,73389,14,14,14,41579044,5,3,86758,163516,294810,6009,719227574,159319,11850530,1154
978070.69,253952,62,44663,2941175720,0,7127418,0,68,3,3,4769,347,1,576,210399,0,33,17549,18,15,104636312,1154,1,0,4,857,55561430,6,222181200,17,17,14,77,576,0,0,16331400,590,964704612,0,576,363,0,3,1,14,14,1328,3,965154038,928934604,23459603,56370301,56370301,1,3,1,2931255684,73389,73389,14,14,14,56370305,5,3,90476,216075,354698,8099,965154038,210399,15977297,1192
980074.86,253952,62,56385,3713479086,0,8981831,0,89,3,3,4769,391,1,576,257148,0,33,22137,18,15,106530674,1154,1,0,4,857,70201054,6,280804216,17,17,14,77,576,0,0,20477143,746,1200194132,0,576,363,0,3,1,14,14,1328,3,1200226392,1172146120,29459185,71218906,71218906,1,3,1,3703383144,73389,73389,14,14,14,71218910,5,3,92385,264183,412518,10014,1200226392,257148,20065365,1192
982078.95,253952,62,68155,4488762442,0,10908107,0,111,3,3,4769,486,1,594,307980,0,33,26770,18,15,112375335,1190,1,0,4,857,84808320,6,339168760,17,17,14,77,594,0,0,24616971,878,1451597141,0,594,368,0,3,1,14,14,1328,3,1450818520,1416793858,35524056,86083895,86083895,1,3,1,4475510604,73389,73389,14,14,14,86067515,5,3,98273,316369,477340,12132,1450818520,307980,24140520,1228
984082.50,253952,62,80015,5270725142,0,12692279,0,135,3,3,4769,585,1,594,359641,0,33,31464,18,15,114559281,1190,1,0,4,857,99622581,6,398425676,17,17,14,77,594,0,0,28782044,1017,1706222329,0,594,368,0,3,1,14,14,1328,3,1705548337,1663140822,41472825,101108406,101108406,1,3,1,5257637144,73389,73389,14,14,14,101108410,5,3,104408,369418,531195,14296,1705548337,359641,28251248,1228
986086.36,253952,62,91912,6054485242,0,14572721,0,166,3,3,4769,628,1,594,407738,0,33,36124,18,15,116755293,1190,1,0,4,857,114504955,6,458019820,17,17,14,77,594,0,0,32964894,1163,1945288480,0,594,368,0,3,1,14,14,1328,3,1944849193,1909832344,47535349,116186387,116186387,1,3,1,6041692156,73389,73389,14,14,14,116186391,5,3,109414,418882,584000,16223,1944849193,407738,32381397,1228
988090.07,253952,62,101582,6690812552,1,16870232,0,213,3,3,4769,709,1,594,449208,0,33,39923,18,15,117768837,1190,1,0,4,857,126505879,6,506023516,17,17,14,77,594,0,0,36343145,1270,2150340456,0,594,368,0,3,1,14,14,1328,3,2149505913,2110893422,53211466,128375195,128375195,1,3,1,6675510172,73389,73389,14,14,14,128375199,5,3,114905,461489,645916,17961,2149505913,449208,35698570,1228
990094.28,253952,62,109523,7215589754,2,18373448,0,249,5,5,4769,746,1,594,487858,0,33,43046,19,15,120483687,1190,1,0,4,857,136458999,6,545779852,18,19,14,83,594,0,0,39242276,1318,2315975026,0,594,368,0,3,1,14,14,1328,3,2315436804,2275994336,57612278,138470281,138470281,1,3,1,7200454644,73389,73389,14,14,14,138470285,5,3,122261,501160,703081,19320,2315436804,487858,38540650,1228
992098.45,253952,62,119854,7897347910,3,19518649,0,274,5,5,4769,816,1,594,543852,0,33,47112,19,15,120483687,1190,1,0,4,857,149350152,6,597271556,18,19,14,83,594,0,0,43104397,1388,2545266422,0,594,368,0,3,1,14,14,1328,3,2544314399,2491248780,62619494,151545096,151545096,1,3,1,7880345024,73389,73389,14,14,14,151545100,5,3,122546,558666,760061,21202,2544314399,543852,42345926,1228
994102.86,253952,62,129950,8561521160,3,19735532,0,307,5,5,4769,904,1,621,593573,0,33,51112,19,15,124980393,1244,1,0,4,857,161949400,6,647733252,18,19,14,83,621,0,0,46897933,1447,2749748372,0,621,388,0,3,1,14,14,1328,3,2749316253,2700686254,66628917,164290960,164307344,1,3,1,8543129952,73389,73389,14,14,14,164290964,5,3,122552,609777,811958,22951,2749316253,593573,46087699,1290
996107.29,253952,62,139802,9210934358,3,19928932,0,338,5,5,4769,940,1,630,645359,0,33,54956,19,15,126793270,1262,1,0,4,857,174225990,6,696839072,18,19,14,83,630,0,0,50721229,1484,2963334098,0,630,397,0,3,1,14,14,1328,3,2962107179,2905615006,70645167,176757852,176757852,1,3,1,9191408336,73389,73389,14,14,14,176757856,5,3,122557,662987,880938,24656,2962107179,645359,49842153,1312
998111.28,253952,62,149684,9861698270,3,20160476,0,374,5,5,4769,1023,1,639,695794,0,33,58860,19,15,128292407,1280,1,0,4,857,186530288,6,746121152,18,19,14,83,639,0,0,54505424,1549,3173579366,0,639,404,0,3,1,14,14,1328,3,3171560635,3111013453,74659212,189237254,189237254,1,3,1,9840337240,73389,73389,14,14,14,189237258,5,3,122815,714868,932918,26432,3171560635,695794,53574504,1334
1000115.45,253952,62,159671,10519065944,3,20360953,0,406,5,5,4769,1061,1,648,744783,0,33,62754,19,15,129790442,1298,1,0,4,857,198983700,6,795870104,18,19,14,83,648,0,0,58302550,1625,3383841310,0,648,412,0,3,1,14,14,1328,3,3382076798,3318038137,78656459,201868430,201868430,1,3,1,10497158392,73389,73389,14,14,14,201868434,5,3,122836,765193,979879,28132,3382076798,744783,57324801,1352
