timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
369114.56,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
371119.22,0,253952,62,10576,696004576,0,1601073,0,48,3,3,5141,119,0,558,61271,28,4126,18,30,95481339,1118,1,0,4,851,13032618,5,52001344,17,17,8,14,91,558,0,0,4253622,74,256284089,0,558,316,3,1,14,14,1320,0,3,257303650,221712004,5785388,13218841,13218841,1,3,1,0,687379764,73389,73389,14,14,14,13218845,6,3,79343,62765,199028,2173,257303650,61271,4054877,1288
373123.53,0,253952,62,18669,1229174670,1,3617086,0,83,3,3,5141,185,0,558,96633,28,7326,18,30,97327437,1118,1,0,4,851,23093504,5,92374016,17,17,8,14,91,558,0,0,7352128,148,422059881,0,558,316,3,1,14,14,1320,0,3,422206946,389847341,10967978,23455794,23455794,1,3,1,0,1218849352,73389,73389,14,14,14,23439414,6,3,82029,99162,243904,3567,422206946,96633,7108624,1288
375128.27,0,253952,62,27824,1832595560,1,5486931,0,117,4,4,5141,223,0,558,144085,28,10918,19,30,99511383,1118,1,0,4,851,34571063,5,138284252,18,18,8,14,100,558,0,0,11099965,207,608853200,0,558,316,3,1,14,14,1320,0,3,608559796,579679078,16585861,35064685,35064685,1,3,1,0,1823363652,73389,73389,14,14,14,35064689,6,3,91057,147865,308757,5077,608559796,144085,10791759,1288
377133.55,0,253952,62,38125,2510227822,1,7263741,0,168,4,4,5141,315,0,567,196680,28,14987,19,30,101988025,1136,1,0,4,851,47387607,5,189550428,18,18,8,14,100,567,0,0,15378305,264,820603177,0,567,318,3,1,14,14,1320,0,3,821051256,793055556,22639824,48097269,48097269,1,3,1,0,2500206052,73389,73389,14,14,14,48080889,6,3,93666,201975,365725,6894,821051256,196680,15013313,1310
379138.22,0,253952,62,48295,3180143620,1,8959295,0,220,4,4,5141,350,0,567,251279,28,18961,19,30,103206691,1136,1,0,4,851,60092839,5,240371356,18,18,8,14,100,567,0,0,19680623,368,1036322733,0,567,318,3,1,14,14,1320,0,3,1036460236,1004243662,28636575,60967728,60967728,1,3,1,0,3170321888,73389,73389,14,14,14,60967732,6,3,95978,258040,423574,8621,1036460236,251279,19257958,1310
381143.03,1,253952,62,58204,3833304436,1,10602455,0,269,4,4,5141,442,0,567,307173,28,22889,19,30,104775271,1136,1,0,4,851,72472737,5,289826260,18,18,8,14,100,567,0,0,24049658,768,1247237494,0,567,318,3,1,14,14,1320,0,3,1246270569,1209895420,34623280,73524732,73524732,1,3,1,0,3823286096,73389,73389,14,14,14,73524736,6,3,98060,315498,494470,10412,1246270569,307173,23556290,1310
383147.64,1,253952,62,68079,4484586942,1,12159306,0,337,4,4,5141,476,0,576,363730,28,26753,19,30,108506506,1154,1,0,4,851,84779062,5,339116248,18,18,8,14,100,576,0,0,28522689,911,1455536637,0,576,324,3,1,14,14,1320,0,3,1454636491,1415133696,40622183,86022233,86038617,1,3,1,0,4473156148,73389,73389,14,14,14,86022237,6,3,102951,373552,545532,12090,1454636491,363730,27978454,1340
385155.09,1,253952,62,77050,5075436986,1,13492950,0,412,4,4,5141,564,0,585,422529,28,30315,19,30,111573220,1172,1,0,4,851,95991161,5,383964644,18,18,8,14,100,585,0,0,33198210,8197,1642588683,0,585,331,3,1,14,14,1320,0,3,1641238893,1601103285,46690833,97393556,97393556,1,3,1,0,5064464944,73389,73389,14,14,14,97393560,6,3,112214,433938,623502,13697,1641238893,422529,32576184,1368
387161.53,1,253952,62,85563,5636445916,1,14566890,0,508,4,4,5141,596,0,585,484799,28,33648,19,30,113733034,1172,1,0,4,851,106615473,5,426461892,18,18,8,14,100,585,0,0,38107928,52513,1814917815,0,585,331,3,1,14,14,1320,0,3,1813652578,1777756680,52712087,108185406,108185406,1,3,1,0,5625641144,73389,73389,14,14,14,108185410,6,3,113529,497714,710216,15080,1813652578,484799,37399366,1368
