timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
243691.78,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
245697.42,0,0,19524,1285099356,0,0,0,1,1,9802,117,594,129728,13,1823,16,16,122489018,1190,1,15,15,9,14,61,594,1989598,391,421655341,594,477,2,1,14,14,365,1,423788740,379005111,1990772,28888805,28905189,1,2,1,1271107420,73389,73389,14,14,14,28888805,7,3,369485,131876,789579,3251,423788740,129728,1200101,1942
247711.50,253952,62,35473,2336185030,21,22044820,41,26,26,9802,120,675,244770,13,5773,41,41,140299886,1352,1,40,40,22,14,173,675,5936559,1351417,736843566,675,555,2,1,14,14,365,1,737803056,686781229,38658901,52737371,52737371,1,2,1,2320444324,73389,73389,14,14,14,52737371,7,3,495694,249158,1166737,5648,737803056,244770,4770034,2181
249726.13,253952,62,49816,3281476918,22,25231037,82,27,27,9802,122,675,347512,13,9830,41,41,140830790,1352,1,40,41,22,14,173,675,9993778,2866934,1011186935,675,555,2,1,14,14,365,1,1013709616,963073300,48706988,74222767,74222767,1,2,1,3265080852,73389,73389,14,14,14,74206383,7,3,501042,354167,1299989,7753,1013709616,347512,8694144,2181
251737.46,253952,62,64892,4274806694,22,29685798,132,28,28,9802,124,675,458859,13,14054,41,41,141096242,1352,1,40,42,22,14,173,675,14020585,3951794,1300482927,675,555,2,1,14,14,365,1,1304165168,1253460011,58434657,96797699,96814083,1,2,1,4259098756,73389,73389,14,14,14,96797699,7,3,508616,467823,1444317,9969,1304165168,458859,12576772,2181
253746.63,253952,62,79892,5262890282,24,34898410,175,32,32,9802,127,675,561729,13,18324,41,41,141361694,1352,1,40,46,22,14,173,675,18142305,5300105,1590678562,675,555,2,1,14,14,365,1,1592392496,1542321014,71557364,119260102,119260102,1,2,1,5246723592,73389,73389,14,14,14,119243718,7,3,529233,572924,1630662,12168,1592392496,561729,16512282,2181
255752.03,253952,62,91047,5998191594,30,42374581,200,32,32,9802,129,675,612108,13,21459,41,41,141627146,1352,1,40,46,22,14,173,675,20620800,5390726,1808220951,675,555,2,1,14,14,365,1,1807612720,1757270095,81966508,135970006,135970006,1,2,1,5982680264,73389,73389,14,14,14,135970006,7,3,530236,624603,1683706,13810,1807612720,612108,18937829,2181
257766.91,253952,62,106117,6991128154,31,45090887,237,36,36,9802,131,675,712602,13,25679,41,41,142158050,1352,1,40,50,22,14,173,675,24348395,6531084,2096983095,675,555,2,1,14,14,365,1,2097937200,2047623424,89929820,158528554,158528554,1,2,1,6974535480,73389,73389,14,14,14,158512170,7,3,541661,727201,1822301,16025,2097937200,712602,22526974,2181
259776.32,253952,62,121181,7983671498,33,49411608,269,40,40,9802,133,675,820976,13,29900,41,41,142423502,1352,1,40,54,22,14,173,675,28335559,8483285,2385746180,675,555,2,1,14,14,365,1,2387737392,2337689842,104035806,181087102,181103486,1,2,1,7967832488,73389,73389,14,14,14,181087102,7,3,559507,837810,2011240,18236,2387737392,820976,26325338,2181
261791.17,253952,62,136265,8977791014,35,54073073,293,42,42,9802,136,675,930341,13,34176,41,41,142942340,1352,1,40,56,22,14,173,675,32423574,10690998,2672532265,675,555,2,1,14,14,365,1,2677799728,2628299900,117772019,203684451,203684451,1,2,1,8961394948,73389,73389,14,14,14,203668067,7,3,568905,949370,2175419,20449,2677799728,930341,30249305,2181
