timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
226968.68,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
228973.73,0,253952,62,6623,435384254,0,460301,28,3,3,8506,98,0,558,55771,24,2571,18,50,95179689,1118,1,0,4,1432,8067867,6,32271468,17,17,4,14,114,558,0,0,3159389,13514,164604095,0,558,281,3,1,14,14,1895,3,164996751,140052921,3634553,8183364,8183364,1,3,1,425534960,73389,73389,14,14,14,8183368,6,3,80267,57005,171044,1432,164996751,55771,2988483,1184
230984.29,0,253952,62,11983,789118678,1,3382562,37,4,4,8506,105,0,558,90546,24,4661,19,50,97327437,1118,1,0,4,1432,14770376,6,59081504,18,18,4,14,127,558,0,0,5597371,13670,277301855,0,558,281,3,1,14,14,1895,3,277722211,251322523,8698986,14998220,14998220,1,3,1,779055504,73389,73389,14,14,14,14981840,6,3,90619,92720,227856,2309,277722211,90546,5369752,1184
232995.46,0,253952,62,20031,1319038002,1,4762376,111,4,4,8506,195,0,558,173597,24,7862,19,50,98244453,1118,1,0,4,1432,24833563,6,99204924,18,18,4,14,127,558,0,0,10036734,257205,457128346,0,558,281,3,1,14,14,1895,3,457251575,418188512,15031067,25188180,25188180,1,3,1,1309785392,73389,73389,14,14,14,25188184,6,3,98278,177597,339241,3880,457251575,173597,9697895,1184
235006.37,2,253952,62,28212,1857396096,1,6159423,176,4,4,8506,225,0,558,251583,24,11065,19,50,99197667,1118,1,0,4,1432,35043896,6,140110860,18,18,4,14,127,558,0,0,14459441,468742,617340223,0,558,281,3,1,14,14,1895,3,617215874,587536573,21060453,35544139,35544139,1,3,1,1848295260,73389,73389,14,14,14,35544143,6,3,101270,257288,430137,5179,617215874,251583,14029875,1184
237011.37,2,253952,62,35770,2355540628,1,7419575,238,4,4,8506,256,0,567,316144,24,14019,19,50,102265543,1136,1,0,4,1432,44465379,6,177861516,18,18,4,14,127,567,0,0,18426946,613001,775644532,0,567,287,3,1,14,14,1895,3,776102034,744231958,26399953,45117540,45133924,1,3,1,2346112112,73389,73389,14,14,14,45117544,6,3,106978,323367,512906,6483,776102034,316144,17914771,1219
239016.54,2,253952,62,41424,2727396366,2,10094888,268,4,4,8506,316,0,567,349993,24,16259,19,50,102929173,1136,1,0,4,1432,51500188,6,205936104,18,18,4,14,127,567,0,0,20849775,613052,901076512,0,567,287,3,1,14,14,1895,3,900776810,861564087,31496750,52268712,52268712,1,3,1,2717973056,73389,73389,14,14,14,52268716,6,3,108525,358170,541954,7548,900776810,349993,20308661,1219
241027.65,2,253952,62,48252,3177361770,2,11501294,305,5,5,8506,339,0,567,397867,24,18926,19,50,104473621,1136,1,0,4,1432,60011979,6,239983512,18,19,4,14,127,567,0,0,24162761,669651,1033499371,0,567,287,3,1,14,14,1895,3,1033072364,1003502249,36263925,60902192,60902192,1,3,1,3166914016,73389,73389,14,14,14,60902196,6,3,116090,407199,624116,8623,1033072364,397867,23539617,1219
243033.16,3,253952,62,54100,3562534792,3,13833530,345,5,5,8506,408,0,567,440991,24,21251,19,50,105752617,1136,1,0,4,1432,67316752,6,269267008,18,19,4,14,127,567,0,0,27432585,724139,1155090807,0,567,287,3,1,14,14,1895,3,1154282727,1124983679,41916458,68294806,68294806,1,3,1,3551329944,73389,73389,14,14,14,68294810,6,3,119732,451514,686110,9687,1154282727,440991,26747565,1219
245038.78,3,253952,62,59118,3892963020,3,15681630,373,5,5,8506,415,0,567,471601,24,23208,19,50,107019547,1136,1,0,4,1432,73605840,6,294358552,18,19,4,14,127,567,0,0,29834973,724457,1260176085,0,567,287,3,1,14,14,1895,3,1259134452,1228714644,46167000,74673771,74673771,1,3,1,3883036124,73389,73389,14,14,14,74673775,6,3,122357,482965,724087,10511,1259134452,471601,29112078,1219
