timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
987914.30,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
989918.27,253952,62,23879,1572113414,0,603,0,2,35,35,10641,118,0,675,119851,9,2537,50,150,140034434,1352,1,0,49,49,14,14,275,675,0,0,0,2228890,138,510105225,0,675,332,2,1,14,14,306,0,1,514456368,463321130,2415004,35380299,35380299,1,2,1,0,1556733156,73389,73389,14,14,14,35380299,7,3,455661,122007,798838,3944,514456368,119851,1430146,1504
991922.60,253952,62,43904,2891639018,0,603,0,2,35,35,10641,121,0,675,200494,9,8162,50,150,140565338,1352,1,0,49,49,14,14,275,675,0,0,0,6040347,194,894316044,0,675,332,2,1,14,14,306,0,1,900201264,849161241,8415588,65362070,65362070,1,2,1,0,2875210184,73389,73389,14,14,14,65345686,7,3,461675,204456,907454,6887,900201264,200494,5133158,1504
993927.14,253952,62,63624,4191176142,0,603,0,2,35,35,10641,124,0,675,279365,9,13706,50,150,141096242,1352,1,0,49,49,14,14,275,675,0,0,0,9815420,224,1273545394,0,675,332,2,1,14,14,306,0,1,1279654704,1229025796,14356462,94901473,94901473,1,2,1,0,4174943916,73389,73389,14,14,14,94885089,7,3,466014,285128,1016825,9782,1279654704,279365,8799030,1504
995931.45,253952,62,83588,5506438598,0,603,0,2,35,35,10641,127,0,675,361886,9,19316,50,150,141361694,1352,1,0,49,49,14,14,275,675,0,0,0,13685650,255,1658412364,0,675,332,2,1,14,14,306,0,1,1663826736,1613521119,20449419,124795291,124795291,1,2,1,0,5490992804,73389,73389,14,14,14,124795291,7,3,468400,369505,1118381,12713,1663826736,361886,12567874,1504
997935.51,253952,62,102510,6753412542,0,603,0,2,35,35,10641,130,0,675,441358,9,24641,50,150,141892598,1352,1,0,49,49,14,14,275,675,0,0,0,17426520,312,2024271834,0,675,332,2,1,14,14,306,0,1,2028206896,1978043565,26377330,153132629,153132629,1,2,1,0,6737835676,73389,73389,14,14,14,153132629,7,3,474495,450802,1222234,15493,2028206896,441358,16205059,1504
999939.53,253952,62,121101,7978428618,0,603,0,2,35,35,10641,133,0,675,520107,9,29876,50,150,142423502,1352,1,0,49,49,14,14,275,675,0,0,0,21173844,432,2381608691,0,675,332,2,1,14,14,306,0,1,2386295600,2336164707,32193456,180972414,180972414,1,2,1,0,7962065320,73389,73389,14,14,14,180956030,7,3,480351,531505,1332144,18225,2386295600,520107,19842640,1504
1001943.39,253952,62,140139,9233004738,0,603,0,2,35,35,10641,136,0,675,603255,9,35237,50,150,142942340,1352,1,0,49,49,14,14,275,675,0,0,0,25250472,545,2749298025,0,675,332,2,1,14,14,306,0,1,2752510768,2702867756,50118915,209481784,209498168,1,2,1,0,9217198496,73389,73389,14,14,14,209481784,7,3,486986,616830,1427872,21019,2752510768,603255,23823704,1504
1003947.65,253952,62,161530,10641993598,0,603,0,4,35,35,10641,140,0,675,688153,9,41285,50,150,143738696,1352,1,0,49,49,14,14,275,675,0,0,0,29421171,617,3160743061,0,675,332,2,1,14,14,306,0,1,3163261904,3114680662,69883463,241499045,241515429,1,2,1,0,10625957980,73389,73389,14,14,14,241499045,7,3,496471,704055,1548256,24156,3163261904,688153,27874191,1504
1005952.07,253952,62,182835,12045936186,2,2000754,0,4,35,35,10641,144,1,675,770224,9,47315,50,150,144269600,1352,1,0,49,49,14,14,275,675,0,0,0,33645940,744,3571954786,0,675,332,2,1,14,14,306,0,1,3573779408,3525080240,96097331,273418002,273418002,1,2,1,0,12030392088,73389,73389,14,14,14,273418002,7,3,506448,788442,1663535,27288,3573779408,770224,31983860,1504
