timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
490145.58,8,253952,62,4930,324069826,1,2980954,49,4,4,6064,95,0,558,71728,25,1921,10,0,95131425,1118,1,0,4,3724,5954022,9,23816088,9,18,5,3158,558,0,0,3178227,766011,140548989,0,558,681,3,1,14,14,4362,3,140548066,104550882,6858487,6055603,6071987,1,3,1,314891388,73389,73389,14,14,14,6055607,11,3,83713,72933,261935,1236,140548066,71728,2916472,4981
492162.64,9,253952,62,9861,649399722,1,5213122,105,4,4,6064,106,0,558,111886,25,3848,10,0,97303305,1118,1,0,4,3724,12141906,9,48567624,9,18,5,3158,558,0,0,6406628,1329932,234526917,0,558,681,3,1,14,14,4362,3,234404961,206985572,12930898,12315562,12315562,1,3,1,640409256,73389,73389,14,14,14,12315566,11,3,89981,114189,323832,1975,234404961,111886,6083102,4981
494174.04,9,253952,62,14919,982473522,2,6692204,154,5,5,6064,126,0,558,156277,25,5818,10,0,98582301,1118,1,0,4,3724,18447341,9,73660124,9,19,5,3158,558,0,0,9617847,1812469,340721460,0,558,681,3,1,14,14,4362,3,340740587,311848153,18101956,18727295,18727295,1,3,1,973819372,73389,73389,14,14,14,18727299,11,3,98060,159681,396263,2828,340740587,156277,9222012,4981
496193.75,10,253952,62,19797,1304028360,2,8535535,204,5,5,6064,189,0,558,216300,25,7775,10,0,99825099,1118,1,0,4,3724,24557107,9,98163856,9,19,5,3158,558,0,0,12750372,2609509,450108906,0,558,681,3,1,14,14,4362,3,450399144,413191031,23863698,24907493,24907493,1,3,1,1295189668,73389,73389,14,14,14,24907497,11,3,102267,220906,457185,3801,450399144,216300,12293732,4981
498200.52,10,253952,62,24249,1597049496,3,11482209,236,5,5,6064,199,0,558,244128,25,9501,10,0,101079963,1118,1,0,4,3724,30056536,9,120226144,9,19,5,3158,558,0,0,15145276,2713939,533101952,0,558,681,3,1,14,14,4362,3,532514983,505619390,29304435,30518569,30534953,1,3,1,1586965620,73389,73389,14,14,14,30518573,11,3,106395,249462,496009,4449,532514983,244128,14649908,4981
500206.80,10,253952,62,28691,1889427338,3,13094671,264,5,5,6064,255,0,567,275238,25,11281,10,0,103520407,1136,1,0,4,3724,35613219,9,142452876,9,19,5,3158,567,0,0,17457103,2790485,625998045,0,567,688,3,1,14,14,4362,3,625845527,597652887,33305341,36154221,36154221,1,3,1,1880019524,73389,73389,14,14,14,36154225,11,3,111257,281449,541784,5276,625845527,275238,16916057,5010
502217.34,10,253952,62,33387,2197787694,3,14801320,295,6,6,6064,267,1,567,314968,25,13104,10,0,103822057,1136,1,0,4,3724,41471861,9,165822900,9,20,5,3158,567,0,0,20126717,3221825,727997698,0,567,688,3,1,14,14,4362,3,727870014,694639701,38095116,42097295,42097295,1,3,1,2189059372,73389,73389,14,14,14,42097299,11,3,118619,322127,603392,6084,727870014,314968,19524170,5010
504234.23,10,253952,62,38373,2526444552,3,16857002,336,6,6,6064,285,1,567,364133,25,15056,10,0,104775271,1136,1,0,4,3724,47710513,9,190777668,9,20,5,3158,567,0,0,23277816,4005225,831907726,0,567,688,3,1,14,14,4362,3,831132680,798119317,44079453,48408565,48408565,1,3,1,2517245412,73389,73389,14,14,14,48408569,11,3,121581,372425,656502,6914,831132680,364133,22622279,5010
506247.53,10,253952,62,43384,2856124444,3,19166601,393,6,6,6064,342,1,567,407506,25,17058,10,0,106054267,1136,1,0,4,3724,53969074,9,215876296,9,20,5,3158,567,0,0,26419320,4580396,930085442,0,567,688,3,1,14,14,4362,3,929320353,901855985,50081652,54756921,54773305,1,3,1,2847359924,73389,73389,14,14,14,54756925,11,3,126472,416922,718301,7779,929320353,407506,25702108,5010
508267.78,12,253952,62,48504,3192911562,3,21307327,440,6,6,6064,362,1,567,462804,25,19037,10,0,107297065,1136,1,0,4,3724,60291909,9,241167636,9,20,5,3158,567,0,0,29574908,5337169,1039867297,0,567,688,3,1,14,14,4362,3,1039238281,1007907736,56116832,61219965,61236349,1,3,1,3183438212,73389,73389,14,14,14,61219969,11,3,135606,473371,796324,8659,1039238281,462804,28779798,5010
