timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
430473.52,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
432478.33,0,0,20946,1378822452,0,0,0,0,1,1,4235,117,0,635,127889,2,5,1957,7,0,131022977,1271,1,0,6,15,0,5,1606,635,0,0,0,1989455,1454,453506113,0,633,456,2,2,1,14,14,587,0,1,454590660,406593179,1991256,31014407,31030791,1,2,1,0,1364633908,73389,73389,14,14,14,31014407,8,3,398225,129851,808750,3486,454590660,127889,1180792,1862
434491.30,253952,62,38108,2509668746,8,9002708,0,25,22,22,4235,120,0,675,268024,2,5,6525,28,23,140299886,1352,1,0,27,36,8,5,1701,675,0,0,0,6538352,1159745,778904611,0,673,482,2,2,1,14,14,587,0,1,788527920,737472425,32914170,56671246,56687630,1,2,1,0,2493534824,73389,73389,14,14,14,56671246,8,3,519835,272550,1237662,6035,788527920,268024,5300976,1965
436505.19,253952,62,54619,3597839038,11,12502706,0,30,22,22,4235,123,0,675,412312,2,5,11196,28,23,140830790,1352,1,0,27,36,8,5,1701,675,0,0,0,11459372,2511187,1102650819,0,673,482,2,2,1,14,14,587,0,1,1106246448,1055547938,56010041,81402389,81418773,1,2,1,0,3581705116,73389,73389,14,14,14,81402389,8,3,535364,419562,1484273,8459,1106246448,412312,9975516,1965
438512.54,253952,62,71975,4741652702,14,16502212,0,50,22,22,4235,125,0,675,574626,2,5,16050,28,23,141361694,1352,1,0,27,36,8,5,1701,675,0,0,0,16028639,3431435,1436877721,0,673,482,2,2,1,14,14,587,0,1,1440348976,1389918330,83757345,107401133,107417517,1,2,1,0,4725649852,73389,73389,14,14,14,107401133,8,3,560835,584698,1716125,11008,1440348976,574626,14313056,1965
440517.30,253952,62,88325,5818740794,18,22584750,0,95,23,23,4235,128,0,675,695747,2,5,20661,28,23,141627146,1352,1,0,27,37,8,5,1701,675,0,0,0,20742944,3798738,1753823031,0,673,482,2,2,1,14,14,587,0,1,1755052848,1704805681,96263361,131890834,131890834,1,2,1,0,5802475800,73389,73389,14,14,14,131874450,8,3,568780,708362,1890312,13409,1755052848,695747,18853322,1965
442530.55,253952,62,100343,6610599674,21,27388826,0,111,25,25,4235,130,0,675,751666,2,5,24094,28,23,141892598,1352,1,0,27,39,8,5,1701,675,0,0,0,23277802,3831927,1985137614,0,673,482,2,2,1,14,14,587,0,1,1986526000,1936331272,103839748,149870498,149886882,1,2,1,0,6594301912,73389,73389,14,14,14,149870498,8,3,574849,765665,1973759,15175,1986526000,751666,21304840,1965
444535.61,253952,62,114843,7566180714,25,32785626,0,142,27,27,4235,132,0,675,829012,2,5,28113,28,23,142423502,1352,1,0,27,41,8,5,1701,675,0,0,0,26629654,4119937,2265215978,0,673,482,2,2,1,14,14,587,0,1,2265709360,2215675511,113780027,171601654,171601654,1,2,1,0,7550472776,73389,73389,14,14,14,171601654,8,3,590250,844866,2113824,17305,2265709360,829012,24516729,1965
446544.12,253952,62,128954,8496002798,25,34403025,0,161,33,33,4235,135,3,675,908757,2,5,32153,28,23,142688954,1352,1,0,27,47,8,5,1701,675,0,0,0,29859620,4572756,2536531837,0,673,482,2,2,1,14,14,587,0,1,2537159472,2487442498,119751849,192736953,192736953,1,2,1,0,8480425932,73389,73389,14,14,14,192736953,8,3,612397,926538,2260804,19376,2537159472,908757,27599845,1965
448552.11,253952,62,145745,9602257718,25,36779155,0,184,35,35,4235,137,3,675,1028833,2,5,36822,28,23,142942340,1352,1,0,27,49,8,5,1701,675,0,0,0,34630908,6290417,2857790348,0,673,482,2,2,1,14,14,587,0,1,2860251952,2810850051,136384022,217863471,217879855,1,2,1,0,9585992724,73389,73389,14,14,14,217863471,8,3,636031,1049190,2495372,21841,2860251952,1028833,32136697,1965
