timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
396385.79,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
398390.45,1,253952,62,7469,491708528,2,3025642,73,5,5,4520,106,0,558,87310,0,20,2916,11,96374223,1118,1,0,4,2772,9127873,8,36511492,10,19,5,2082,558,0,0,4227272,231172,187585808,0,558,716,0,3,1,14,14,3430,0,3,187936864,157474892,7441070,9274615,9274615,1,3,1,0,482280012,73389,73389,14,14,14,9274619,9,3,84246,88898,296422,1623,187936864,87310,3931022,2049
400395.57,1,253952,62,12667,833945302,3,5835163,90,5,5,4520,112,0,558,113928,0,20,4936,11,97954869,1118,1,0,4,2772,15627098,8,62508392,10,19,5,2082,558,0,0,6440117,234042,292733210,0,558,716,0,3,1,14,14,3430,0,3,292995756,265576236,12491296,15850188,15850188,1,3,1,0,824209808,73389,73389,14,14,14,15850192,9,3,86543,116236,335418,2436,292995756,113928,6104960,2049
402402.07,1,253952,62,20168,1327413134,3,6974207,152,6,6,4520,190,2,558,177886,0,20,7915,11,98896017,1118,1,0,4,2772,24999393,8,99997572,10,20,5,2082,558,0,0,10515150,363901,455615020,0,558,716,0,3,1,14,14,3430,0,3,455830027,420596277,17826860,25356338,25356338,1,3,1,0,1318529608,73389,73389,14,14,14,25356342,9,3,95209,181795,420522,3850,455830027,177886,10095047,2049
404410.75,2,253952,62,27940,1839558238,3,8308827,243,6,6,4520,222,2,558,243183,0,20,10945,11,100440465,1118,1,0,4,2772,34671238,8,138556072,10,20,5,2082,558,0,0,15048723,575403,609326362,0,558,716,0,3,1,14,14,3430,0,3,609899756,581932788,23881374,35200075,35200075,1,3,1,0,1830403932,73389,73389,14,14,14,35200079,9,3,98559,248640,510148,5098,609899756,243183,14539152,2049
406417.79,2,253952,62,35866,2361204652,3,9605128,330,6,6,4520,293,2,567,317200,0,20,14085,11,102892975,1136,1,0,4,2772,44566113,8,178199876,10,20,5,2082,567,0,0,19637141,723327,776083425,0,567,726,0,3,1,14,14,3430,0,3,775336330,746382047,29871778,45220162,45220162,1,3,1,0,2351448456,73389,73389,14,14,14,45220166,9,3,100691,324326,589074,6512,775336330,317200,19048823,2084
408427.48,3,253952,62,43798,2883232216,3,10882505,415,6,6,4520,335,2,576,392857,0,20,17198,11,105333148,1154,1,0,4,2772,54445357,8,217716796,10,20,5,2082,576,0,0,24301423,850420,944057021,0,576,737,0,3,1,14,14,3430,0,3,943144644,910521540,35952720,55273017,55273017,1,3,1,0,2874196916,73389,73389,14,14,14,55273021,9,3,102977,401669,681936,7883,943144644,392857,23620406,2114
410435.81,3,253952,62,51421,3385347004,3,12195530,493,6,6,4520,370,2,576,460323,0,20,20187,11,106925860,1154,1,0,4,2772,63974804,8,255834460,10,20,5,2082,576,0,0,28837388,1037482,1100739095,0,576,737,0,3,1,14,14,3430,0,3,1099929078,1068721982,41962306,64922305,64922305,1,3,1,0,3375959892,73389,73389,14,14,14,64922309,9,3,108634,470741,769879,9157,1099929078,460323,28068606,2114
412445.30,4,253952,62,59264,3903189456,3,13490003,571,6,6,4520,442,2,585,533590,0,20,23300,11,111525180,1172,1,0,4,2772,73742084,8,294968336,10,20,5,2082,585,0,0,33471609,1144547,1265239509,0,585,747,0,3,1,14,14,3430,0,3,1264264170,1232052558,47986151,74845359,74861743,1,3,1,0,3891958700,73389,73389,14,14,14,74845363,9,3,112284,545626,869882,10566,1264264170,533590,32602992,2152
414454.70,4,253952,62,67337,4435724526,3,14764724,657,6,6,4520,478,2,585,606642,0,20,26467,11,112792110,1172,1,0,4,2772,83831051,8,335324204,10,20,5,2082,585,0,0,38113139,1288540,1433275301,0,585,747,0,3,1,14,14,3430,0,3,1432964633,1399514131,53993582,85077994,85110762,1,3,1,0,4424055720,73389,73389,14,14,14,85077998,9,3,115756,620295,955870,11938,1432964633,606642,37158698,2152
