timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
196384.92,0,253952,62,6662,438193544,0,1713123,23,3,3,5425,103,1,558,69824,0,29,2595,18,60,95433075,1118,1,4,8225,8113886,7,32390860,17,17,14,5297,558,3927057,119095,172588462,558,654,0,3,1,14,14,8857,3,172841680,140589418,5754870,8246741,8263125,1,3,1,428830564,73389,73389,14,14,14,8246745,10,3,75306,71386,222674,1495,172841680,69824,3704521,1868
198390.48,0,253952,62,12602,829371746,1,4446776,62,3,3,5425,117,1,558,116286,0,29,4892,18,60,96700005,1118,1,4,8225,15483541,7,61934164,17,17,14,5297,558,7101625,254449,294421499,558,654,0,3,1,14,14,8857,3,294423551,263910777,11790613,15770427,15770427,1,3,1,819210268,73389,73389,14,14,14,15754047,10,3,86053,119018,298680,2451,294423551,116286,6803197,1868
200398.99,1,253952,62,18371,1209331226,1,6053375,75,4,4,5425,184,1,558,158527,0,29,7217,19,61,97954869,1118,1,4,8225,22755564,7,91022256,18,18,14,5322,558,9973848,276904,420311949,558,654,0,3,1,14,14,8857,3,420209881,383616262,16291100,23081121,23081121,1,3,1,1200218324,73389,73389,14,14,14,23081125,10,3,94502,162485,364718,3553,420209881,158527,9609488,1868
202411.09,1,253952,62,25820,1700006552,1,7748197,133,4,4,5425,211,1,558,219315,0,29,10118,19,61,99197667,1118,1,4,8225,32010728,7,128042912,18,18,14,5322,558,14199042,430272,566654603,558,654,0,3,1,14,14,8857,3,566893332,537963733,22319797,32517417,32517417,1,3,1,1690053748,73389,73389,14,14,14,32501037,10,3,101724,224858,452208,4735,566893332,219315,13747336,1868
204422.77,1,253952,62,33462,2203342392,1,9221075,197,4,4,5425,246,1,567,284397,0,29,13115,19,61,101951827,1136,1,4,8225,41564265,7,166257060,18,18,14,5322,567,18581751,617166,726978701,567,663,0,3,1,14,14,8857,3,726566250,696413748,28322735,42191281,42207665,1,3,1,2193946644,73389,73389,14,14,14,42191285,10,3,102096,291620,525556,6041,726566250,284397,18056849,1905
206431.24,3,253952,62,41304,2719170066,1,10644906,273,4,4,5425,323,2,567,352651,0,29,16215,19,61,102880909,1136,1,4,8225,51307806,7,205231224,18,18,14,5322,567,23064170,782010,889724200,567,663,0,3,1,14,14,8857,3,889255969,859306922,34421178,52090647,52090647,1,3,1,2707861708,73389,73389,14,14,14,52074267,10,3,108783,361558,615183,7436,889255969,352651,22449794,1905
208442.03,3,253952,62,49111,3233946778,1,12181169,333,4,4,5425,352,2,567,419330,0,29,19279,19,61,104159905,1136,1,4,8225,61108434,7,244433736,18,18,14,5322,567,27438722,916362,1054704920,567,663,0,3,1,14,14,8857,3,1054600753,1020963367,40450797,62014145,62014145,1,3,1,3223883604,73389,73389,14,14,14,61997765,10,3,112871,429917,706949,8770,1054600753,419330,26732732,1905
210455.37,5,253952,62,56588,3726227858,1,13625739,397,4,4,5425,433,2,567,481530,0,29,22263,19,61,105776749,1136,1,4,8225,70460944,7,281843776,18,18,14,5322,567,31837487,1099898,1204182723,567,663,0,3,1,14,14,8857,3,1203422597,1175904390,46421825,71485368,71485368,1,3,1,3717239168,73389,73389,14,14,14,71485372,10,3,120301,493700,798771,10068,1203422597,481530,31039829,1905
212464.77,5,253952,62,64034,4217261612,1,15233397,459,4,4,5425,458,2,567,540474,0,29,25165,19,61,107912431,1136,1,4,8225,79760516,7,318913056,18,18,14,5322,567,36167751,1246679,1358219125,567,663,0,3,1,14,14,8857,3,1357827333,1330705265,52503423,80917346,80917346,1,3,1,4207702024,73389,73389,14,14,14,80917350,10,3,123948,554292,875542,11303,1357827333,540474,35293472,1905
214474.00,5,253952,62,72214,4755602434,1,16541785,537,4,4,5425,510,2,567,613338,0,29,28374,19,61,109806793,1136,1,4,8225,89940651,7,359698028,18,18,14,5322,567,40775324,1381218,1532629809,567,663,0,3,1,14,14,8857,3,1531935534,1500161567,58548687,91256921,91273305,1,3,1,4744507956,73389,73389,14,14,14,91240541,10,3,139508,628983,990550,12756,1531935534,613338,39786215,1905
