timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
228272.63,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
230277.39,0,0,19646,1293094748,0,0,0,1,1,4425,117,594,125783,19,1834,16,209,122489018,1190,1,0,15,15,0,14,369,594,0,0,0,2003421,1653,426112212,0,594,357,2,1,14,14,423,1,426279108,381374789,2005880,29069029,29085413,1,2,1,1279037276,73389,73389,14,14,14,29069029,9,3,374061,127830,838606,3270,426279108,125783,1164902,1751
232287.16,253952,62,36925,2431874206,18,18849003,40,29,29,4425,120,675,249717,19,6205,44,223,140299886,1352,1,0,43,43,11,14,468,675,0,0,0,6201458,1305449,759909121,0,675,388,2,1,14,14,423,1,765721392,714749795,40975482,54912125,54912125,1,2,1,2416133500,73389,73389,14,14,14,54912125,9,3,520369,254186,1267395,5861,765721392,249717,4934375,1959
234294.51,253952,62,52710,3472199910,24,27575234,81,29,29,4425,122,675,368989,19,10626,44,223,140830790,1352,1,0,43,43,11,14,468,675,0,0,0,10703983,2377589,1065857760,0,675,388,2,1,14,14,423,1,1069808432,1018866278,56145791,78555891,78555891,1,2,1,3455738308,73389,73389,14,14,14,78539507,9,3,532220,375968,1447580,8181,1069808432,368989,9256885,1959
236303.62,253952,62,68415,4507017282,24,31881134,134,30,30,4425,125,675,487937,19,15067,44,223,141361694,1352,1,0,43,44,11,14,468,675,0,0,0,15222912,3407461,1367188562,0,675,388,2,1,14,14,423,1,1371798320,1321362218,67494731,102062552,102078936,1,2,1,4490752288,73389,73389,14,14,14,102062552,9,3,548492,500702,1643379,10485,1371798320,487937,13580143,1959
238308.18,253952,62,79529,5239100714,28,37371586,156,30,30,4425,127,675,543919,19,18207,44,223,141361694,1352,1,0,43,44,11,14,468,675,0,0,0,17686730,3449276,1585129136,0,675,388,2,1,14,14,423,1,1585707824,1535342541,76406020,118719430,118719430,1,2,1,5223654920,73389,73389,14,14,14,118719430,9,3,548796,558038,1711410,12117,1585707824,543919,15976028,1959
240315.30,253952,62,92384,6086344130,28,38741637,199,32,32,4425,129,675,613135,19,21841,44,223,141892598,1352,1,0,43,46,11,14,468,675,0,0,0,20557639,3488172,1831134530,0,675,388,2,1,14,14,423,1,1833171760,1782998463,81449239,137964536,137980920,1,2,1,6070439584,73389,73389,14,14,14,137964536,9,3,558012,628909,1808393,14005,1833171760,613135,18750068,1959
242320.38,253952,62,107095,7055487814,28,41588771,248,34,34,4425,131,675,718243,19,25944,44,223,142158050,1352,1,0,43,48,11,14,468,675,0,0,0,24566704,4500230,2113741455,0,675,388,2,1,14,14,423,1,2116287280,2066408109,89984920,159992763,159992763,1,2,1,7039681572,73389,73389,14,14,14,159992763,9,3,575291,736325,1987314,16165,2116287280,718243,22580363,1959
244331.05,253952,62,117491,7740516398,32,47388273,268,34,34,4425,133,675,771686,19,28892,44,223,142423502,1352,1,0,43,48,11,14,468,675,0,0,0,26834187,4528921,2316734217,0,675,388,2,1,14,14,423,1,2316434224,2266623111,98897127,175551913,175568297,1,2,1,7724284172,73389,73389,14,14,14,175551913,9,3,581237,791092,2051320,17692,2316434224,771686,24783930,1959
246339.07,253952,62,128801,8485710338,32,48816313,301,36,36,4425,135,675,837141,19,32089,44,223,142688954,1352,1,0,43,50,11,14,468,675,0,0,0,29371579,4605126,2533226567,0,675,388,2,1,14,14,423,1,2534406960,2484453060,102997383,192501544,192501544,1,2,1,8469347040,73389,73389,14,14,14,192485160,9,3,589912,857969,2124052,19355,2534406960,837141,27248683,1959
