timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
774332.68,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
776337.16,253952,62,23263,1531477786,0,0,0,24,24,9711,118,675,123346,10,2369,39,41,139768982,1352,1,38,38,8,14,140,675,2107029,73,498075632,675,339,2,1,14,14,301,1,502659888,451445708,2215125,34456762,34456762,1,2,1,1515376632,73389,73389,14,14,14,34440378,5,3,456762,125497,834414,3854,502659888,123346,1272705,1632
778342.18,253952,62,44916,2958492354,0,0,0,24,24,9711,121,675,213393,10,8438,39,41,140565338,1352,1,38,38,8,14,140,675,6385210,179,916463505,675,339,2,1,14,14,301,1,919468848,868692628,8918060,66881464,66881464,1,2,1,2942063520,73389,73389,14,14,14,66865080,5,3,472704,217929,977045,7034,919468848,213393,5408428,1632
780346.89,253952,62,66369,4372134270,0,0,0,24,24,9711,125,675,304617,10,14510,39,41,141096242,1352,1,38,38,8,14,140,675,10610300,242,1330686490,675,339,2,1,14,14,301,1,1332476720,1281928246,14962603,99013413,99013413,1,2,1,4356590172,73389,73389,14,14,14,99013413,5,3,474191,311455,1097674,10185,1332476720,304617,9513055,1632
782351.50,253952,62,87931,5792678290,0,0,0,24,24,9711,128,675,401376,10,20558,39,41,141627146,1352,1,38,38,8,14,140,675,14789432,370,1742290347,675,339,2,1,14,14,301,1,1747581744,1697157515,25685247,131294977,131317394,1,2,1,5776978988,73389,73389,14,14,14,131294977,5,3,484781,410656,1236566,13352,1747581744,401376,13553475,1632
784356.39,253952,62,109841,7236776930,0,0,0,24,24,9711,132,675,481875,10,26753,39,41,142423502,1352,1,38,38,8,14,140,675,18966491,402,2164511327,675,339,2,1,14,14,301,1,2169502512,2119365365,31896941,164110736,164127120,1,2,1,7220872384,73389,73389,14,14,14,164110736,5,3,494335,493395,1345934,16571,2169502512,481875,17621340,1632
786360.92,253952,62,131583,8669093298,0,0,0,24,24,9711,135,675,570125,10,32846,39,41,142688954,1352,1,38,38,8,14,140,675,23214280,427,2583194414,675,339,2,1,14,14,301,1,2587753264,2538029444,47643935,196670828,196670828,1,2,1,8653516432,73389,73389,14,14,14,196670828,5,3,499910,584076,1467566,19762,2587753264,570125,21747668,1632
788365.47,253952,62,153417,10107380058,0,0,2,24,24,9711,139,675,644447,10,39020,39,41,143473244,1352,1,38,38,8,14,140,675,27316565,491,3003160574,675,339,2,1,14,14,301,1,3007155152,2958442773,55977623,229357674,229374058,1,2,1,10091737656,73389,73389,14,14,14,229357674,5,3,506423,660673,1568462,22965,3007155152,644447,25749230,1632
790370.03,253952,62,174832,11518531606,3,3000412,3,24,24,9711,142,675,753316,10,45023,39,41,144004148,1352,1,38,38,8,14,140,675,31760059,608,3419490714,675,339,2,1,14,14,301,1,3419769808,3370862015,98690430,261424087,261440471,1,2,1,11502659828,73389,73389,14,14,14,261424087,5,3,522235,772103,1717064,26113,3419769808,753316,30044298,1632
792375.07,253952,62,196042,12915982822,3,3000412,3,24,24,9711,146,675,859206,10,51029,39,41,144535052,1352,1,38,38,8,14,140,675,36083970,675,3827162378,675,339,2,1,14,14,301,1,3827665872,3779354007,121846198,293189555,293205939,1,2,1,12900340420,73389,73389,14,14,14,293189555,5,3,528568,880372,1838083,29225,3827665872,859206,34247369,1632
794379.37,253952,62,217857,14353614222,3,3000412,3,24,24,9711,149,675,966880,10,57143,39,41,145065956,1352,1,38,38,8,14,140,675,40420741,909,4247681647,675,339,2,1,14,14,301,1,4247620560,4199634370,129281864,325860017,325876401,1,2,1,14337840748,73389,73389,14,14,14,325860017,5,3,531495,990508,1969736,32429,4247620560,966880,38452663,1632
796383.78,253952,62,239173,15758012254,3,3000412,3,24,24,9711,153,675,1070531,10,63178,39,41,145596860,1352,1,38,38,8,14,140,675,44641027,977,4656400942,675,339,2,1,14,14,301,1,4657875920,4610160229,140658737,357789325,357805709,1,2,1,15742730300,73389,73389,14,14,14,357789325,5,3,538475,1096631,2096049,35559,4657875920,1070531,42546807,1632
798388.01,253952,62,261388,17221858054,3,3000412,3,24,24,9711,156,675,1174373,10,69400,39,41,146127764,1352,1,38,38,8,14,140,675,48910299,1046,5085045936,675,339,2,1,14,14,301,1,5085957072,5038181738,148348815,391049611,391065995,1,2,1,17206182884,73389,73389,14,14,14,391049611,5,3,545192,1202856,2240517,38825,5085957072,1174373,46671783,1632
800392.43,253952,62,283165,18656733634,3,3000412,3,24,24,9711,160,675,1277349,10,75560,39,41,146658668,1352,1,38,38,8,14,140,675,53158129,1100,5502942508,675,339,2,1,14,14,301,1,5504601040,5457532454,157759900,423656696,423673080,1,2,1,18640894624,73389,73389,14,14,14,423656696,5,3,550555,1308214,2375242,42019,5504601040,1277349,50785056,1632
802396.48,253952,62,304898,20088565098,3,3000412,3,24,24,9711,164,675,1383970,10,81707,39,41,147455024,1352,1,38,38,8,14,140,675,57400927,1234,5922810477,675,339,2,1,14,14,301,1,5922462539,5876074019,166308935,456212470,456212470,1,2,1,20073348680,73389,73389,14,14,14,456212470,5,3,559913,1417226,2527029,45211,5922462539,1383970,54876249,1632
804400.79,253952,62,327117,21552214290,3,3000412,3,24,24,9711,168,675,1463214,10,87989,39,41,147985928,1352,1,38,38,8,14,140,675,61492098,1300,6350963681,675,339,2,1,14,14,301,1,6349526377,6303808951,172396725,489480948,489497332,1,2,1,21537161712,73389,73389,14,14,14,489480948,5,3,564015,1498708,2621760,48476,6349526377,1463214,58872866,1632
806405.71,253952,62,347961,22925265412,3,3000412,3,24,24,9711,173,675,1557979,10,93988,39,41,148782284,1352,1,38,38,8,14,140,675,65829385,1501,6751234441,675,339,2,1,14,14,301,1,6750285834,6705153460,191519013,520681168,520697552,1,2,1,22909971392,73389,73389,14,14,14,520681168,5,3,570385,1595951,2753539,51540,6750285834,1557979,63078539,1632
808410.31,253952,62,368997,24311418284,3,3000412,3,24,24,9711,177,675,1664981,10,99943,39,41,149844092,1352,1,38,38,8,14,140,675,70230533,1573,7155368358,675,339,2,1,14,14,301,1,7154637635,7110305531,199349718,552196558,552196558,1,2,1,24296648552,73389,73389,14,14,14,552196558,5,3,584131,1705413,2900756,54631,7154637635,1664981,67332640,1632
810414.76,253952,62,389557,25665120912,3,3000412,3,24,24,9711,183,675,1773476,10,105877,39,41,150640448,1352,1,38,38,8,14,140,675,74540311,1673,7548902798,675,339,2,1,14,14,301,1,7548528519,7505939199,212377099,582956569,582972953,1,2,1,25650089036,73389,73389,14,14,14,582956569,5,3,595442,1816322,3051223,57650,7548528519,1773476,71492126,1632
