timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
387829.14,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
389836.76,1,253952,62,8636,567923588,0,1256397,0,85,3,3,4891,111,0,558,75437,8,3366,12,18,95795055,1118,1,0,4,1405,10584128,6,42336512,11,17,8,221,558,0,0,4625902,49395,207011039,0,558,599,3,1,14,14,1946,3,207351948,181744070,5922269,10734950,10734950,1,3,1,558217432,73389,73389,14,14,14,10734954,7,3,81265,77156,271849,1781,207351948,75437,4354236,1727
391843.10,3,253952,62,17286,1138538382,0,2590329,0,162,3,3,4891,141,0,558,142675,8,6748,12,18,98268585,1118,1,0,4,1405,21383237,6,85468448,11,17,8,221,558,0,0,9239577,125894,388600673,0,558,599,3,1,14,14,1946,3,389023285,361274570,11934358,21704865,21719090,1,3,1,1128653012,73389,73389,14,14,14,21704869,7,3,84762,146264,350731,3233,389023285,142675,8889209,1727
393852.60,4,253952,62,25866,1703346990,0,3919162,0,244,3,3,4891,226,0,558,211252,8,10157,12,18,99837165,1118,1,0,4,1405,32122390,6,128360364,11,17,8,221,558,0,0,13869207,232165,572689123,0,558,599,3,1,14,14,1946,3,572279899,538947970,17948273,32580794,32580794,1,3,1,1694201320,73389,73389,14,14,14,32580798,7,3,88616,216725,426602,4817,572279899,211252,13443150,1727
395863.77,5,253952,62,34314,2259842694,0,5173382,0,325,3,3,4891,259,0,558,279855,8,13468,12,18,101116161,1118,1,0,4,1405,42666148,6,170664592,11,17,8,221,558,0,0,18516080,369430,745626257,0,558,599,3,1,14,14,1946,3,745171151,714249543,23974975,43284691,43284691,1,3,1,2250803964,73389,73389,14,14,14,43284695,7,3,93109,287131,505705,6210,745171151,279855,18011101,1727
397870.92,8,253952,62,42700,2812238968,0,6496925,0,404,3,3,4891,338,0,576,349071,8,16785,12,18,105984712,1154,1,0,4,1405,53098725,6,212394900,11,17,8,221,576,0,0,23109268,502610,919866758,0,576,618,3,1,14,14,1946,3,919345814,888424210,30017782,53890284,53890284,1,3,1,2802294800,73389,73389,14,14,14,53890288,7,3,95807,358246,603578,7703,919345814,349071,22506598,1795
399875.48,8,253952,62,48538,3196370518,1,8810647,0,424,3,3,4891,352,0,576,382310,8,19052,12,18,107203378,1154,1,0,4,1405,60389150,6,241556600,11,17,8,221,576,0,0,25575395,511344,1043877051,0,576,618,3,1,14,14,1946,3,1042893626,1009019238,34805511,61301441,61301441,1,3,1,3187674964,73389,73389,14,14,14,61301445,7,3,97924,392506,650527,8680,1042893626,382310,24925870,1795
401884.63,8,253952,62,55673,3666793322,1,10140825,0,477,4,4,4891,418,0,576,433062,8,21880,13,18,109713106,1154,1,0,4,1405,69270711,6,277018180,12,18,8,235,576,0,0,29195832,574097,1190808266,0,576,618,3,1,14,14,1946,3,1190077781,1157389111,39799809,70325978,70325978,1,3,1,3656950888,73389,73389,14,14,14,70325982,7,3,102381,444735,718504,9939,1190077781,433062,28478466,1795
403892.02,8,253952,62,63489,4180139386,1,11545777,0,550,4,4,4891,452,0,585,499187,8,24935,13,18,111598455,1172,1,0,4,1405,79009966,6,316039864,12,18,8,235,585,0,0,33671913,750680,1356104337,0,585,626,3,1,14,14,1946,3,1355212783,1319247889,45847791,80170159,80186543,1,3,1,4168848300,73389,73389,14,14,14,80170163,7,3,103751,512547,797209,11278,1355212783,499187,32876014,1828
405904.24,11,253952,62,71185,4687303754,1,12849337,0,623,4,4,4891,523,0,585,566420,8,27978,13,18,113444553,1172,1,0,4,1405,88585515,6,354342060,12,18,8,235,585,0,0,38245903,922574,1516445706,0,585,626,3,1,14,14,1946,3,1515917909,1479326835,51863529,89915592,89915592,1,3,1,4674758848,73389,73389,14,14,14,89899212,7,3,107724,581461,873270,12658,1515917909,566420,37374113,1828
407913.97,12,253952,62,79331,5223995520,1,14121360,0,705,4,4,4891,561,0,585,633677,8,31169,13,18,114699417,1172,1,0,4,1405,98743131,6,394972524,12,18,8,235,585,0,0,42917593,1043219,1690589765,0,585,626,3,1,14,14,1946,3,1689500243,1648536174,57917966,100218081,100218081,1,3,1,5211340244,73389,73389,14,14,14,100218085,7,3,111269,650483,945279,14069,1689500243,633677,41973961,1828
