timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
822614.60,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
824619.36,253952,62,23188,1526562586,0,0,0,0,28,28,4201,118,675,118474,2,3,2348,43,144,139768982,1352,1,0,42,42,24,14,267,675,0,0,0,2123721,141,497812660,0,673,372,2,2,1,14,14,352,0,1,501218096,450048216,2243087,34342074,34342074,1,2,1,0,1510330360,73389,73389,14,14,14,34325690,5,3,457367,120515,810495,3843,501218096,118474,1313321,1718
826623.63,253952,62,44346,2920871382,0,0,0,0,28,28,4201,121,675,213974,2,3,8285,43,144,140565338,1352,1,0,42,42,24,14,267,675,0,0,0,6486265,189,907025557,0,673,372,2,2,1,14,14,352,0,1,908720944,857662196,9477571,66023463,66039847,1,2,1,0,2905032372,73389,73389,14,14,14,66023463,5,3,465394,218510,929735,6952,908720944,213974,5556800,1718
828627.52,253952,62,65887,4340280466,2,2062591,0,8,28,28,4201,124,675,305281,2,3,14324,43,144,141096242,1352,1,0,42,42,24,14,267,675,0,0,0,10813016,242,1320076148,0,673,372,2,2,1,14,14,352,0,1,1323301680,1272625965,32098022,98278292,98294676,1,2,1,0,4324244848,73389,73389,14,14,14,98278292,5,3,479518,312261,1053257,10115,1323301680,305281,9760201,1718
830631.67,253952,62,88237,5812973626,7,7063140,0,9,28,28,4201,128,675,379020,2,3,20639,43,144,141627146,1352,1,0,42,42,24,14,267,675,0,0,0,14768557,285,1750037823,0,673,372,2,2,1,14,14,352,0,1,1753348912,1703119609,54830855,131759762,131759762,1,2,1,0,5796708632,73389,73389,14,14,14,131743378,5,3,485472,388097,1142262,13396,1753348912,379020,13626920,1718
832635.73,253952,62,109728,7229105910,7,7063140,0,11,28,28,4201,132,675,463918,2,3,26720,43,144,142158050,1352,1,0,42,42,24,14,267,675,0,0,0,19124528,359,2164789987,0,673,372,2,2,1,14,14,352,0,1,2167274288,2117120981,64404480,163940863,163940863,1,2,1,0,7213397972,73389,73389,14,14,14,163940863,5,3,493551,475390,1256618,16554,2167274288,463918,17868707,1718
834640.45,253952,62,131462,8661163442,9,9063512,0,13,28,28,4201,135,675,551050,2,3,32813,43,144,142688954,1352,1,0,42,42,24,14,267,675,0,0,0,23347439,478,2584263034,0,673,372,2,2,1,14,14,352,0,1,2585525040,2535725033,108051075,196490604,196490604,1,2,1,0,8645586576,73389,73389,14,14,14,196490604,5,3,505543,564922,1376146,19745,2585525040,551050,21972272,1718
836645.03,253952,62,152853,10070152302,11,11063712,0,13,28,28,4201,139,675,636450,2,3,38864,43,144,143207792,1352,1,0,42,42,24,14,267,675,0,0,0,27740537,581,2996102555,0,673,372,2,2,1,14,14,352,0,1,2996276176,2947576833,117822084,228516057,228516057,1,2,1,0,10054706508,73389,73389,14,14,14,228516057,5,3,506384,652674,1470369,22882,2996276176,636450,26271321,1718
838649.33,253952,62,175055,11533146134,12,12063776,0,14,28,28,4201,142,675,730892,2,3,45083,43,144,144004148,1352,1,0,42,42,24,14,267,675,0,0,0,31945743,665,3423571529,0,673,372,2,2,1,14,14,352,0,1,3423964112,3375137429,137196718,261768151,261768151,1,2,1,0,11517798644,73389,73389,14,14,14,261768151,5,3,508119,749486,1590337,26145,3423964112,730892,30356738,1718
840653.84,253952,62,196996,12979035070,13,13064058,0,15,28,28,4201,146,675,824166,2,3,51287,43,144,144535052,1352,1,0,42,42,24,14,267,675,0,0,0,36116222,728,3845401943,0,673,372,2,2,1,14,14,352,0,1,3846278096,3797817990,178737590,294610645,294627029,1,2,1,0,12962868380,73389,73389,14,14,14,294610645,5,3,511562,844976,1716903,29367,3846278096,824166,34400825,1718
842658.22,253952,62,219038,14431277690,13,13064058,0,15,28,28,4201,149,675,919444,2,3,57464,43,144,145065956,1352,1,0,42,42,24,14,267,675,0,0,0,40340650,791,4269066220,0,673,372,2,2,1,14,14,352,0,1,4270558160,4222323705,185923539,327635522,327635522,1,2,1,0,14415962968,73389,73389,14,14,14,327635522,5,3,511612,942484,1823532,32604,4270558160,919444,38518797,1718
844662.73,253952,62,241179,15890273826,13,13064058,0,15,28,28,4201,153,675,1009699,2,3,63725,43,144,145596860,1352,1,0,42,42,24,14,267,675,0,0,0,44386200,804,4697057380,0,673,372,2,2,1,14,14,352,0,1,4696542160,4648754133,191793880,360789312,360805696,1,2,1,0,15874729728,73389,73389,14,14,14,360789312,5,3,511644,1034825,1923796,35854,4696542160,1009699,42464244,1718
846667.61,253952,62,262655,17305423070,13,13064058,0,15,28,28,4201,157,675,1108048,2,3,69760,43,144,146127764,1352,1,0,42,42,24,14,267,675,0,0,0,48735210,880,5109976713,0,673,372,2,2,1,14,14,352,0,1,5110205392,5062551147,202934876,392954029,392954029,1,2,1,0,17289977276,73389,73389,14,14,14,392954029,5,3,519446,1135600,2054657,39010,5110205392,1108048,46682565,1718
