timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPReceiveBytes,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkReceiveBytes,NetworkReceiveElapsedMicroseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
169296.03,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,2097278,2,1,1081,0,0,0,0,0,0,0,0,0,0,0,0,1081,113,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
171302.71,2,253952,62,8308,546379516,0,1238394,0,74,3,3,7039,113,0,558,89974,0,17,3243,17,20,95433075,1118,1,1081,0,4,1477,10179584,8,40653548,16,17,158,13,97,558,1081,113,0,0,4555840,117037,206030556,0,558,521,0,3,1,14,14,2067,3,205983068,174874563,5875625,10325350,10325350,1,3,1,536918232,73389,73389,14,14,14,10325354,9,3,68053,91720,225451,1782,205983068,89974,4330553,1874
173307.32,2,253952,62,13987,920163238,1,3560662,0,91,3,3,7039,121,0,558,119513,0,17,5442,17,20,97037853,1118,1,1081,0,4,1477,17259736,8,69038944,16,17,158,13,97,558,1081,113,0,0,6922679,117875,321324231,0,558,521,0,3,1,14,14,2067,3,321055238,292718950,10587915,17507131,17507131,1,3,1,910370844,73389,73389,14,14,14,17507135,9,3,69420,122076,256278,2679,321055238,119513,6666659,1874
175312.53,4,253952,62,22066,1452717478,1,4813846,0,140,4,4,7039,205,0,558,193031,0,17,8670,18,20,98558169,1118,1,1081,0,4,1477,27383183,8,109532732,17,18,158,13,109,558,1081,113,0,0,11010556,205012,497083103,0,558,521,0,3,1,14,14,2067,3,497177168,459952818,15980208,27774693,27774693,1,3,1,1444284068,73389,73389,14,14,14,27774697,9,3,78352,197194,356063,4211,497177168,193031,10654905,1874
177319.28,4,253952,62,27764,1827758450,2,7473317,0,153,4,4,7039,214,0,567,221564,0,17,10872,18,20,101673456,1136,1,1081,0,4,1477,34438846,8,137755384,17,18,158,13,109,567,1081,113,0,0,13402966,209286,610261996,0,567,528,0,3,1,14,14,2067,3,610004821,578177098,21058271,34972858,34972858,1,3,1,1817736680,73389,73389,14,14,14,34956478,9,3,84453,226525,409855,5102,610004821,221564,12993611,1908
179325.88,5,253952,62,36044,2372507836,2,8827580,0,210,5,5,7039,299,1,585,291475,0,17,14166,18,20,105986209,1172,1,1081,0,4,1477,44760196,8,179040784,17,19,158,13,109,585,1081,113,0,0,17697564,345477,777285757,0,585,545,0,3,1,14,14,2067,3,777777347,749785542,26799974,45433154,45449538,1,3,1,2362524040,73389,73389,14,14,14,45433158,9,3,89533,298073,504798,6556,777777347,291475,17193431,1968
181334.62,5,253952,62,44247,2914093490,2,10301422,0,268,5,5,7039,332,1,585,364984,0,17,17383,18,20,108097759,1172,1,1081,0,4,1477,55022470,8,220089880,17,19,158,13,109,585,1081,113,0,0,22100905,483858,956937326,0,585,545,0,3,1,14,14,2067,3,957356378,920613477,32840015,55841695,55841695,1,3,1,2903768172,73389,73389,14,14,14,55841699,9,3,95674,373240,619692,8000,957356378,364984,21482050,1968
183339.93,5,253952,62,52103,3431767750,2,11601193,0,321,5,5,7039,370,1,585,426513,0,17,20462,18,20,109038907,1172,1,1081,0,4,1477,64841231,8,259300344,17,19,158,13,109,585,1081,113,0,0,26198985,586995,1110093614,0,585,545,0,3,1,14,14,2067,3,1109339107,1083558551,38326062,65800120,65800120,1,3,1,3421606272,73389,73389,14,14,14,65800124,9,3,100820,436236,700818,9242,1109339107,426513,25499158,1968
185345.72,5,253952,62,57597,3793403180,3,14335212,0,344,5,5,7039,424,2,585,458334,0,17,22637,18,20,110305837,1172,1,1081,0,4,1477,71695522,8,286717476,17,19,158,13,109,585,1081,113,0,0,28548728,588133,1229242635,0,585,545,0,3,1,14,14,2067,3,1228397549,1197376727,43410722,72752525,72752525,1,3,1,3783131332,73389,73389,14,14,14,72752529,9,3,105514,468924,738690,10258,1228397549,458334,27811123,1968
187353.44,11,253952,62,63648,4192495376,3,15772394,0,367,6,6,7039,443,2,585,498969,0,17,25005,18,20,112212265,1172,1,1081,0,4,1477,79238218,8,316952872,17,20,158,13,109,585,1081,113,0,0,31286387,600756,1363180055,0,585,545,0,3,1,14,14,2067,3,1362373531,1323227330,47599981,80419349,80419349,1,3,1,4181806180,73389,73389,14,14,14,80419353,9,3,111936,510579,791674,11338,1362373531,498969,30495910,1968
