timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
407300.51,0,253952,62,7106,467303594,2,3213747,83,5,5,4340,104,0,558,77921,0,9,2770,11,95758857,1118,1,0,4,1496,8663189,9,34652756,10,19,5,1585,558,0,0,4548165,192744,180515652,0,558,610,0,3,1,14,14,2084,0,3,180616491,149772940,7933809,8787413,8820181,1,3,1,0,456945508,73389,73389,14,14,14,8787417,11,3,80811,79460,262797,1563,180616491,77921,4285518,1886
409316.60,0,253952,62,14267,938477120,2,4520188,166,5,5,4340,133,0,558,139812,0,9,5561,11,96989589,1118,1,0,4,1496,17584007,9,70336028,10,19,5,1585,558,0,0,9139928,371322,325997870,0,558,610,0,3,1,14,14,2084,0,3,326472178,298309547,13970543,17867579,17867579,1,3,1,0,929114140,73389,73389,14,14,14,17867583,11,3,85721,142867,340495,2741,326472178,139812,8799720,1886
411331.05,1,253952,62,21408,1408376124,2,5778964,246,5,5,4340,203,0,567,204712,0,9,8388,11,100093663,1136,1,0,4,1496,26479997,9,105855372,10,19,5,1585,567,0,0,13721571,564789,476901796,0,567,620,0,3,1,14,14,2084,0,3,477195888,446084005,20009430,26906785,26923169,1,3,1,0,1399152852,73389,73389,14,14,14,26906789,11,3,89568,209368,430273,4040,477195888,204712,13291738,1920
413343.37,1,253952,62,29275,1928050276,2,7057663,329,5,5,4340,236,0,567,270808,0,9,11480,11,103556605,1136,1,0,4,1496,36322811,9,145291244,10,19,5,1585,567,0,0,18392057,682659,642363595,0,567,620,0,3,1,14,14,2084,0,3,641861074,610009087,26061463,36889342,36889342,1,3,1,0,1917393848,73389,73389,14,14,14,36872962,11,3,93020,277084,505922,5374,641861074,270808,17886747,1920
415358.28,2,253952,62,37176,2448010026,2,8286066,415,5,5,4340,273,0,567,334818,0,9,14581,11,104787337,1136,1,0,4,1496,46209990,9,184839960,10,19,5,1585,567,0,0,23062185,817914,804273838,0,567,620,0,3,1,14,14,2084,0,3,804130413,773578022,32080162,46884853,46884853,1,3,1,0,2438012388,73389,73389,14,14,14,46884857,11,3,98698,342735,591522,6708,804130413,334818,22471444,1920
417367.81,2,253952,62,44857,2954203420,2,9601658,503,5,5,4340,344,0,567,400581,0,9,17621,11,105704353,1136,1,0,4,1496,55787078,9,223083792,10,19,5,1585,567,0,0,27746373,895103,961453077,0,567,620,0,3,1,14,14,2084,0,3,960626079,933194906,38139516,56613902,56613902,1,3,1,0,2943922936,73389,73389,14,14,14,56613906,11,3,103543,410130,680269,8040,960626079,400581,27067048,1920
419377.17,10,253952,62,52583,3463370066,2,10743183,597,5,5,4340,378,0,567,470400,0,9,20655,11,106971283,1136,1,0,4,1496,65443997,9,261775988,10,19,5,1585,567,0,0,32552745,989594,1123034004,0,567,620,0,3,1,14,14,2084,0,3,1122868480,1093217426,44162767,66424871,66424871,1,3,1,0,3453241356,73389,73389,14,14,14,66408491,11,3,110293,481586,763916,9359,1122868480,470400,31789945,1920
421384.57,13,253952,62,60514,3985983658,2,11856308,695,5,5,4340,447,0,576,541197,0,9,23787,11,110339355,1154,1,0,4,1496,75318276,9,301208444,10,19,5,1585,576,0,0,37429438,1069015,1290902887,0,576,629,0,3,1,14,14,2084,0,3,1289612811,1257744599,50207508,76473408,76473408,1,3,1,0,3976617248,73389,73389,14,14,14,76473412,11,3,113843,554108,844707,10774,1289612811,541197,36586017,1954
423392.04,14,253952,62,68374,4503280564,2,12991249,794,5,5,4340,484,0,576,609953,0,9,26876,11,111292569,1154,1,0,4,1496,85172147,9,340688588,10,19,5,1585,576,0,0,42239711,1160246,1455639065,0,576,629,0,3,1,14,14,2084,0,3,1454316790,1420679603,56225901,86419767,86419767,1,3,1,0,4493827916,73389,73389,14,14,14,86419771,11,3,117649,624463,939393,12111,1454316790,609953,41301760,1954
425399.69,15,253952,62,76267,5023367590,2,14050146,891,5,5,4340,553,0,576,678864,0,9,29997,11,112547433,1154,1,0,4,1496,94990454,9,379961816,10,19,5,1585,576,0,0,47105323,1275256,1616801187,0,576,629,0,3,1,14,14,2084,0,3,1615964514,1584372366,62242755,96410960,96427344,1,3,1,0,5012517984,73389,73389,14,14,14,96394580,11,3,120370,695067,1012285,13490,1615964514,678864,46094637,1954
