timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
371594.24,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
373598.84,4,184320,45,22976,1512668954,0,0,0,25,25,5910,117,675,121662,11,2237,40,49,139768982,1352,1,0,39,39,7,14,150,675,0,0,0,2059637,30,492307872,0,675,322,2,1,14,14,335,1,497057988,445931620,2105732,34030778,34030778,1,2,1,1496633336,73389,73389,14,14,14,34014394,6,3,443130,123711,820821,3810,497057988,121662,1238903,1691
375603.20,4,253952,62,43979,2896554218,0,0,0,25,25,5910,121,675,220067,11,8183,40,49,140565338,1352,1,0,39,39,7,14,150,675,0,0,0,6390107,168,897717036,0,675,322,2,1,14,14,335,1,901511984,850558530,9095283,65476758,65476758,1,2,1,2880977352,73389,73389,14,14,14,65476758,6,3,470108,224506,965048,6897,901511984,220067,5425319,1691
377607.69,4,253952,62,65529,4316818578,0,0,0,25,25,5910,124,675,317799,11,14228,40,49,141096242,1352,1,0,39,39,7,14,150,675,0,0,0,10719821,280,1312992219,0,675,322,2,1,14,14,335,1,1316485936,1265731464,17663559,97754004,97770388,1,2,1,4301176176,73389,73389,14,14,14,97754004,6,3,474090,324567,1078002,10063,1316485936,317799,9642248,1691
379612.69,4,253952,62,86653,5708633698,0,0,0,25,25,5910,128,675,416451,11,20207,40,49,141627146,1352,1,0,39,39,7,14,150,675,0,0,0,15065950,397,1720401323,0,675,322,2,1,14,14,335,1,1722809136,1672614378,25567485,129388400,129388400,1,2,1,5693089600,73389,73389,14,14,14,129388400,6,3,485367,425563,1240993,13163,1722809136,416451,13825551,1691
381618.37,4,253952,62,107701,7095468082,0,0,0,25,25,5910,131,675,522406,11,26111,40,49,142158050,1352,1,0,39,39,7,14,150,675,0,0,0,19516540,555,2125852359,0,675,322,2,1,14,14,335,1,2127952688,2078123498,34572100,160899916,160899916,1,2,1,7079596304,73389,73389,14,14,14,160899916,6,3,495488,534040,1379838,16254,2127952688,522406,18137463,1691
383623.86,4,253952,62,127975,8431312150,0,0,0,25,25,5910,135,675,624329,11,31862,40,49,142423502,1352,1,0,39,39,7,14,150,675,0,0,0,23932658,774,2516624837,0,675,322,2,1,14,14,335,1,2518416176,2468521895,42530922,191266711,191266711,1,2,1,8415735284,73389,73389,14,14,14,191266711,6,3,501811,638431,1522668,19233,2518416176,624329,22410926,1691
385630.33,4,253952,62,147106,9691983118,2,2587401,15,25,25,5910,138,675,744012,11,37247,40,49,143207792,1352,1,0,39,39,7,14,150,675,0,0,0,28800176,162444,2883933458,0,675,322,2,1,14,14,335,1,2886335280,2837060137,119230326,219915345,219931729,1,2,1,9676275180,73389,73389,14,14,14,219915345,6,3,541173,760932,1765730,22040,2886335280,744012,27035557,1691
387636.14,4,253952,62,165836,10926049778,9,11560083,39,25,25,5910,141,675,869137,11,42515,40,49,144004148,1352,1,0,39,39,7,14,150,675,0,0,0,33772716,628211,3244383828,0,675,322,2,1,14,14,335,1,3246361552,3197669296,227551765,247955612,247971996,1,2,1,10910046928,73389,73389,14,14,14,247955612,6,3,583861,888738,2044198,24790,3246361552,869137,31728794,1691
389642.78,4,253952,62,184789,12174524434,13,17339839,77,25,25,5910,144,675,991750,11,47847,40,49,144269600,1352,1,0,39,39,7,14,150,675,0,0,0,38480038,766333,3605400398,0,675,322,2,1,14,14,335,1,3611528144,3562662410,335329570,276330036,276346420,1,2,1,12158521584,73389,73389,14,14,14,276330036,6,3,617859,1014114,2292293,27576,3611528144,991750,36189203,1691
