timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
726069.43,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,3,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
728075.03,0,253952,62,8394,552039744,0,1170141,0,66,3,3,4477,109,0,558,63926,0,23,3266,15,204,95770923,1118,1,0,4,698,10292713,10,41170852,14,17,11,275,558,0,0,4026265,31814,203785766,0,558,450,0,3,1,14,14,1227,0,3,204143322,176560224,5098839,10440038,10440038,1,3,1,0,542882008,73389,73389,14,14,14,10440042,7,3,82200,65331,216134,1746,204143322,63926,3810278,1578
730081.79,0,253952,62,14759,971661980,1,3771937,0,79,4,4,4477,120,0,558,98760,0,23,5751,16,204,97629087,1118,1,0,4,698,18255496,10,72957500,15,18,11,285,558,0,0,6753555,41740,339926525,0,558,450,0,3,1,14,14,1227,0,3,339653077,308541619,10561207,18516462,18516462,1,3,1,0,962856056,73389,73389,14,14,14,18516466,7,3,85589,101078,263119,2803,339653077,98760,6490688,1578
732093.91,0,253952,62,23870,1570715168,1,5071052,0,163,4,4,4477,209,0,558,160607,0,23,9355,16,204,98304783,1118,1,0,4,698,29582176,10,118264024,15,18,11,285,558,0,0,11425240,110658,524926108,0,558,450,0,3,1,14,14,1227,0,3,525377936,497444072,16587526,30021460,30021460,1,3,1,0,1561115952,73389,73389,14,14,14,30021464,7,3,89592,164627,334128,4412,525377936,160607,11090564,1578
734099.33,1,253952,62,32841,2162367018,1,6230837,0,241,4,4,4477,247,0,567,221109,0,23,12874,16,204,101674309,1136,1,0,4,698,40789895,10,163159580,15,18,11,285,567,0,0,15939188,173432,713014612,0,567,456,0,3,1,14,14,1227,0,3,712905264,683569754,22313261,41407008,41407008,1,3,1,0,2153164448,73389,73389,14,14,14,41407012,7,3,91942,226708,401051,5925,712905264,221109,15538763,1601
736105.58,1,253952,62,38908,2561494246,2,8893917,0,253,4,4,4477,304,0,567,250111,0,23,15276,16,204,103194625,1136,1,0,4,698,48356191,10,193360132,15,18,11,285,567,0,0,18313184,173550,838155573,0,567,456,0,3,1,14,14,1227,0,3,837417915,809247816,27348741,49080309,49080309,1,3,1,0,2552176100,73389,73389,14,14,14,49080313,7,3,94629,256580,435034,6992,837417915,250111,17878867,1601
738111.71,1,253952,62,48304,3180419728,2,10126897,0,334,5,5,4477,344,0,576,312523,0,23,18953,16,204,106530085,1154,1,0,4,698,60094201,10,240312172,15,19,11,285,576,0,0,22955471,220083,1033114370,0,576,463,0,3,1,14,14,1227,0,3,1032314541,1004373140,33262583,60969887,60969887,1,3,1,0,3170434156,73389,73389,14,14,14,60969891,7,3,98974,320684,500244,8572,1032314541,312523,22456139,1629
740116.73,1,253952,62,57907,3813852310,2,11352887,0,414,5,5,4477,431,0,576,376748,0,23,22767,16,204,108110731,1154,1,0,4,698,72100161,10,288400644,15,19,11,285,576,0,0,27650227,253425,1235117938,0,576,463,0,3,1,14,14,1227,0,3,1233988831,1203770104,39212146,73147900,73147900,1,3,1,0,3803690832,73389,73389,14,14,14,73147904,7,3,102894,386658,595424,10298,1233988831,376748,27055918,1629
742122.08,1,253952,62,63901,4208883172,3,14049863,0,432,5,5,4477,444,0,576,406296,0,23,25100,16,204,110318809,1154,1,0,4,698,79580258,10,318321032,15,19,11,285,576,0,0,29954809,253468,1365572811,0,576,463,0,3,1,14,14,1227,0,3,1364880663,1328352413,44211407,80734963,80734963,1,3,1,0,4198218108,73389,73389,14,14,14,80734967,7,3,107985,417020,634437,11331,1364880663,406296,29321577,1629
744127.79,1,253952,62,73329,4830509106,3,15156101,0,505,6,6,4477,529,0,576,468424,0,23,28831,16,204,111875323,1154,1,0,4,698,91330692,10,365258036,15,20,11,285,576,0,0,34542350,271925,1560152824,0,576,463,0,3,1,14,14,1227,0,3,1559267444,1524269720,49915081,92669375,92669375,1,3,1,0,4818807532,73389,73389,14,14,14,92669379,7,3,114859,480853,728247,12996,1559267444,468424,33815499,1629
746133.99,1,253952,62,82737,5449460618,3,16383871,0,586,6,6,4477,568,0,594,532153,0,23,32509,16,204,115837523,1190,1,0,4,698,103070750,10,412218332,15,20,11,285,594,0,0,39306079,311467,1753612820,0,594,481,0,3,1,14,14,1227,0,3,1752152997,1719103304,55935555,104577496,104577496,1,3,1,0,5438029824,73389,73389,14,14,14,104577500,7,3,122111,546260,850272,14563,1752152997,532153,38457393,1691
748146.15,3,253952,62,92187,6072214628,3,17582271,0,670,6,6,4477,655,2,594,599862,0,23,36255,16,204,117044123,1190,1,0,4,698,114839035,10,459356140,15,20,11,285,594,0,0,44082577,369526,1961657151,0,594,481,0,3,1,14,14,1227,0,3,1960656471,1915580780,61949651,116530451,116530451,1,3,1,0,6059583484,73389,73389,14,14,14,116530455,7,3,123604,615776,928240,16337,1960656471,599862,43156115,1691
750152.94,3,253952,62,101725,6703221402,3,18798658,0,763,6,6,4477,696,2,594,663381,0,23,40007,16,204,120169217,1190,1,0,4,698,126784888,10,507139552,15,20,11,285,594,0,0,48878632,393927,2154691524,0,594,481,0,3,1,14,14,1227,0,3,2153479705,2114161716,67965183,128646358,128646358,1,3,1,0,6689610648,73389,73389,14,14,14,128646362,7,3,131261,680931,1024497,17897,2153479705,663381,47856110,1691
752161.65,3,253952,62,111705,7359177110,3,20198517,0,840,6,6,4477,786,2,594,725444,0,23,43942,16,204,120169217,1190,1,0,4,698,139194868,10,556779472,15,20,11,285,594,0,0,53516395,395004,2365713232,0,594,481,0,3,1,14,14,1227,0,3,2363788336,2321102756,74013849,141249084,141249084,1,3,1,0,7344952400,73389,73389,14,14,14,141249088,7,3,132289,744672,1103411,19693,2363788336,725444,52415160,1691
754166.67,3,253952,62,121689,8016915278,3,21649937,0,910,6,6,4477,828,2,594,785519,0,23,47851,16,204,120482933,1190,1,0,4,698,151690906,10,606698980,15,20,11,285,594,0,0,58084347,395186,2573345539,0,594,481,0,3,1,14,14,1227,0,3,2571204929,2528400224,80037752,153890167,153890167,1,3,1,0,8002288716,73389,73389,14,14,14,153890171,7,3,136674,806360,1184405,21367,2571204929,785519,56902320,1691
756171.67,3,253952,62,131814,8683073534,3,23236878,0,969,6,6,4477,914,2,594,842832,0,23,51847,16,204,120482933,1190,1,0,4,698,164273526,10,657094104,15,20,11,285,594,0,0,62477383,395332,2786090016,0,594,481,0,3,1,14,14,1227,0,3,2784651051,2738402111,86015634,166685183,166685183,1,3,1,0,8667629548,73389,73389,14,14,14,166685187,7,3,139687,865257,1254385,23182,2784651051,842832,61225566,1691
758176.70,3,253952,62,142006,9355348140,3,24833881,0,1016,6,6,4477,956,2,603,901110,0,23,55824,16,204,121982094,1208,1,0,4,698,176964932,10,707795108,15,20,11,285,603,0,0,66791108,395596,3010151287,0,603,490,0,3,1,14,14,1227,0,3,3008038202,2951084476,91925429,179540973,179540973,1,3,1,0,9336130628,73389,73389,14,14,14,179540977,7,3,143359,925140,1320363,24997,3008038202,901110,65473491,1720
