timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
596007.99,0,0,20985,1381378356,0,0,0,0,1,1,3924,117,639,127578,14,1960,16,131875832,1280,1,0,15,15,0,14,169,639,0,0,0,1989091,852,454030573,0,639,461,2,1,14,14,435,0,1,455639236,407334275,1990275,31063559,31079943,1,2,1,0,1366796596,73389,73389,14,14,14,31063559,8,3,398867,129675,846338,3494,455639236,127578,1142844,1832
598014.42,253952,62,35094,2311346886,24,25399510,0,41,26,26,3924,119,675,190741,14,5649,41,140299886,1352,1,0,40,40,1,14,245,675,0,0,0,4728521,16378,729618916,0,675,482,2,1,14,14,435,0,1,730594096,679501342,35205801,52163931,52180315,1,2,1,0,2295212964,73389,73389,14,14,14,52163931,8,3,492549,194528,1093005,5593,730594096,190741,3635758,1927
600027.96,253952,62,50813,3347081762,24,26844886,0,92,28,28,3924,122,675,291058,14,10103,41,140830790,1352,1,0,40,42,1,14,245,675,0,0,0,8506332,704832,1032532428,0,675,482,2,1,14,14,435,0,1,1033108272,982260300,41496119,75703360,75719744,1,2,1,0,3330947840,73389,73389,14,14,14,75703360,8,3,500851,297145,1238710,7901,1033108272,291058,7268007,1927
602039.67,253952,62,66304,4367874430,24,30014747,0,141,29,29,3924,125,675,402942,14,14440,41,141096242,1352,1,0,40,43,1,14,245,675,0,0,0,12510052,1927140,1328098427,0,675,482,2,1,14,14,435,0,1,1331297072,1280692129,49867192,98915109,98915109,1,2,1,0,4352264796,73389,73389,14,14,14,98915109,8,3,509110,411449,1383712,10176,1331297072,402942,11126854,1927
604049.81,253952,62,82304,5422024922,25,34921713,0,188,29,29,3924,127,675,511835,14,19001,41,141361694,1352,1,0,40,43,1,14,245,675,0,0,0,16561270,2934821,1638219384,0,675,482,2,1,14,14,435,0,1,1639054128,1588819664,61229617,122872330,122888714,1,2,1,0,5406382520,73389,73389,14,14,14,122872330,8,3,516314,522801,1530313,12524,1639054128,511835,15031607,1927
606054.86,253952,62,95061,6262580358,27,38242934,0,213,29,29,3924,129,675,567139,14,22554,41,141892598,1352,1,0,40,43,1,14,245,675,0,0,0,19126653,3047361,1884474394,0,675,482,2,1,14,14,435,0,1,1884551984,1834519121,67304438,141980331,141980331,1,2,1,0,6246413668,73389,73389,14,14,14,141963947,8,3,517634,579597,1597271,14397,1884551984,567139,17530131,1927
608070.43,253952,62,110619,7288029390,27,40802339,0,244,33,33,3924,132,675,668353,14,26965,41,142423502,1352,1,0,40,47,1,14,245,675,0,0,0,22736957,4048580,2182536241,0,675,482,2,1,14,14,435,0,1,2184444720,2134356009,74520256,165280033,165280033,1,2,1,0,7271600556,73389,73389,14,14,14,165263649,8,3,534086,684240,1750106,16685,2184444720,668353,20987732,1927
610079.34,253952,62,127916,8427445526,28,45431957,0,293,33,33,3924,134,675,785582,14,31792,41,142423502,1352,1,0,40,47,1,14,245,675,0,0,0,26846945,5263811,2516261650,0,675,482,2,1,14,14,435,0,1,2517236528,2467386054,84958328,191176599,191176599,1,2,1,0,8411049460,73389,73389,14,14,14,191160215,8,3,542098,804020,1877877,19224,2517236528,785582,24970089,1927
612086.92,253952,62,145668,9597211446,29,48461659,0,334,34,34,3924,137,675,901294,14,36795,41,142942340,1352,1,0,40,48,1,14,245,675,0,0,0,31132784,6336131,2857600716,0,675,482,2,1,14,14,435,0,1,2858941232,2809413395,94970358,217748783,217765167,1,2,1,0,9580946452,73389,73389,14,14,14,217748783,8,3,551279,922507,2034978,21831,2858941232,901294,29098990,1927
614097.94,253952,62,164143,10814300974,30,53714799,0,376,35,35,3924,141,675,1032035,14,42053,41,143738696,1352,1,0,40,49,1,14,245,675,0,0,0,35511139,7211057,3212538741,0,675,482,2,1,14,14,435,0,1,3213855696,3164993844,105012565,245430761,245430761,1,2,1,0,10798953484,73389,73389,14,14,14,245430761,8,3,560748,1055976,2225388,24542,3213855696,1032035,33287087,1927
